Name	ISIN	Symbol	Market	Trading Currency	Open	High	Low	Last	Last Date/Time	Time Zone	Volume	Turnover
European Equities
13 May 2021
All datapoints provided as of end of last active trading day.
1000MERCIS	FR0010285965	ALMIL	Euronext Growth Paris	EUR	18.55	18.55	18.15	18.55	13/05/21 17:35	CET	269	4935.80
2CRSI	FR0013341781	2CRSI	Euronext Paris	EUR	5.00	5.01	4.62	4.865	13/05/21 17:35	CET	78707	378221.535
2MX ORGANIC	FR0014000T90	2MX	Euronext Paris	EUR	10.00	10.138	10.00	10.094	13/05/21 17:35	CET	3797	38085.294
2MX ORGANIC BS	FR0014000TB2	2MXBS	Euronext Paris	EUR	0.4108	0.4108	0.4108	0.4108	05/05/21 09:21	CET	1200	492.96
A TOUTE VITESSE	FR0010050773	MLATV	Euronext Access Paris	EUR	1.48	1.48	1.35	1.35	13/11/19 16:53	CET	378	521.87
A.S.T. GROUPE	FR0000076887	ASP	Euronext Paris	EUR	7.20	7.46	7.06	7.38	13/05/21 17:19	CET	40729	295906.52
AB SCIENCE	FR0010557264	AB	Euronext Paris	EUR	14.02	14.39	13.62	14.24	13/05/21 17:35	CET	127988	1781323.93
ABC ARBITRAGE	FR0004040608	ABCA	Euronext Paris	EUR	7.22	7.22	7.14	7.16	13/05/21 17:35	CET	26282	188330.76
ABEO	FR0013185857	ABEO	Euronext Paris	EUR	12.10	12.10	11.45	12.00	13/05/21 17:35	CET	47739	576117.80
ABIONYX PHARMA	FR0012616852	ABNX	Euronext Paris	EUR	1.032	1.06	1.004	1.032	13/05/21 17:35	CET	122409	126384.022
ABIVAX	FR0012333284	ABVX	Euronext Paris	EUR	21.00	21.85	20.60	21.70	13/05/21 17:35	CET	10947	234360.90
ACANTHE DEV.	FR0000064602	ACAN	Euronext Paris	EUR	0.425	0.426	0.413	0.413	12/05/21 17:15	CET	22676	9563.43
ACCOR	FR0000120404	AC	Euronext Paris	EUR	31.50	31.73	30.65	31.49	13/05/21 17:35	CET	514859	16099602.13
ACCOR NV21	FR00140015P7	ACNV	Euronext Paris	EUR	-	-	-	-	-	CET	-	-
ACHETER-LOUER.FR	FR0010493510	ALALO	Euronext Growth Paris	EUR	0.0631	0.0642	0.0615	0.0625	13/05/21 17:39	CET	7172353	448001.3955
ACTEOS	FR0000076861	EOS	Euronext Paris	EUR	2.65	2.65	2.60	2.65	13/05/21 16:19	CET	268	700.99
ACTIA GROUP	FR0000076655	ATI	Euronext Paris	EUR	3.06	3.08	3.04	3.05	13/05/21 17:35	CET	4031	12344.97
ACTIPLAY (GROUPE)	FR0011038348	ALACT	Euronext Growth Paris	EUR	1.364	1.39	1.264	1.30	13/05/21 17:36	CET	100880	132126.392
ACTIVIUM GROUP	FR0010979377	MLACT	Euronext Access Paris	EUR	1.39	1.39	1.39	1.39	12/05/21 16:30	CET	574	797.86
ADA	FR0000053076	ALADA	Euronext Growth Paris	EUR	9.20	9.30	9.15	9.30	13/05/21 14:52	CET	78	717.60
ADC SIIC	BE0974269012	ALDV	Euronext Paris	EUR	0.118	0.118	0.118	0.118	12/05/21 11:30	CET	1304	153.87
ADEUNIS	FR0013284627	ALARF	Euronext Growth Paris	EUR	2.71	2.73	2.70	2.73	13/05/21 17:12	CET	3230	8742.83
ADL PARTNER	FR0000062978	ALP	Euronext Paris	EUR	16.95	17.15	16.80	16.90	13/05/21 17:35	CET	1771	29940.30
ADOCIA	FR0011184241	ADOC	Euronext Paris	EUR	8.70	8.75	8.55	8.57	13/05/21 17:35	CET	8754	75604.43
ADOMOS	FR0013247244	ALADO	Euronext Growth Paris	EUR	0.24	0.25	0.24	0.24	13/05/21 17:35	CET	87854	21354.0015
ADP	FR0010340141	ADP	Euronext Paris	EUR	113.00	113.75	110.40	112.95	13/05/21 17:35	CET	56278	6334509.60
ADTHINK	FR0010457531	ALADM	Euronext Growth Paris	EUR	1.865	1.895	1.835	1.865	13/05/21 17:20	CET	15450	28707.815
ADUX	FR0012821890	ADUX	Euronext Paris, Amsterdam	EUR	1.84	1.84	1.84	1.84	13/05/21 13:42	CET	184	338.56
ADVENIS	FR0004152874	ADV	Euronext Paris	EUR	2.05	2.05	2.05	2.05	12/05/21 16:39	CET	100	205.00
ADVICENNE	FR0013296746	ADVIC	Euronext Paris, Brussels	EUR	10.80	10.94	10.30	10.62	13/05/21 17:35	CET	43900	463719.64
ADVINI	FR0000053043	ADVI	Euronext Paris	EUR	19.30	19.70	19.30	19.70	13/05/21 17:27	CET	217	4189.00
AERKOMM INC	US00774B2088	AKOM	Euronext Paris	EUR	5.05	5.05	4.90	4.90	13/05/21 17:29	CET	26	127.55
AG3I	FR0011908045	MLAGI	Euronext Access Paris	EUR	3.46	3.46	3.46	3.46	08/11/19 16:30	CET	2	6.92
AGP MALAGA SOCIMI	ES0105478004	MLAGP	Euronext Access Paris	EUR	2.95	2.95	2.95	2.95	23/11/20 11:52	CET	2000	5900.00
AGRIPOWER	FR0013452281	ALAGP	Euronext Growth Paris	EUR	8.60	8.60	8.52	8.60	13/05/21 17:24	CET	458	3926.24
AGROGENERATION	FR0010641449	ALAGR	Euronext Growth Paris	EUR	0.186	0.186	0.1775	0.184	13/05/21 17:35	CET	287983	51880.5905
AIR FRANCE -KLM	FR0000031122	AF	Euronext Paris, Amsterdam	EUR	4.55	4.555	4.386	4.456	13/05/21 17:35	CET	3977095	17698891.059
AIR LIQUIDE	FR0000120073	AI	Euronext Paris	EUR	139.56	141.84	137.94	141.40	13/05/21 17:37	CET	573987	80346368.50
AIR MARINE	FR0013285103	MLAIM	Euronext Access Paris	EUR	1.85	1.85	1.85	1.85	12/05/21 16:30	CET	386	714.10
AIRBUS	NL0000235190	AIR	Euronext Paris	EUR	95.07	97.09	93.18	96.00	13/05/21 17:37	CET	1211617	115387750.12
AKKA TECHNOLOGIES	FR0004180537	AKA	Euronext Paris, Brussels	EUR	23.00	23.30	22.52	23.02	13/05/21 17:37	CET	42014	962061.96
AKWEL	FR0000053027	AKW	Euronext Paris	EUR	28.20	28.25	27.10	28.20	13/05/21 17:35	CET	18915	524089.20
ALAN ALLMAN	FR0000062465	AAA	Euronext Paris	EUR	4.60	4.60	4.60	4.60	13/05/21 16:30	CET	40	184.00
ALBIOMA	FR0000060402	ABIO	Euronext Paris	EUR	35.20	35.90	34.60	35.66	13/05/21 17:35	CET	64019	2255278.04
ALCHIMIE	FR0014000JX7	ALCHI	Euronext Growth Paris	EUR	16.56	16.58	15.02	15.72	13/05/21 17:35	CET	5046	79000.48
ALD	FR0013258662	ALD	Euronext Paris	EUR	13.30	13.54	13.10	13.54	13/05/21 17:35	CET	2269004	30399243.82
ALEPH FINANCE	GB00BJ9M4V82	MLALE	Euronext Access Paris	EUR	1.95	1.95	1.95	1.95	12/05/21 16:30	CET	200	390.00
ALES GROUPE	FR0000054652	ALPHY	Euronext Growth Paris	EUR	1.18	1.20	1.18	1.18	29/06/20 16:07	CET	1401	1671.18
ALPES (Cie) NV21	FR00140017V1	CDANV	Euronext Paris	EUR	-	-	-	-	-	CET	-	-
ALPES (COMPAGNIE)	FR0000053324	CDA	Euronext Paris	EUR	24.10	24.15	23.70	23.70	13/05/21 17:35	CET	8756	209867.60
ALPHA MOS	FR0013421286	ALM	Euronext Paris	EUR	2.50	2.61	2.44	2.50	13/05/21 17:35	CET	7882	19500.29
ALSTOM	FR0010220475	ALO	Euronext Paris	EUR	43.59	43.73	42.02	43.16	13/05/21 17:35	CET	938450	40087450.10
ALSTOM NV21	FR00140012E8	ALONV	Euronext Paris	EUR	44.90	44.90	44.90	44.90	13/05/21 11:30	CET	1	44.90
ALTAMIR	FR0000053837	LTA	Euronext Paris	EUR	24.00	24.00	23.96	24.00	13/05/21 16:48	CET	2508	60167.66
ALTAREA	FR0000033219	ALTA	Euronext Paris	EUR	168.80	168.80	166.00	168.20	13/05/21 17:35	CET	3969	664148.80
ALTAREIT	FR0000039216	AREIT	Euronext Paris	EUR	595.00	595.00	595.00	595.00	13/05/21 11:30	CET	1	595.00
ALTEN	FR0000071946	ATE	Euronext Paris	EUR	98.40	99.05	96.85	98.40	13/05/21 17:35	CET	23750	2333883.35
ALTUR INVEST.	FR0010395681	ALTUR	Euronext Paris	EUR	4.72	4.78	4.60	4.72	13/05/21 16:57	CET	2088	9778.60
ALVEEN	FR0013253812	MLALV	Euronext Access Paris	EUR	1.34	1.34	1.34	1.34	13/05/21 16:30	CET	20	26.80
AMATHEON AGRI	NL0010273694	MLAAH	Euronext Access Paris	EUR	0.109	0.109	0.109	0.109	13/05/21 11:30	CET	430	46.87
AMOEBA	FR0011051598	ALMIB	Euronext Growth Paris	EUR	2.156	2.174	2.10	2.13	13/05/21 17:35	CET	74738	158611.802
AMPLITUDE SURGICAL	FR0012789667	AMPLI	Euronext Paris	EUR	2.13	2.13	2.13	2.13	13/05/21 10:29	CET	6	12.78
AMUNDI	FR0004125920	AMUN	Euronext Paris	EUR	71.50	72.00	70.00	71.75	13/05/21 17:35	CET	171880	12259310.45
ANTEVENIO	ES0109429037	ALANT	Euronext Growth Paris	EUR	5.85	5.85	5.75	5.75	13/05/21 10:14	CET	51	295.85
APERAM	LU0569974404	APAM	Euronext Amsterdam, Brussels, Paris	EUR	46.18	46.64	45.10	46.22	13/05/21 17:35	CET	181985	8344845.05
APTORUM GROUP CL A	KYG6096M1069	APM	Euronext Paris	EUR	2.70	2.70	2.70	2.70	15/01/21 13:35	CET	426	1150.20
AQUILA	FR0010340711	ALAQU	Euronext Growth Paris	EUR	7.10	7.10	7.10	7.10	13/05/21 16:30	CET	317	2250.70
ARCELORMITTAL SA	LU1598757687	MT	Euronext Amsterdam, Paris	EUR	26.245	27.215	25.84	26.705	13/05/21 17:39	CET	5110077	135544995.52
ARCHOS	FR0000182479	ALJXR	Euronext Growth Paris	EUR	0.0117	0.0138	0.0111	0.013	13/05/21 17:36	CET	47381133	583252.0739
ARCURE	FR0013398997	ALCUR	Euronext Growth Paris	EUR	3.58	3.59	3.54	3.59	13/05/21 17:35	CET	1093	3895.48
ARDOIN ST AMAND A	FR0005057635	MLARD	Euronext Access Paris	EUR	179.00	179.00	179.00	179.00	29/03/21 11:30	CET	316	56564.00
ARDOIN ST AMAND B	FR0004070795	ARDO	Euronext Access Paris	EUR	72.00	72.00	72.00	72.00	03/08/20 16:30	CET	2	144.00
ARGAN	FR0010481960	ARG	Euronext Paris	EUR	84.20	85.40	84.20	84.60	13/05/21 17:35	CET	4281	363472.20
ARKEMA	FR0010313833	AKE	Euronext Paris	EUR	107.00	108.10	106.05	107.70	13/05/21 17:39	CET	174254	18673964.35
AROCA DEL PINAR	ES0105486007	MLARO	Euronext Access Paris	EUR	14.60	14.60	14.60	14.60	16/08/20 00:00	CET	-	-
ARTEA	FR0012185536	ARTE	Euronext Paris	EUR	14.10	14.20	14.10	14.20	13/05/21 11:14	CET	11	156.10
ARTEFACT	FR0000079683	ALATF	Euronext Growth Paris	EUR	4.125	4.13	4.02	4.115	13/05/21 17:35	CET	50808	206653.43
ARTMARKET COM	FR0000074783	PRC	Euronext Paris	EUR	6.33	6.33	6.20	6.32	13/05/21 17:35	CET	12733	79921.62
ARTOIS NOM.	FR0000076952	ARTO	Euronext Paris	EUR	4680.00	4680.00	4680.00	4680.00	12/05/21 11:36	CET	9	42120.00
ASHLER ET MANSON	FR0012968485	MLAEM	Euronext Access Paris	EUR	2.14	2.14	2.14	2.14	12/05/21 11:30	CET	1	2.14
ASIT	BE0974289218	ASIT	Euronext Brussels, Paris	EUR	0.436	0.436	0.406	0.41	13/05/21 17:30	CET	43179	18012.028
ASSYSTEM	FR0000074148	ASY	Euronext Paris	EUR	29.15	29.25	29.05	29.15	13/05/21 17:35	CET	762	22187.40
ATARI	FR0010478248	ATA	Euronext Paris	EUR	0.732	0.732	0.667	0.685	13/05/21 17:35	CET	8199438	5640166.765
ATEME	FR0011992700	ATEME	Euronext Paris	EUR	14.86	14.86	14.32	14.82	13/05/21 17:35	CET	8475	123606.92
ATOS	FR0000051732	ATO	Euronext Paris	EUR	54.20	54.96	53.50	54.56	13/05/21 17:35	CET	520693	28270344.94
AUBAY	FR0000063737	AUB	Euronext Paris	EUR	39.40	40.00	38.65	39.75	13/05/21 17:35	CET	6759	266134.45
AUDIENCE LABS	FR0011896463	MLAUD	Euronext Access Paris	EUR	3.50	3.50	3.50	3.50	13/05/21 16:30	CET	57	199.50
AUDIOVALLEY	BE0974334667	ALAVY	Euronext Growth Paris, Brussels	EUR	2.98	2.98	2.88	2.93	13/05/21 17:27	CET	1759	5141.61
AUGROS COSMETICS	FR0000061780	AUGR	Euronext Paris	EUR	5.70	5.70	5.70	5.70	13/05/21 16:30	CET	525	2992.50
