Name	ISIN	Symbol	Market	Trading Currency	Open	High	Low	Last	Last Date/Time	Time Zone	Volume	Turnover
European Equities
27 Jul 2021
All datapoints provided as of end of last active trading day.
1000MERCIS	FR0010285965	ALMIL	Euronext Growth Paris	EUR	19.85	19.85	19.65	19.65	27/07/21 17:07	CET	26	515.50
2CRSI	FR0013341781	2CRSI	Euronext Paris	EUR	4.175	4.195	3.98	4.00	27/07/21 17:35	CET	12603	51130.495
2MX ORGANIC	FR0014000T90	2MX	Euronext Paris	EUR	9.68	9.897	9.68	9.68	27/07/21 17:09	CET	516	5017.428
2MX ORGANIC BS	FR0014000TB2	2MXBS	Euronext Paris	EUR	0.35	0.35	0.35	0.35	23/07/21 11:16	CET	10000	3500.00
A TOUTE VITESSE	FR0010050773	MLATV	Euronext Access Paris	EUR	1.48	1.48	1.35	1.35	13/11/19 16:53	CET	378	521.87
A.S.T. GROUPE	FR0000076887	ASP	Euronext Paris	EUR	6.92	6.92	6.66	6.88	27/07/21 15:12	CET	1960	13423.10
AB SCIENCE	FR0010557264	AB	Euronext Paris	EUR	14.91	15.04	14.42	14.59	27/07/21 17:35	CET	218209	3199273.46
ABC ARBITRAGE	FR0004040608	ABCA	Euronext Paris	EUR	7.05	7.09	7.04	7.08	27/07/21 17:35	CET	14206	100449.95
ABEO	FR0013185857	ABEO	Euronext Paris	EUR	16.10	17.45	16.10	17.45	27/07/21 17:35	CET	3421	57937.90
ABIONYX PHARMA	FR0012616852	ABNX	Euronext Paris	EUR	1.03	1.044	0.992	0.994	27/07/21 17:35	CET	56798	57972.866
ABIVAX	FR0012333284	ABVX	Euronext Paris	EUR	31.65	31.65	30.65	30.95	27/07/21 17:35	CET	7389	228832.25
ABO GROUP	BE0974278104	ABO	Euronext Brussels, Paris	EUR	6.35	6.35	6.35	6.35	27/07/21 11:02	CET	800	5080.00
ACANTHE DEV.	FR0000064602	ACAN	Euronext Paris	EUR	0.38	0.389	0.38	0.381	27/07/21 16:06	CET	518	198.88
ACCOR	FR0000120404	AC	Euronext Paris	EUR	30.18	30.34	29.77	29.95	27/07/21 17:35	CET	443352	13304961.88
ACCOR AC SHARES	FR0014003PZ3	AAC	Euronext Paris	EUR	9.70	9.70	9.70	9.70	27/07/21 16:14	CET	5	48.50
ACCOR AC WARRANTS	FR0014003QK3	AACW	Euronext Paris	EUR	0.40	0.40	0.40	0.40	16/07/21 14:46	CET	313000	125200.00
ACCOR NV21	FR00140015P7	ACNV	Euronext Paris	EUR	-	-	-	-	-	CET	-	-
ACHETER-LOUER.FR	FR0010493510	ALALO	Euronext Growth Paris	EUR	0.017	0.0177	0.016	0.0164	27/07/21 17:35	CET	9019224	149211.9452
ACTEOS	FR0000076861	EOS	Euronext Paris	EUR	2.34	2.45	2.32	2.42	27/07/21 15:30	CET	6218	14866.94
ACTIA GROUP	FR0000076655	ATI	Euronext Paris	EUR	3.03	3.09	3.03	3.05	27/07/21 17:35	CET	6862	20991.18
