Name	ISIN	Symbol	Market	Trading Currency	Open	High	Low	Last	Last Date/Time	Time Zone	Volume	Turnover
European Equities
23 Mar 2022
All datapoints provided as of end of last active trading day.
1000MERCIS	FR0010285965	ALMIL	Euronext Growth Paris	EUR	29.70	29.70	29.70	29.70	23/03/2022 15:39	CET	1090	32373.00
2CRSI	FR0013341781	2CRSI	Euronext Paris	EUR	4.24	4.48	4.24	4.35	23/03/2022 17:21	CET	10151	43916.86
2MX ORGANIC	FR0014000T90	2MX	Euronext Paris	EUR	9.78	9.787	9.78	9.78	23/03/2022 17:35	CET	324	3168.944
2MX ORGANIC BS	FR0014000TB2	2MXBS	Euronext Paris	EUR	0.12	0.12	0.12	0.12	16/03/2022 09:10	CET	3000	360.00
A TOUTE VITESSE	FR0010050773	MLATV	Euronext Access Paris	EUR	1.48	1.48	1.35	1.35	13/11/2019 16:53	CET	378	521.87
A.S.T. GROUPE	FR0000076887	ALAST	Euronext Growth Paris	EUR	4.48	4.49	4.42	4.49	23/03/2022 14:14	CET	1201	5384.02
AB SCIENCE	FR0010557264	AB	Euronext Paris	EUR	9.175	9.80	8.905	9.50	23/03/2022 17:35	CET	79563	739498.335
ABC ARBITRAGE	FR0004040608	ABCA	Euronext Paris	EUR	7.30	7.36	7.27	7.34	23/03/2022 17:35	CET	31905	233398.39
ABEO	FR0013185857	ABEO	Euronext Paris	EUR	16.00	16.00	15.55	15.75	23/03/2022 17:28	CET	1386	21835.65
ABIONYX PHARMA	FR0012616852	ABNX	Euronext Paris	EUR	2.00	2.14	1.926	1.926	23/03/2022 17:35	CET	332536	675923.572
ABIVAX	FR0012333284	ABVX	Euronext Paris	EUR	25.05	26.25	25.05	25.60	23/03/2022 17:35	CET	23745	605571.80
ABO GROUP	BE0974278104	ABO	Euronext Brussels, Paris	EUR	5.60	5.60	5.50	5.60	23/03/2022 10:18	CET	515	2876.50
ACANTHE DEV.	FR0000064602	ACAN	Euronext Paris	EUR	0.476	0.499	0.476	0.499	23/03/2022 14:07	CET	3643	1771.013
ACCOR	FR0000120404	AC	Euronext Paris	EUR	29.14	29.25	28.56	28.60	23/03/2022 17:35	CET	384992	11085911.46
ACCOR AC SHARES	FR0014003PZ3	AAC	Euronext Paris	EUR	9.879	9.88	9.602	9.88	15/03/2022 17:35	CET	917	8992.96
ACCOR AC WARRANTS	FR0014003QK3	AACW	Euronext Paris	EUR	0.22	0.22	0.22	0.22	14/03/2022 09:00	CET	10	2.20
ACHETER-LOUER.FR	FR00140072P8	ALALO	Euronext Growth Paris	EUR	0.0048	0.0049	0.0044	0.0046	23/03/2022 17:29	CET	4622410	21488.6183
ACTEOS	FR0000076861	EOS	Euronext Paris	EUR	1.505	2.21	1.505	2.00	23/03/2022 17:35	CET	41698	81797.35
ACTIA GROUP	FR0000076655	ATI	Euronext Paris	EUR	3.62	3.62	3.53	3.59	23/03/2022 16:28	CET	2606	9327.05
ACTICOR BIOTECH	FR0014005OJ5	ALACT	Euronext Growth Paris	EUR	6.60	6.799	6.60	6.60	23/03/2022 17:05	CET	2340	15643.481
ACTIVIUM GROUP	FR0010979377	MLACT	Euronext Access Paris	EUR	1.20	1.20	1.20	1.20	14/03/2022 11:30	CET	3	3.60
ADA	FR0000053076	ALADA	Euronext Growth Paris	EUR	10.90	10.90	10.80	10.80	23/03/2022 14:45	CET	44	475.30
ADC SIIC	BE0974269012	ALDV	Euronext Paris	EUR	0.09	0.09	0.09	0.09	23/03/2022 16:30	CET	510	45.90
ADEUNIS	FR0013284627	ALARF	Euronext Growth Paris	EUR	2.67	2.68	2.60	2.63	23/03/2022 17:35	CET	3945	10343.48
ADOCIA	FR0011184241	ADOC	Euronext Paris	EUR	5.96	6.00	5.91	5.92	23/03/2022 17:35	CET	18337	109410.09
ADOMOS	FR0013247244	ALADO	Euronext Growth Paris	EUR	0.0381	0.0409	0.0363	0.0371	23/03/2022 17:37	CET	2075750	80493.6775
ADP	FR0010340141	ADP	Euronext Paris	EUR	129.55	132.20	129.55	131.50	23/03/2022 17:39	CET	57158	7507916.20
ADUX	FR0012821890	ADUX	Euronext Paris, Amsterdam	EUR	2.12	2.15	2.07	2.14	23/03/2022 16:00	CET	515	1076.48
ADVENIS	FR0004152874	ALADV	Euronext Growth Paris	EUR	2.75	2.75	2.71	2.71	22/03/2022 17:35	CET	592	1624.48
ADVICENNE	FR0013296746	ADVIC	Euronext Paris, Brussels	EUR	6.42	6.52	6.15	6.17	23/03/2022 17:35	CET	20056	126854.35
ADVINI	FR0000053043	ADVI	Euronext Paris	EUR	18.10	18.10	18.10	18.10	23/03/2022 09:00	CET	1	18.10
AELIS FARMA	FR0014007ZB4	AELIS	Euronext Paris	EUR	13.86	13.86	13.80	13.80	23/03/2022 15:50	CET	515	7116.00
