Name	ISIN	Symbol	Market	Trading Currency	Open	High	Low	Last	Last Date/Time	Time Zone	Volume	Turnover
European Equities
22 Apr 2021
All datapoints provided as of end of last active trading day.
1000MERCIS	FR0010285965	ALMIL	Euronext Growth Paris	EUR	18.85	18.85	18.85	18.85	22/04/21 17:35	CET	101	1903.85
2CRSI	FR0013341781	2CRSI	Euronext Paris	EUR	5.18	5.25	5.14	5.25	22/04/21 17:35	CET	21255	110681.70
2MX ORGANIC	FR0014000T90	2MX	Euronext Paris	EUR	10.072	10.166	10.072	10.118	22/04/21 16:46	CET	1757	17801.538
2MX ORGANIC BS	FR0014000TB2	2MXBS	Euronext Paris	EUR	0.50	0.50	0.49	0.49	20/04/21 11:46	CET	1500	745.00
A TOUTE VITESSE	FR0010050773	MLATV	Euronext Access Paris	EUR	1.48	1.48	1.35	1.35	13/11/19 16:53	CET	378	521.87
A.S.T. GROUPE	FR0000076887	ASP	Euronext Paris	EUR	6.44	6.58	6.42	6.54	22/04/21 16:05	CET	3234	21000.10
AB SCIENCE	FR0010557264	AB	Euronext Paris	EUR	15.80	16.07	15.66	15.80	22/04/21 17:35	CET	61596	977478.21
ABC ARBITRAGE	FR0004040608	ABCA	Euronext Paris	EUR	7.00	7.00	6.94	6.96	22/04/21 17:35	CET	56689	394852.64
ABEO	FR0013185857	ABEO	Euronext Paris	EUR	13.50	13.60	13.50	13.50	22/04/21 16:24	CET	2280	30894.60
ABIONYX PHARMA	FR0012616852	ABNX	Euronext Paris	EUR	1.00	1.02	0.996	1.01	22/04/21 17:35	CET	40634	40809.678
ABIVAX	FR0012333284	ABVX	Euronext Paris	EUR	22.25	22.50	21.55	22.00	22/04/21 17:35	CET	32524	718318.95
ACANTHE DEV.	FR0000064602	ACAN	Euronext Paris	EUR	0.417	0.417	0.417	0.417	22/04/21 13:39	CET	13976	5827.992
ACCOR	FR0000120404	AC	Euronext Paris	EUR	32.99	33.76	32.77	33.42	22/04/21 17:37	CET	829206	27577615.21
ACCOR NV21	FR00140015P7	ACNV	Euronext Paris	EUR	-	-	-	-	-	CET	-	-
ACHETER-LOUER.FR	FR0010493510	ALALO	Euronext Growth Paris	EUR	0.079	0.0823	0.078	0.0791	22/04/21 17:35	CET	4945304	393161.2171
ACTEOS	FR0000076861	EOS	Euronext Paris	EUR	3.07	3.13	3.07	3.08	22/04/21 13:39	CET	1528	4777.77
