Name	ISIN	Symbol	Market	Trading Currency	Open	High	Low	Last	Last Date/Time	Time Zone	Volume	Turnover
European Equities
19 Jul 2021
All datapoints provided as of end of last active trading day.
1000MERCIS	FR0010285965	ALMIL	Euronext Growth Paris	EUR	19.10	19.10	18.75	18.75	19/07/21 16:53	CET	104	1968.95
2CRSI	FR0013341781	2CRSI	Euronext Paris	EUR	4.055	4.065	3.83	3.855	19/07/21 17:35	CET	27079	106118.075
2MX ORGANIC	FR0014000T90	2MX	Euronext Paris	EUR	9.76	9.76	9.71	9.71	19/07/21 17:35	CET	8146	79398.068
2MX ORGANIC BS	FR0014000TB2	2MXBS	Euronext Paris	EUR	0.40	0.40	0.40	0.40	19/07/21 16:38	CET	1500	600.00
A TOUTE VITESSE	FR0010050773	MLATV	Euronext Access Paris	EUR	1.48	1.48	1.35	1.35	13/11/19 16:53	CET	378	521.87
A.S.T. GROUPE	FR0000076887	ASP	Euronext Paris	EUR	6.46	6.46	6.14	6.18	19/07/21 17:35	CET	5622	35338.94
AB SCIENCE	FR0010557264	AB	Euronext Paris	EUR	12.69	14.15	12.38	13.97	19/07/21 17:36	CET	542398	7178646.87
ABC ARBITRAGE	FR0004040608	ABCA	Euronext Paris	EUR	7.00	7.09	6.98	6.98	19/07/21 17:35	CET	39677	278696.28
ABEO	FR0013185857	ABEO	Euronext Paris	EUR	16.40	16.40	15.20	15.40	19/07/21 17:26	CET	2970	46641.00
ABIONYX PHARMA	FR0012616852	ABNX	Euronext Paris	EUR	0.944	0.944	0.91	0.91	19/07/21 17:35	CET	67683	62006.782
ABIVAX	FR0012333284	ABVX	Euronext Paris	EUR	30.25	31.60	29.85	31.60	19/07/21 17:35	CET	30420	933859.75
ABO GROUP	BE0974278104	ABO	Euronext Brussels, Paris	EUR	6.15	6.30	6.15	6.30	19/07/21 09:18	CET	750	4686.00
ACANTHE DEV.	FR0000064602	ACAN	Euronext Paris	EUR	0.392	0.392	0.376	0.377	19/07/21 12:53	CET	23423	8894.272
ACCOR	FR0000120404	AC	Euronext Paris	EUR	29.64	29.67	28.51	28.91	19/07/21 17:35	CET	1284722	37124546.25
ACCOR AC SHARES	FR0014003PZ3	AAC	Euronext Paris	EUR	9.84	9.849	9.80	9.849	19/07/21 17:29	CET	3002	29539.649
ACCOR AC WARRANTS	FR0014003QK3	AACW	Euronext Paris	EUR	0.40	0.40	0.40	0.40	16/07/21 14:46	CET	313000	125200.00
ACCOR NV21	FR00140015P7	ACNV	Euronext Paris	EUR	-	-	-	-	-	CET	-	-
ACHETER-LOUER.FR	FR0010493510	ALALO	Euronext Growth Paris	EUR	0.022	0.0227	0.0195	0.0203	19/07/21 17:35	CET	17080277	347860.6308
ACTEOS	FR0000076861	EOS	Euronext Paris	EUR	2.61	2.70	2.60	2.60	19/07/21 17:24	CET	1585	4212.35
ACTIA GROUP	FR0000076655	ATI	Euronext Paris	EUR	2.92	2.99	2.81	2.86	19/07/21 17:35	CET	43098	123864.56
ACTIVIUM GROUP	FR0010979377	MLACT	Euronext Access Paris	EUR	1.50	1.50	1.50	1.50	14/07/21 11:33	CET	99	148.50
ADA	FR0000053076	ALADA	Euronext Growth Paris	EUR	9.75	9.75	9.75	9.75	19/07/21 09:00	CET	1	9.75
ADC SIIC	BE0974269012	ALDV	Euronext Paris	EUR	0.114	0.114	0.114	0.114	16/07/21 11:30	CET	12010	1369.14
ADEUNIS	FR0013284627	ALARF	Euronext Growth Paris	EUR	2.54	2.65	2.53	2.65	19/07/21 16:59	CET	2468	6365.73
ADL PARTNER	FR0000062978	ALP	Euronext Paris	EUR	15.30	15.35	14.90	15.15	19/07/21 17:19	CET	1535	23200.10
ADOCIA	FR0011184241	ADOC	Euronext Paris	EUR	9.75	10.02	9.38	9.62	19/07/21 16:17	CET	14804	144525.82
ADOMOS	FR0013247244	ALADO	Euronext Growth Paris	EUR	0.205	0.206	0.20	0.205	19/07/21 17:28	CET	28124	5692.8995
ADP	FR0010340141	ADP	Euronext Paris	EUR	106.35	106.35	102.05	103.35	19/07/21 17:39	CET	146039	15136224.90
ADTHINK	FR0010457531	ALADM	Euronext Growth Paris	EUR	1.45	1.46	1.39	1.42	19/07/21 17:27	CET	28462	40402.31
ADUX	FR0012821890	ADUX	Euronext Paris, Amsterdam	EUR	1.92	1.92	1.895	1.895	19/07/21 14:19	CET	749	1426.855
ADVENIS	FR0004152874	ADV	Euronext Paris	EUR	2.12	2.15	2.05	2.15	19/07/21 17:29	CET	9025	18648.59
ADVICENNE	FR0013296746	ADVIC	Euronext Paris, Brussels	EUR	7.06	7.15	6.70	6.77	19/07/21 17:35	CET	24166	165432.54
ADVINI	FR0000053043	ADVI	Euronext Paris	EUR	20.60	21.00	20.40	20.40	19/07/21 16:54	CET	15050	316046.80
AERKOMM INC	US00774B2088	AKOM	Euronext Paris	EUR	4.18	4.18	4.18	4.18	19/07/21 09:00	CET	7	29.26
AFFLUENT MEDICAL	FR0013333077	AFME	Euronext Paris	EUR	7.08	7.08	6.71	7.03	19/07/21 16:38	CET	1185	8102.63
AG3I	FR0011908045	MLAGI	Euronext Access Paris	EUR	0.50	0.50	0.50	0.50	16/06/21 11:30	CET	2	1.00
AGP MALAGA SOCIMI	ES0105478004	MLAGP	Euronext Access Paris	EUR	2.95	2.95	2.95	2.95	23/11/20 11:52	CET	2000	5900.00
AGRIPOWER	FR0013452281	ALAGP	Euronext Growth Paris	EUR	8.16	8.16	7.94	8.00	19/07/21 17:35	CET	8479	67925.70
AGROGENERATION	FR0010641449	ALAGR	Euronext Growth Paris	EUR	0.146	0.146	0.142	0.142	19/07/21 17:29	CET	107637	15461.4055
AIR FRANCE -KLM	FR0000031122	AF	Euronext Paris, Amsterdam	EUR	3.85	3.865	3.669	3.792	19/07/21 17:35	CET	6035089	22619629.569
AIR LIQUIDE	FR0000120073	AI	Euronext Paris	EUR	148.36	149.00	145.94	146.86	19/07/21 17:35	CET	819397	120412042.70
AIR MARINE	FR0013285103	MLAIM	Euronext Access Paris	EUR	1.95	1.95	1.95	1.95	16/07/21 16:30	CET	8	15.60
AIRBUS	NL0000235190	AIR	Euronext Paris	EUR	108.50	108.74	103.12	103.58	19/07/21 17:39	CET	3974206	416210767.66
AKKA TECHNOLOGIES	FR0004180537	AKA	Euronext Paris, Brussels	EUR	21.40	21.40	20.28	20.56	19/07/21 17:35	CET	67808	1407194.78
AKWEL	FR0000053027	AKW	Euronext Paris	EUR	22.20	22.40	21.50	21.75	19/07/21 17:35	CET	16862	369503.10
ALAN ALLMAN	FR0000062465	AAA	Euronext Paris	EUR	4.02	4.06	4.02	4.06	19/07/21 16:30	CET	501	2034.02
ALBIOMA	FR0000060402	ABIO	Euronext Paris	EUR	34.10	34.12	32.86	33.60	19/07/21 17:35	CET	85492	2850025.38
ALCHIMIE	FR0014000JX7	ALCHI	Euronext Growth Paris	EUR	15.42	15.50	14.70	14.90	19/07/21 17:35	CET	1506	22689.26
ALD	FR0013258662	ALD	Euronext Paris	EUR	12.28	12.28	11.82	11.88	19/07/21 17:35	CET	173163	2082387.72
ALEPH FINANCE	GB00BJ9M4V82	MLALE	Euronext Access Paris	EUR	1.95	1.95	1.95	1.95	24/05/21 12:03	CET	25000	48750.00
ALES GROUPE	FR0000054652	ALPHY	Euronext Growth Paris	EUR	1.18	1.20	1.18	1.18	29/06/20 16:07	CET	1401	1671.18
ALPES (Cie) NV21	FR00140017V1	CDANV	Euronext Paris	EUR	-	-	-	-	-	CET	-	-
ALPES (COMPAGNIE)	FR0000053324	CDA	Euronext Paris	EUR	13.02	13.04	12.34	12.38	19/07/21 17:35	CET	57956	733031.94
ALPHA MOS	FR0013421286	ALM	Euronext Paris	EUR	2.75	2.82	2.30	2.42	19/07/21 17:35	CET	27458	68074.27
ALSTOM	FR0010220475	ALO	Euronext Paris	EUR	35.25	35.27	34.77	35.15	19/07/21 17:35	CET	1577177	55284617.70
ALSTOM NV21	FR00140012E8	ALONV	Euronext Paris	EUR	44.00	44.00	44.00	44.00	13/07/21 16:30	CET	30	1320.00
ALTAMIR	FR0000053837	LTA	Euronext Paris	EUR	24.03	24.03	23.90	23.90	19/07/21 17:35	CET	11193	268649.835
ALTAREA	FR0000033219	ALTA	Euronext Paris	EUR	184.00	184.20	176.60	178.00	19/07/21 17:35	CET	12000	2145711.20
ALTAREIT	FR0000039216	AREIT	Euronext Paris	EUR	605.00	605.00	600.00	600.00	19/07/21 16:30	CET	3	1805.00
ALTEN	FR0000071946	ATE	Euronext Paris	EUR	112.80	112.90	110.00	111.30	19/07/21 17:35	CET	54182	6023053.00
ALTHEORA	FR0000061244	ALORA	Euronext Growth Paris	EUR	1.735	1.735	1.73	1.73	19/07/21 15:04	CET	1185	2053.055
ALTUR INVEST.	FR0010395681	ALTUR	Euronext Paris	EUR	5.75	5.75	5.70	5.70	19/07/21 15:30	CET	9543	54865.10
ALVEEN	FR0013253812	MLALV	Euronext Access Paris	EUR	1.69	1.69	1.69	1.69	19/07/21 11:30	CET	1	1.69
AMA CORPORATION	GB00BNKGZC51	ALAMA	Euronext Growth Paris	EUR	6.60	6.60	6.50	6.50	19/07/21 17:29	CET	14339	93299.09
AMATHEON AGRI	NL0010273694	MLAAH	Euronext Access Paris	EUR	0.096	0.096	0.096	0.096	19/07/21 11:30	CET	43701	4195.296
AMOEBA	FR0011051598	ALMIB	Euronext Growth Paris	EUR	1.37	1.37	1.293	1.30	19/07/21 17:35	CET	67813	88489.314
AMPLITUDE SURGICAL	FR0012789667	AMPLI	Euronext Paris	EUR	2.20	2.24	2.20	2.22	19/07/21 17:28	CET	1389	3074.16
AMUNDI	FR0004125920	AMUN	Euronext Paris	EUR	75.35	75.45	73.70	74.40	19/07/21 17:35	CET	162341	12070798.30
ANTEVENIO	ES0109429037	ALANT	Euronext Growth Paris	EUR	5.30	5.30	5.30	5.30	19/07/21 11:23	CET	11	58.30
APERAM	LU0569974404	APAM	Euronext Amsterdam, Brussels, Paris	EUR	46.53	46.60	45.41	46.12	19/07/21 17:35	CET	245027	11283512.90
APTORUM GROUP CL A	KYG6096M1069	APM	Euronext Paris	EUR	2.70	2.70	2.70	2.70	15/01/21 13:35	CET	426	1150.20
AQUILA	FR0010340711	ALAQU	Euronext Growth Paris	EUR	6.80	6.80	6.80	6.80	19/07/21 16:30	CET	300	2040.00
ARAMIS GROUP	FR0014003U94	ARAMI	Euronext Paris	EUR	19.94	19.98	19.00	19.24	19/07/21 17:35	CET	22077	428105.86
ARCELORMITTAL SA	LU1598757687	MT	Euronext Amsterdam, Paris	EUR	24.945	25.095	23.98	24.59	19/07/21 17:39	CET	6901981	169024232.70
ARCHOS	FR0000182479	ALJXR	Euronext Growth Paris	EUR	0.0059	0.006	0.0054	0.0056	19/07/21 17:35	CET	7599158	43157.4862
ARCURE	FR0013398997	ALCUR	Euronext Growth Paris	EUR	3.36	3.36	3.33	3.33	19/07/21 13:29	CET	221	740.76
ARDOIN ST AMAND A	FR0005057635	MLARD	Euronext Access Paris	EUR	133.00	133.00	133.00	133.00	15/06/21 17:07	CET	97	12901.00
ARDOIN ST AMAND B	FR0004070795	ARDO	Euronext Access Paris	EUR	72.00	72.00	72.00	72.00	03/08/20 16:30	CET	2	144.00
ARGAN	FR0010481960	ARG	Euronext Paris	EUR	113.00	114.40	109.00	109.00	19/07/21 17:35	CET	7012	774567.80
ARKEMA	FR0010313833	AKE	Euronext Paris	EUR	104.70	104.75	101.70	102.80	19/07/21 17:35	CET	283180	29143294.55
AROCA DEL PINAR	ES0105486007	MLARO	Euronext Access Paris	EUR	14.60	14.60	14.60	14.60	16/08/20 00:00	CET	-	-
ARTEA	FR0012185536	ARTE	Euronext Paris	EUR	13.60	13.60	13.60	13.60	19/07/21 09:00	CET	1	13.60
ARTEFACT	FR0000079683	ALATF	Euronext Growth Paris	EUR	5.56	5.59	5.24	5.45	19/07/21 17:35	CET	275645	1501916.12
ARTMARKET COM	FR0000074783	PRC	Euronext Paris	EUR	5.31	5.36	4.95	5.11	19/07/21 17:35	CET	11376	57903.24
ARTOIS NOM.	FR0000076952	ARTO	Euronext Paris	EUR	5000.00	5050.00	5000.00	5050.00	13/07/21 16:30	CET	2	10050.00
ASHLER ET MANSON	FR0012968485	MLAEM	Euronext Access Paris	EUR	2.18	2.18	2.18	2.18	29/06/21 11:30	CET	175	381.50
ASIT	BE0974289218	ASIT	Euronext Brussels, Paris	EUR	0.328	0.328	0.292	0.317	19/07/21 17:35	CET	116867	36340.703
ASSYSTEM	FR0000074148	ASY	Euronext Paris	EUR	29.10	29.10	28.90	28.95	19/07/21 17:35	CET	1033	29863.00
ATARI	FR0010478248	ATA	Euronext Paris	EUR	0.373	0.378	0.355	0.3575	19/07/21 17:39	CET	2992791	1083867.6595
ATEME	FR0011992700	ATEME	Euronext Paris	EUR	14.30	14.30	12.90	13.02	19/07/21 17:37	CET	62771	841572.90
ATOS	FR0000051732	ATO	Euronext Paris	EUR	41.45	41.95	39.98	40.41	19/07/21 17:39	CET	1232591	50232567.41
AUBAY	FR0000063737	AUB	Euronext Paris	EUR	44.20	44.20	43.00	43.00	19/07/21 17:35	CET	7507	325953.85
AUDIENCE LABS	FR0011896463	MLAUD	Euronext Access Paris	EUR	3.40	3.40	3.40	3.40	15/07/21 11:30	CET	15	51.00
