Name	ISIN	Symbol	Market	Trading Currency	Open	High	Low	Last	Last Date/Time	Time Zone	Volume	Turnover
European Equities
22 Jun 2020
All datapoints provided as of end of last active trading day.
1000MERCIS	FR0010285965	ALMIL	Euronext Growth Paris	EUR	18.8	19.1	18.7	18.7	22/06/20 16:49	CET	931	17646.8
2CRSI	FR0013341781	2CRSI	Euronext Paris	EUR	3.60	3.625	3.55	3.625	22/06/20 17:35	CET	12510	44913.84
A TOUTE VITESSE	FR0010050773	MLATV	Euronext Access Paris	EUR	1.48	1.48	1.35	1.35	13/11/19 16:53	CET	378	521.87
A.S.T. GROUPE	FR0000076887	ASP	Euronext Paris	EUR	2.69	2.69	2.60	2.68	22/06/20 13:53	CET	3048	8095.28
AB SCIENCE	FR0010557264	AB	Euronext Paris	EUR	9.23	9.36	9.14	9.20	22/06/20 17:35	CET	96589	892757.81
ABC ARBITRAGE	FR0004040608	ABCA	Euronext Paris	EUR	6.78	6.89	6.72	6.84	22/06/20 17:35	CET	15397	104939.11
ABEO	FR0013185857	ABEO	Euronext Paris	EUR	8.00	8.16	8.00	8.06	22/06/20 17:03	CET	2076	16780.58
ABIONYX PHARMA	FR0012616852	ABNX	Euronext Paris	EUR	0.93	0.96	0.893	0.92	22/06/20 17:38	CET	150076	139920.564
ABIVAX	FR0012333284	ABVX	Euronext Paris	EUR	20.90	21.40	20.55	20.70	22/06/20 17:35	CET	21002	440607.70
ACANTHE DEV.	FR0000064602	ACAN	Euronext Paris	EUR	0.448	0.448	0.438	0.438	22/06/20 16:03	CET	1112	487.066
ACCOR	FR0000120404	AC	Euronext Paris	EUR	25.05	25.89	24.51	25.15	22/06/20 17:36	CET	1363074	34351525.50
ACCOR NV20	FR0013466885	ACNV	Euronext Paris	EUR	-	-	-	-	-	CET	-	-
ACHETER-LOUER.FR	FR0010493510	ALALO	Euronext Growth Paris	EUR	0.0291	0.03	0.0287	0.0292	22/06/20 17:14	CET	2421070	71265.9049
ACTEOS	FR0000076861	EOS	Euronext Paris	EUR	1.485	1.485	1.46	1.485	22/06/20 15:27	CET	651	955.51
ACTIA GROUP	FR0000076655	ATI	Euronext Paris	EUR	2.505	2.53	2.475	2.485	22/06/20 16:50	CET	9525	23859.645
