Name	ISIN	Symbol	Market	Trading Currency	Open	High	Low	Last	Last Date/Time	Time Zone	Volume	Turnover
European Equities
04 Jun 2021
All datapoints provided as of end of last active trading day.
1000MERCIS	FR0010285965	ALMIL	Euronext Growth Paris	EUR	18.65	18.65	18.65	18.65	04/06/21 09:00	CET	1	18.65
2CRSI	FR0013341781	2CRSI	Euronext Paris	EUR	4.53	4.57	4.50	4.55	04/06/21 17:29	CET	14041	63627.205
2MX ORGANIC	FR0014000T90	2MX	Euronext Paris	EUR	9.92	9.95	9.90	9.91	04/06/21 17:36	CET	18461	183176.965
2MX ORGANIC BS	FR0014000TB2	2MXBS	Euronext Paris	EUR	0.42	0.42	0.42	0.42	14/05/21 11:32	CET	16445	6906.90
A TOUTE VITESSE	FR0010050773	MLATV	Euronext Access Paris	EUR	1.48	1.48	1.35	1.35	13/11/19 16:53	CET	378	521.87
A.S.T. GROUPE	FR0000076887	ASP	Euronext Paris	EUR	7.60	7.60	7.48	7.52	04/06/21 17:29	CET	1652	12508.80
AB SCIENCE	FR0010557264	AB	Euronext Paris	EUR	10.70	11.88	10.70	11.18	31/05/21 17:35	CET	396344	4480257.95
ABC ARBITRAGE	FR0004040608	ABCA	Euronext Paris	EUR	7.20	7.23	7.10	7.10	04/06/21 17:38	CET	83221	594047.99
ABEO	FR0013185857	ABEO	Euronext Paris	EUR	11.95	12.00	11.90	12.00	04/06/21 17:35	CET	2422	28898.55
ABIONYX PHARMA	FR0012616852	ABNX	Euronext Paris	EUR	1.28	1.284	1.218	1.276	04/06/21 17:35	CET	311228	391243.712
ABIVAX	FR0012333284	ABVX	Euronext Paris	EUR	28.10	28.50	27.80	27.95	04/06/21 17:35	CET	19431	543832.40
ABO GROUP	BE0974278104	ABO	Euronext Brussels, Paris	EUR	6.45	6.50	6.30	6.45	04/06/21 17:27	CET	3210	20627.95
ACANTHE DEV.	FR0000064602	ACAN	Euronext Paris	EUR	0.418	0.423	0.416	0.423	04/06/21 16:18	CET	4694	1975.14
ACCOR	FR0000120404	AC	Euronext Paris	EUR	33.95	34.11	33.78	34.01	04/06/21 17:38	CET	613249	20851851.82
ACCOR AC SHARES	FR0014003PZ3	AAC	Euronext Paris	EUR	9.89	9.99	9.89	9.90	04/06/21 17:21	CET	5373	53262.783
ACCOR NV21	FR00140015P7	ACNV	Euronext Paris	EUR	-	-	-	-	-	CET	-	-
ACHETER-LOUER.FR	FR0010493510	ALALO	Euronext Growth Paris	EUR	0.0438	0.0451	0.0434	0.0439	04/06/21 17:35	CET	1310926	57541.843
ACTEOS	FR0000076861	EOS	Euronext Paris	EUR	2.67	3.40	2.57	3.06	04/06/21 17:36	CET	56243	168348.77
ACTIA GROUP	FR0000076655	ATI	Euronext Paris	EUR	3.00	3.04	2.90	3.00	04/06/21 17:35	CET	29724	87930.13
ACTIPLAY (GROUPE)	FR0011038348	ALACT	Euronext Growth Paris	EUR	2.79	2.935	2.735	2.795	04/06/21 17:35	CET	42838	119759.775
ACTIVIUM GROUP	FR0010979377	MLACT	Euronext Access Paris	EUR	1.47	1.47	1.47	1.47	03/06/21 13:10	CET	47	69.09
ADA	FR0000053076	ALADA	Euronext Growth Paris	EUR	10.40	10.40	10.00	10.20	04/06/21 17:29	CET	646	6543.50
ADC SIIC	BE0974269012	ALDV	Euronext Paris	EUR	0.133	0.133	0.133	0.133	04/06/21 16:30	CET	500	66.50
ADEUNIS	FR0013284627	ALARF	Euronext Growth Paris	EUR	2.67	2.74	2.63	2.70	04/06/21 17:09	CET	14209	38248.92
ADL PARTNER	FR0000062978	ALP	Euronext Paris	EUR	18.20	18.20	18.00	18.15	04/06/21 16:27	CET	1050	19083.15
ADOCIA	FR0011184241	ADOC	Euronext Paris	EUR	9.24	9.59	9.22	9.51	04/06/21 17:16	CET	15290	143538.98
ADOMOS	FR0013247244	ALADO	Euronext Growth Paris	EUR	0.218	0.218	0.203	0.2175	04/06/21 17:08	CET	51669	10903.175
ADP	FR0010340141	ADP	Euronext Paris	EUR	112.80	112.85	111.40	111.90	04/06/21 17:35	CET	53463	5989572.35
ADTHINK	FR0010457531	ALADM	Euronext Growth Paris	EUR	2.07	2.08	1.95	2.03	04/06/21 17:35	CET	95344	190277.58
ADUX	FR0012821890	ADUX	Euronext Paris, Amsterdam	EUR	2.08	2.11	2.05	2.07	04/06/21 17:35	CET	1882	3902.67
ADVENIS	FR0004152874	ADV	Euronext Paris	EUR	2.15	2.50	2.15	2.20	04/06/21 15:13	CET	2889	6425.72
ADVICENNE	FR0013296746	ADVIC	Euronext Paris, Brussels	EUR	8.76	8.90	8.60	8.89	04/06/21 17:35	CET	23180	203673.14
ADVINI	FR0000053043	ADVI	Euronext Paris	EUR	20.60	21.00	20.20	21.00	04/06/21 16:37	CET	1207	25251.80
AERKOMM INC	US00774B2088	AKOM	Euronext Paris	EUR	4.80	4.80	4.80	4.80	04/06/21 09:20	CET	1	4.80
AG3I	FR0011908045	MLAGI	Euronext Access Paris	EUR	3.46	3.46	3.46	3.46	08/11/19 16:30	CET	2	6.92
AGP MALAGA SOCIMI	ES0105478004	MLAGP	Euronext Access Paris	EUR	2.95	2.95	2.95	2.95	23/11/20 11:52	CET	2000	5900.00
AGRIPOWER	FR0013452281	ALAGP	Euronext Growth Paris	EUR	8.26	8.26	8.02	8.26	04/06/21 17:35	CET	7633	61965.16
AGROGENERATION	FR0010641449	ALAGR	Euronext Growth Paris	EUR	0.1695	0.1695	0.163	0.1675	04/06/21 16:12	CET	45419	7450.8425
AIR FRANCE -KLM	FR0000031122	AF	Euronext Paris, Amsterdam	EUR	4.69	4.699	4.556	4.579	04/06/21 17:35	CET	5404076	24873254.645
AIR LIQUIDE	FR0000120073	AI	Euronext Paris	EUR	140.66	140.98	140.18	140.92	04/06/21 17:35	CET	386060	54330072.80
AIR MARINE	FR0013285103	MLAIM	Euronext Access Paris	EUR	2.00	2.00	2.00	2.00	04/06/21 16:30	CET	50	100.00
AIRBUS	NL0000235190	AIR	Euronext Paris	EUR	109.80	110.34	109.28	109.92	04/06/21 17:36	CET	1244330	136681889.66
AKKA TECHNOLOGIES	FR0004180537	AKA	Euronext Paris, Brussels	EUR	24.10	24.20	23.76	24.02	04/06/21 17:35	CET	41226	990843.86
AKWEL	FR0000053027	AKW	Euronext Paris	EUR	27.45	28.90	27.45	28.70	04/06/21 17:35	CET	17763	505203.70
ALAN ALLMAN	FR0000062465	AAA	Euronext Paris	EUR	4.66	4.66	4.66	4.66	04/06/21 16:30	CET	10	46.60
ALBIOMA	FR0000060402	ABIO	Euronext Paris	EUR	34.36	34.46	33.82	34.40	04/06/21 17:35	CET	74670	2554610.10
ALCHIMIE	FR0014000JX7	ALCHI	Euronext Growth Paris	EUR	17.20	17.20	17.00	17.00	04/06/21 17:35	CET	839	14342.04
ALD	FR0013258662	ALD	Euronext Paris	EUR	12.90	13.08	12.82	12.90	04/06/21 17:35	CET	134680	1739946.64
ALEPH FINANCE	GB00BJ9M4V82	MLALE	Euronext Access Paris	EUR	1.95	1.95	1.95	1.95	24/05/21 12:03	CET	25000	48750.00
ALES GROUPE	FR0000054652	ALPHY	Euronext Growth Paris	EUR	1.18	1.20	1.18	1.18	29/06/20 16:07	CET	1401	1671.18
ALPES (Cie) NV21	FR00140017V1	CDANV	Euronext Paris	EUR	-	-	-	-	-	CET	-	-
ALPES (COMPAGNIE)	FR0000053324	CDA	Euronext Paris	EUR	21.70	21.90	21.60	21.70	04/06/21 17:36	CET	8142	176921.00
ALPHA MOS	FR0013421286	ALM	Euronext Paris	EUR	1.935	1.935	1.80	1.855	04/06/21 14:11	CET	2669	4880.74
ALSTOM	FR0010220475	ALO	Euronext Paris	EUR	46.05	46.17	45.73	45.73	04/06/21 17:39	CET	667185	30577493.54
ALSTOM NV21	FR00140012E8	ALONV	Euronext Paris	EUR	45.00	46.00	45.00	46.00	02/06/21 17:05	CET	26274	1207334.00
ALTAMIR	FR0000053837	LTA	Euronext Paris	EUR	24.00	24.20	23.75	23.90	04/06/21 17:35	CET	4230	101370.665
ALTAREA	FR0000033219	ALTA	Euronext Paris	EUR	189.80	190.00	187.60	188.80	04/06/21 17:35	CET	4428	837478.00
ALTAREIT	FR0000039216	AREIT	Euronext Paris	EUR	595.00	595.00	595.00	595.00	04/06/21 11:30	CET	1	595.00
ALTEN	FR0000071946	ATE	Euronext Paris	EUR	102.20	103.20	101.90	102.90	04/06/21 17:35	CET	24133	2479780.80
ALTHEORA	FR0000061244	ALORA	Euronext Growth Paris	EUR	1.775	1.81	1.775	1.81	04/06/21 16:58	CET	1525	2717.36
