Name	ISIN	Symbol	Market	Trading Currency	Open	High	Low	Last	Last Date/Time	Time Zone	Volume	Turnover
European Equities
26 Mar 2021
All datapoints provided as of end of last active trading day.
1000MERCIS	FR0010285965	ALMIL	Euronext Growth Paris	EUR	19.20	19.20	19.15	19.15	26/03/21 17:35	CET	247	4741.85
2CRSI	FR0013341781	2CRSI	Euronext Paris	EUR	5.03	5.06	5.01	5.06	26/03/21 17:35	CET	13428	67580.91
2MX ORGANIC	FR0014000T90	2MX	Euronext Paris	EUR	9.81	10.00	9.631	9.896	26/03/21 17:35	CET	20072	197257.733
2MX ORGANIC BS	FR0014000TB2	2MXBS	Euronext Paris	EUR	0.54	0.54	0.54	0.54	25/03/21 12:06	CET	500	270.00
A TOUTE VITESSE	FR0010050773	MLATV	Euronext Access Paris	EUR	1.48	1.48	1.35	1.35	13/11/19 16:53	CET	378	521.87
A.S.T. GROUPE	FR0000076887	ASP	Euronext Paris	EUR	5.96	5.96	5.60	5.96	26/03/21 17:35	CET	25188	146771.74
AB SCIENCE	FR0010557264	AB	Euronext Paris	EUR	14.42	15.02	14.34	15.02	26/03/21 17:36	CET	110296	1634494.20
ABC ARBITRAGE	FR0004040608	ABCA	Euronext Paris	EUR	7.27	7.47	7.27	7.40	26/03/21 17:35	CET	133072	977481.49
ABEO	FR0013185857	ABEO	Euronext Paris	EUR	12.05	12.15	12.00	12.00	26/03/21 17:35	CET	2916	35087.50
ABIONYX PHARMA	FR0012616852	ABNX	Euronext Paris	EUR	1.064	1.148	1.00	1.022	26/03/21 17:37	CET	1076422	1140877.528
ABIVAX	FR0012333284	ABVX	Euronext Paris	EUR	17.80	18.40	17.76	18.10	26/03/21 17:35	CET	25996	471304.50
ACANTHE DEV.	FR0000064602	ACAN	Euronext Paris	EUR	0.423	0.423	0.408	0.42	26/03/21 16:33	CET	30324	12562.331
ACCOR	FR0000120404	AC	Euronext Paris	EUR	32.48	32.80	32.13	32.23	26/03/21 17:36	CET	823927	26661984.47
ACCOR NV21	FR00140015P7	ACNV	Euronext Paris	EUR	-	-	-	-	-	CET	-	-
ACHETER-LOUER.FR	FR0010493510	ALALO	Euronext Growth Paris	EUR	0.0789	0.0789	0.0715	0.0764	26/03/21 17:35	CET	24231635	1812257.8471
ACTEOS	FR0000076861	EOS	Euronext Paris	EUR	3.12	3.20	3.12	3.19	26/03/21 14:39	CET	1033	3229.86
ACTIA GROUP	FR0000076655	ATI	Euronext Paris	EUR	2.995	3.015	2.955	2.995	26/03/21 17:29	CET	11419	34194.765
ACTIPLAY (GROUPE)	FR0011038348	ALACT	Euronext Growth Paris	EUR	0.842	0.864	0.822	0.846	26/03/21 16:44	CET	51747	43669.826
ACTIVIUM GROUP	FR0010979377	MLACT	Euronext Access Paris	EUR	1.40	1.41	1.40	1.41	26/03/21 16:30	CET	170	238.52
ADA	FR0000053076	ALADA	Euronext Growth Paris	EUR	8.55	8.60	8.55	8.60	26/03/21 13:11	CET	265	2266.75
ADC SIIC	BE0974269012	ALDV	Euronext Paris	EUR	0.097	0.097	0.097	0.097	22/03/21 16:30	CET	2000	194.00
ADEUNIS	FR0013284627	ALARF	Euronext Growth Paris	EUR	2.70	2.70	2.70	2.70	26/03/21 09:00	CET	26	70.20
ADL PARTNER	FR0000062978	ALP	Euronext Paris	EUR	16.50	16.55	16.40	16.55	26/03/21 16:56	CET	3151	51997.50
ADOCIA	FR0011184241	ADOC	Euronext Paris	EUR	10.42	10.46	10.10	10.16	26/03/21 17:35	CET	3127	31870.24
ADOMOS	FR0013247244	ALADO	Euronext Growth Paris	EUR	0.321	0.321	0.302	0.31	26/03/21 17:18	CET	265444	81645.259
ADP	FR0010340141	ADP	Euronext Paris	EUR	102.40	103.20	100.20	100.50	26/03/21 17:35	CET	62151	6282217.90
