Name	ISIN	Symbol	Market	Trading Currency	Open	High	Low	Last	Last Date/Time	Time Zone	Volume	Turnover
European Equities
08 Jun 2021
All datapoints provided as of end of last active trading day.
1000MERCIS	FR0010285965	ALMIL	Euronext Growth Paris	EUR	18.70	18.70	18.70	18.70	08/06/21 15:06	CET	171	3197.70
2CRSI	FR0013341781	2CRSI	Euronext Paris	EUR	4.46	4.64	4.46	4.615	08/06/21 17:35	CET	18019	82349.61
2MX ORGANIC	FR0014000T90	2MX	Euronext Paris	EUR	9.914	9.953	9.899	9.899	08/06/21 17:35	CET	9131	90633.157
2MX ORGANIC BS	FR0014000TB2	2MXBS	Euronext Paris	EUR	0.42	0.42	0.42	0.42	14/05/21 11:32	CET	16445	6906.90
A TOUTE VITESSE	FR0010050773	MLATV	Euronext Access Paris	EUR	1.48	1.48	1.35	1.35	13/11/19 16:53	CET	378	521.87
A.S.T. GROUPE	FR0000076887	ASP	Euronext Paris	EUR	7.30	7.40	7.02	7.22	08/06/21 17:35	CET	9682	69730.72
AB SCIENCE	FR0010557264	AB	Euronext Paris	EUR	10.70	11.88	10.70	11.18	31/05/21 17:35	CET	396344	4480257.95
ABC ARBITRAGE	FR0004040608	ABCA	Euronext Paris	EUR	6.85	6.97	6.85	6.97	08/06/21 17:35	CET	56917	392539.25
ABEO	FR0013185857	ABEO	Euronext Paris	EUR	12.70	12.95	12.50	12.85	08/06/21 17:35	CET	2705	34442.65
ABIONYX PHARMA	FR0012616852	ABNX	Euronext Paris	EUR	1.30	1.37	1.258	1.304	08/06/21 17:35	CET	353125	466212.908
ABIVAX	FR0012333284	ABVX	Euronext Paris	EUR	27.60	28.50	27.55	27.90	08/06/21 17:35	CET	17394	485848.55
ABO GROUP	BE0974278104	ABO	Euronext Brussels, Paris	EUR	6.40	6.40	6.10	6.35	08/06/21 16:11	CET	2400	15060.60
ACANTHE DEV.	FR0000064602	ACAN	Euronext Paris	EUR	0.426	0.43	0.426	0.43	08/06/21 15:49	CET	2982	1270.356
ACCOR	FR0000120404	AC	Euronext Paris	EUR	33.93	35.27	33.82	34.96	08/06/21 17:35	CET	952570	33111588.23
ACCOR AC SHARES	FR0014003PZ3	AAC	Euronext Paris	EUR	9.85	9.95	9.85	9.95	08/06/21 16:01	CET	5020	49947.00
ACCOR NV21	FR00140015P7	ACNV	Euronext Paris	EUR	-	-	-	-	-	CET	-	-
ACHETER-LOUER.FR	FR0010493510	ALALO	Euronext Growth Paris	EUR	0.0431	0.0434	0.04	0.0417	08/06/21 17:29	CET	4931750	206246.8627
ACTEOS	FR0000076861	EOS	Euronext Paris	EUR	2.85	2.86	2.72	2.78	08/06/21 16:51	CET	7586	21289.01
ACTIA GROUP	FR0000076655	ATI	Euronext Paris	EUR	3.08	3.09	3.04	3.09	08/06/21 17:36	CET	11191	34349.22
ACTIPLAY (GROUPE)	FR0011038348	ALACT	Euronext Growth Paris	EUR	2.69	2.70	2.46	2.505	08/06/21 17:35	CET	134262	346415.52
ACTIVIUM GROUP	FR0010979377	MLACT	Euronext Access Paris	EUR	1.47	1.47	1.47	1.47	03/06/21 13:10	CET	47	69.09
ADA	FR0000053076	ALADA	Euronext Growth Paris	EUR	10.10	10.10	10.10	10.10	08/06/21 09:00	CET	1	10.10
ADC SIIC	BE0974269012	ALDV	Euronext Paris	EUR	0.111	0.111	0.111	0.111	08/06/21 11:30	CET	1000	111.00
ADEUNIS	FR0013284627	ALARF	Euronext Growth Paris	EUR	2.76	2.76	2.63	2.63	08/06/21 17:03	CET	7196	19311.51
ADL PARTNER	FR0000062978	ALP	Euronext Paris	EUR	18.60	18.70	18.55	18.65	08/06/21 17:26	CET	2959	55006.20
ADOCIA	FR0011184241	ADOC	Euronext Paris	EUR	9.20	9.20	9.00	9.07	08/06/21 17:35	CET	6334	57686.27
ADOMOS	FR0013247244	ALADO	Euronext Growth Paris	EUR	0.22	0.22	0.198	0.20	08/06/21 17:35	CET	99978	20357.9061
ADP	FR0010340141	ADP	Euronext Paris	EUR	115.15	115.20	113.45	113.45	08/06/21 17:35	CET	67385	7673116.90
ADTHINK	FR0010457531	ALADM	Euronext Growth Paris	EUR	1.99	1.99	1.935	1.97	08/06/21 17:35	CET	30108	58880.67
ADUX	FR0012821890	ADUX	Euronext Paris, Amsterdam	EUR	2.05	2.05	2.03	2.03	08/06/21 17:35	CET	161	326.85
ADVENIS	FR0004152874	ADV	Euronext Paris	EUR	2.48	2.48	2.20	2.25	08/06/21 17:13	CET	6068	13897.57
ADVICENNE	FR0013296746	ADVIC	Euronext Paris, Brussels	EUR	8.70	8.89	8.14	8.67	08/06/21 17:35	CET	58274	494073.23
ADVINI	FR0000053043	ADVI	Euronext Paris	EUR	20.80	20.80	20.60	20.60	08/06/21 15:05	CET	6	124.00
AERKOMM INC	US00774B2088	AKOM	Euronext Paris	EUR	4.78	4.78	4.78	4.78	08/06/21 09:00	CET	1	4.78
AG3I	FR0011908045	MLAGI	Euronext Access Paris	EUR	3.46	3.46	3.46	3.46	08/11/19 16:30	CET	2	6.92
AGP MALAGA SOCIMI	ES0105478004	MLAGP	Euronext Access Paris	EUR	2.95	2.95	2.95	2.95	23/11/20 11:52	CET	2000	5900.00
AGRIPOWER	FR0013452281	ALAGP	Euronext Growth Paris	EUR	8.04	8.14	8.00	8.00	08/06/21 17:28	CET	3323	26689.86
AGROGENERATION	FR0010641449	ALAGR	Euronext Growth Paris	EUR	0.163	0.168	0.1625	0.168	08/06/21 16:26	CET	132392	22118.5815
AIR FRANCE -KLM	FR0000031122	AF	Euronext Paris, Amsterdam	EUR	4.62	4.648	4.546	4.556	08/06/21 17:35	CET	3720836	17050072.022
AIR LIQUIDE	FR0000120073	AI	Euronext Paris	EUR	141.38	141.70	140.40	140.86	08/06/21 17:39	CET	719670	101461219.64
