Name	ISIN	Symbol	Market	Trading Currency	Open	High	Low	Last	Last Date/Time	Time Zone	Volume	Turnover
European Equities
09 Aug 2022
All datapoints provided as of end of last active trading day.
1000MERCIS	FR0010285965	ALMIL	Euronext Growth Paris	EUR	28.90	28.90	27.40	27.40	09/08/2022 15:43	CET	155	4335.50
2CRSI	FR0013341781	2CRSI	Euronext Paris	EUR	3.20	3.26	3.175	3.245	09/08/2022 17:13	CET	4798	15432.03
A TOUTE VITESSE	FR0010050773	MLATV	Euronext Access Paris	EUR	1.48	1.48	1.35	1.35	13/11/2019 16:53	CET	378	521.87
A.S.T. GROUPE	FR0000076887	ALAST	Euronext Growth Paris	EUR	3.27	3.33	3.27	3.32	09/08/2022 17:35	CET	4436	14683.89
AB SCIENCE	FR0010557264	AB	Euronext Paris	EUR	7.985	8.06	7.80	7.90	09/08/2022 17:35	CET	21554	170588.36
ABC ARBITRAGE	FR0004040608	ABCA	Euronext Paris	EUR	7.05	7.05	7.00	7.04	09/08/2022 17:35	CET	13942	97964.18
ABEO	FR0013185857	ABEO	Euronext Paris	EUR	19.45	19.50	19.30	19.40	09/08/2022 17:29	CET	104	2018.65
ABIONYX PHARMA	FR0012616852	ABNX	Euronext Paris	EUR	1.906	2.07	1.866	2.03	09/08/2022 17:35	CET	282224	562525.784
ABIVAX	FR0012333284	ABVX	Euronext Paris	EUR	8.59	8.67	7.71	7.80	09/08/2022 17:38	CET	81369	653105.29
ABL Diagnostics	FR001400AHX6	ABLD	Euronext Paris	EUR	14.452	14.452	14.452	14.452	05/08/2022 11:30	CET	1000	14452.00
ABO GROUP	BE0974278104	ABO	Euronext Brussels, Paris	EUR	5.05	5.10	5.00	5.00	08/08/2022 16:30	CET	4156	20822.25
ACANTHE DEV.	FR0000064602	ACAN	Euronext Paris	EUR	0.422	0.422	0.413	0.414	09/08/2022 15:02	CET	13883	5761.224
ACCOR	FR0000120404	AC	Euronext Paris	EUR	26.67	26.77	26.34	26.40	09/08/2022 17:36	CET	361896	9581588.80
ACCOR AC SHARES	FR0014003PZ3	AAC	Euronext Paris	EUR	9.55	9.55	9.55	9.55	09/08/2022 17:29	CET	75	716.25
ACCOR AC WARRANTS	FR0014003QK3	AACW	Euronext Paris	EUR	0.14	0.14	0.14	0.14	01/04/2022 16:16	CET	1200	168.00
ACHETER-LOUER.FR	FR00140072P8	ALALO	Euronext Growth Paris	EUR	0.0008	0.0009	0.0007	0.0007	09/08/2022 17:35	CET	207866356	171309.7021
ACTEOS	FR0000076861	EOS	Euronext Paris	EUR	1.595	1.595	1.565	1.565	09/08/2022 15:00	CET	889	1391.315
ACTIA GROUP	FR0000076655	ATI	Euronext Paris	EUR	4.295	4.295	4.175	4.295	09/08/2022 17:35	CET	6076	25735.03
ACTICOR BIOTECH	FR0014005OJ5	ALACT	Euronext Growth Paris	EUR	5.80	5.90	5.72	5.80	09/08/2022 16:16	CET	2058	11932.20
ACTIVIUM GROUP	FR0010979377	MLACT	Euronext Access Paris	EUR	1.26	1.28	1.26	1.28	08/08/2022 16:30	CET	160	204.60
ADC SIIC	BE0974269012	ALDV	Euronext Paris	EUR	0.08	0.08	0.08	0.08	08/08/2022 16:30	CET	2900	232.00
ADEUNIS	FR0013284627	ALARF	Euronext Growth Paris	EUR	2.38	2.39	2.30	2.30	09/08/2022 17:35	CET	348	813.71
ADOCIA	FR0011184241	ADOC	Euronext Paris	EUR	5.00	5.14	4.855	4.98	09/08/2022 17:35	CET	41251	205357.80
ADOMOS	FR0013247244	ALADO	Euronext Growth Paris	EUR	0.0162	0.017	0.0156	0.0162	09/08/2022 17:27	CET	1360170	21972.0691
