Name	ISIN	Symbol	Market	Trading Currency	Open	High	Low	Last	Last Date/Time	Time Zone	Volume	Turnover
European Equities
24 Aug 2021
All datapoints provided as of end of last active trading day.
1000MERCIS	FR0010285965	ALMIL	Euronext Growth Paris	EUR	18.60	18.85	18.60	18.65	24/08/21 12:39	CET	200	3747.45
2CRSI	FR0013341781	2CRSI	Euronext Paris	EUR	4.28	4.395	4.28	4.385	24/08/21 17:35	CET	14558	63341.685
2MX ORGANIC	FR0014000T90	2MX	Euronext Paris	EUR	9.86	10.04	9.86	10.04	24/08/21 17:35	CET	21536	215221.758
2MX ORGANIC BS	FR0014000TB2	2MXBS	Euronext Paris	EUR	0.25	0.25	0.23	0.23	24/08/21 15:41	CET	10413	2409.01
A TOUTE VITESSE	FR0010050773	MLATV	Euronext Access Paris	EUR	1.48	1.48	1.35	1.35	13/11/19 16:53	CET	378	521.87
A.S.T. GROUPE	FR0000076887	ASP	Euronext Paris	EUR	6.36	6.48	6.36	6.42	24/08/21 16:00	CET	2237	14325.94
AB SCIENCE	FR0010557264	AB	Euronext Paris	EUR	14.20	14.65	13.75	13.90	24/08/21 17:35	CET	191363	2701569.41
ABC ARBITRAGE	FR0004040608	ABCA	Euronext Paris	EUR	7.25	7.25	7.19	7.19	24/08/21 17:35	CET	15212	109616.34
ABEO	FR0013185857	ABEO	Euronext Paris	EUR	15.25	15.75	15.20	15.65	24/08/21 17:35	CET	2280	35136.55
ABIONYX PHARMA	FR0012616852	ABNX	Euronext Paris	EUR	1.00	1.012	0.983	1.01	24/08/21 17:35	CET	28788	28754.984
ABIVAX	FR0012333284	ABVX	Euronext Paris	EUR	29.00	29.45	28.25	28.90	24/08/21 17:35	CET	21771	628005.35
ABO GROUP	BE0974278104	ABO	Euronext Brussels, Paris	EUR	6.05	6.15	6.05	6.10	24/08/21 17:29	CET	108	653.85
ACANTHE DEV.	FR0000064602	ACAN	Euronext Paris	EUR	0.407	0.407	0.398	0.398	24/08/21 15:55	CET	11389	4542.072
ACCOR	FR0000120404	AC	Euronext Paris	EUR	28.70	29.58	28.60	29.42	24/08/21 17:39	CET	1019556	29855653.95
ACCOR AC SHARES	FR0014003PZ3	AAC	Euronext Paris	EUR	9.601	9.89	9.601	9.89	13/08/21 16:11	CET	101	984.68
ACCOR AC WARRANTS	FR0014003QK3	AACW	Euronext Paris	EUR	0.40	0.40	0.40	0.40	30/07/21 09:00	CET	3	1.20
ACCOR NV21	FR00140015P7	ACNV	Euronext Paris	EUR	-	-	-	-	-	CET	-	-
ACHETER-LOUER.FR	FR0010493510	ALALO	Euronext Growth Paris	EUR	0.012	0.0122	0.0116	0.0121	24/08/21 17:29	CET	9849789	117663.6933
ACTEOS	FR0000076861	EOS	Euronext Paris	EUR	2.38	2.38	2.34	2.38	24/08/21 16:22	CET	342	804.31
ACTIA GROUP	FR0000076655	ATI	Euronext Paris	EUR	3.22	3.22	3.12	3.22	24/08/21 17:35	CET	5486	17505.37
ACTIVIUM GROUP	FR0010979377	MLACT	Euronext Access Paris	EUR	1.47	1.47	1.47	1.47	23/08/21 16:30	CET	1	1.47
ADA	FR0000053076	ALADA	Euronext Growth Paris	EUR	10.70	10.80	10.50	10.50	24/08/21 14:36	CET	575	6068.60
ADC SIIC	BE0974269012	ALDV	Euronext Paris	EUR	0.132	0.132	0.132	0.132	23/08/21 11:30	CET	2150	283.80
ADEUNIS	FR0013284627	ALARF	Euronext Growth Paris	EUR	2.54	2.56	2.51	2.52	24/08/21 16:30	CET	120	303.85
ADL PARTNER	FR0000062978	ALP	Euronext Paris	EUR	15.55	15.55	15.55	15.55	24/08/21 16:21	CET	923	14352.65
ADOCIA	FR0011184241	ADOC	Euronext Paris	EUR	9.00	9.19	8.95	9.14	24/08/21 17:39	CET	4447	40496.73
ADOMOS	FR0013247244	ALADO	Euronext Growth Paris	EUR	0.206	0.206	0.201	0.2055	24/08/21 17:35	CET	16429	3342.498
ADP	FR0010340141	ADP	Euronext Paris	EUR	100.80	102.40	100.75	102.00	24/08/21 17:35	CET	52396	5338228.80
ADTHINK	FR0010457531	ALADM	Euronext Growth Paris	EUR	1.32	1.37	1.29	1.32	24/08/21 13:34	CET	5739	7556.02
ADUX	FR0012821890	ADUX	Euronext Paris, Amsterdam	EUR	1.98	2.15	1.98	2.15	24/08/21 15:47	CET	7512	15630.61
ADVENIS	FR0004152874	ADV	Euronext Paris	EUR	2.14	2.14	2.14	2.14	24/08/21 17:35	CET	703	1504.42
ADVICENNE	FR0013296746	ADVIC	Euronext Paris, Brussels	EUR	7.55	7.63	7.45	7.60	24/08/21 17:35	CET	36768	278201.63
ADVINI	FR0000053043	ADVI	Euronext Paris	EUR	20.40	21.40	20.40	21.20	24/08/21 14:20	CET	137	2878.20
AERKOMM INC	US00774B2088	AKOM	Euronext Paris	EUR	3.52	3.52	3.52	3.52	24/08/21 09:00	CET	1	3.52
AFFLUENT MEDICAL	FR0013333077	AFME	Euronext Paris	EUR	5.79	5.85	5.70	5.70	24/08/21 16:33	CET	3596	20761.94
AG3I	FR0011908045	MLAGI	Euronext Access Paris	EUR	0.50	0.50	0.50	0.50	16/06/21 11:30	CET	2	1.00
AGP MALAGA SOCIMI	ES0105478004	MLAGP	Euronext Access Paris	EUR	2.95	2.95	2.95	2.95	23/11/20 11:52	CET	2000	5900.00
AGRIPOWER	FR0013452281	ALAGP	Euronext Growth Paris	EUR	7.52	7.62	7.40	7.54	24/08/21 16:20	CET	3853	28735.34
AGROGENERATION	FR0010641449	ALAGR	Euronext Growth Paris	EUR	0.187	0.1885	0.183	0.183	24/08/21 17:35	CET	337294	62743.9895
AIR FRANCE -KLM	FR0000031122	AF	Euronext Paris, Amsterdam	EUR	3.958	4.161	3.946	4.145	24/08/21 17:36	CET	8096699	33245112.643
AIR LIQUIDE	FR0000120073	AI	Euronext Paris	EUR	151.64	151.92	149.76	150.30	24/08/21 17:35	CET	458770	69027644.08
AIR MARINE	FR0013285103	MLAIM	Euronext Access Paris	EUR	2.00	2.00	2.00	2.00	24/08/21 16:30	CET	125	250.00
AIRBUS	NL0000235190	AIR	Euronext Paris	EUR	111.68	113.46	111.40	113.46	24/08/21 17:35	CET	847802	95743184.36
AIRWELL	FR0014003V77	MLAIR	Euronext Access Paris	EUR	4.10	4.15	4.10	4.15	24/08/21 16:30	CET	2313	9557.85
AKKA TECHNOLOGIES	FR0004180537	AKA	Euronext Paris, Brussels	EUR	47.06	47.10	46.92	47.10	24/08/21 17:35	CET	99233	4664649.72
AKWEL	FR0000053027	AKW	Euronext Paris	EUR	23.25	23.25	22.05	22.15	24/08/21 17:39	CET	21990	491217.70
ALAN ALLMAN	FR0000062465	AAA	Euronext Paris	EUR	6.10	6.10	6.10	6.10	24/08/21 11:30	CET	16	97.60
ALBIOMA	FR0000060402	ABIO	Euronext Paris	EUR	37.00	37.58	37.00	37.54	24/08/21 17:35	CET	37906	1417891.06
ALCHIMIE	FR0014000JX7	ALCHI	Euronext Growth Paris	EUR	15.18	15.18	14.90	14.90	24/08/21 16:47	CET	286	4309.20
ALD	FR0013258662	ALD	Euronext Paris	EUR	11.82	11.90	11.80	11.86	24/08/21 17:35	CET	80459	953866.94
ALEPH FINANCE	GB00BJ9M4V82	MLALE	Euronext Access Paris	EUR	1.95	1.95	1.95	1.95	24/05/21 12:03	CET	25000	48750.00
ALPES (Cie) NV21	FR00140017V1	CDANV	Euronext Paris	EUR	-	-	-	-	-	CET	-	-
ALPES (COMPAGNIE)	FR0000053324	CDA	Euronext Paris	EUR	13.26	13.46	13.22	13.26	24/08/21 17:35	CET	27758	369728.64
ALPHA MOS	FR0013421286	ALM	Euronext Paris	EUR	3.21	3.22	3.09	3.21	24/08/21 17:11	CET	1558	4866.38
ALSTOM	FR0010220475	ALO	Euronext Paris	EUR	36.34	36.83	36.24	36.70	24/08/21 17:37	CET	832060	30462755.97
ALTAMIR	FR0000053837	LTA	Euronext Paris	EUR	22.90	22.965	22.85	22.85	24/08/21 17:35	CET	606	13868.865
ALTAREA	FR0000033219	ALTA	Euronext Paris	EUR	190.20	191.20	183.00	189.00	24/08/21 17:35	CET	11744	2196624.80
ALTAREIT	FR0000039216	AREIT	Euronext Paris	EUR	615.00	615.00	615.00	615.00	24/08/21 11:30	CET	1	615.00
ALTEN	FR0000071946	ATE	Euronext Paris	EUR	138.20	138.30	136.10	136.80	24/08/21 17:37	CET	23063	3158164.70
ALTHEORA	FR0000061244	ALORA	Euronext Growth Paris	EUR	2.13	2.14	2.10	2.13	24/08/21 17:01	CET	20696	43633.52
ALTUR INVEST.	FR0010395681	ALTUR	Euronext Paris	EUR	5.80	5.85	5.80	5.80	24/08/21 17:20	CET	21869	126841.20
ALVEEN	FR0013253812	MLALV	Euronext Access Paris	EUR	1.69	1.69	1.69	1.69	19/07/21 11:30	CET	1	1.69
AMA CORPORATION	GB00BNKGZC51	ALAMA	Euronext Growth Paris	EUR	5.91	6.05	5.91	6.05	24/08/21 17:35	CET	1540	9300.17
AMATHEON AGRI	NL0010273694	MLAAH	Euronext Access Paris	EUR	0.104	0.105	0.104	0.105	24/08/21 16:30	CET	6	0.629
AMOEBA	FR0011051598	ALMIB	Euronext Growth Paris	EUR	1.419	1.43	1.402	1.415	24/08/21 17:35	CET	9995	14199.394
AMPLITUDE SURGICAL	FR0012789667	AMPLI	Euronext Paris	EUR	2.10	2.10	2.10	2.10	24/08/21 11:14	CET	101	212.10
AMUNDI	FR0004125920	AMUN	Euronext Paris	EUR	79.60	80.35	79.25	79.50	24/08/21 17:35	CET	75786	6037432.95
ANTEVENIO	ES0109429037	ALANT	Euronext Growth Paris	EUR	4.90	4.90	4.90	4.90	24/08/21 12:05	CET	96	470.40
APERAM	LU0569974404	APAM	Euronext Amsterdam, Brussels, Paris	EUR	50.70	51.70	50.56	51.54	24/08/21 17:38	CET	258200	13233437.34
APTORUM GROUP CL A	KYG6096M1069	APM	Euronext Paris	EUR	2.70	2.70	2.70	2.70	15/01/21 13:35	CET	426	1150.20
AQUILA	FR0010340711	ALAQU	Euronext Growth Paris	EUR	6.75	6.80	6.75	6.80	20/08/21 16:30	CET	1053	7110.40
ARAMIS GROUP	FR0014003U94	ARAMI	Euronext Paris	EUR	18.22	18.30	18.00	18.20	24/08/21 17:35	CET	10505	191036.52
ARCELORMITTAL SA	LU1598757687	MT	Euronext Amsterdam, Paris	EUR	28.65	29.475	28.62	29.21	24/08/21 17:35	CET	5711087	166184866.395
ARCHOS	FR0000182479	ALJXR	Euronext Growth Paris	EUR	0.0045	0.0045	0.0042	0.0045	24/08/21 17:03	CET	20028687	88016.1826
ARCURE	FR0013398997	ALCUR	Euronext Growth Paris	EUR	3.55	3.55	3.52	3.53	24/08/21 17:29	CET	1510	5327.97
ARDOIN ST AMAND A	FR0005057635	MLARD	Euronext Access Paris	EUR	180.00	180.00	180.00	180.00	13/08/21 16:51	CET	16	2880.00
ARDOIN ST AMAND B	FR0004070795	ARDO	Euronext Access Paris	EUR	72.00	72.00	72.00	72.00	03/08/20 16:30	CET	2	144.00
ARGAN	FR0010481960	ARG	Euronext Paris	EUR	110.00	110.00	106.80	108.20	24/08/21 17:35	CET	6349	687150.00
ARKEMA	FR0010313833	AKE	Euronext Paris	EUR	105.20	106.40	105.20	106.15	24/08/21 17:35	CET	112609	11936533.25
AROCA DEL PINAR	ES0105486007	MLARO	Euronext Access Paris	EUR	14.60	14.60	14.60	14.60	16/08/20 00:00	CET	-	-
ARTEA	FR0012185536	ARTE	Euronext Paris	EUR	14.00	14.00	14.00	14.00	24/08/21 13:47	CET	6	84.00
ARTEFACT	FR0000079683	ALATF	Euronext Growth Paris	EUR	7.47	7.48	7.46	7.46	24/08/21 17:35	CET	24058	179529.85
ARTMARKET COM	FR0000074783	PRC	Euronext Paris	EUR	5.51	5.63	5.51	5.63	24/08/21 17:35	CET	5082	28194.29
ARTOIS NOM.	FR0000076952	ARTO	Euronext Paris	EUR	6300.00	6300.00	6300.00	6300.00	24/08/21 16:30	CET	1	6300.00
