Name	ISIN	Symbol	Market	Trading Currency	Open	High	Low	Last	Last Date/Time	Time Zone	Volume	Turnover
European Equities
24 Aug 2022
All datapoints provided as of end of last active trading day.
1000MERCIS	FR0010285965	ALMIL	Euronext Growth Paris	EUR	27.40	27.40	25.90	25.90	24/08/2022 12:52	CET	223	6061.90
2CRSI	FR0013341781	2CRSI	Euronext Paris	EUR	3.05	3.10	3.00	3.055	24/08/2022 17:13	CET	13406	40516.445
A TOUTE VITESSE	FR0010050773	MLATV	Euronext Access Paris	EUR	1.48	1.48	1.35	1.35	13/11/2019 16:53	CET	378	521.87
A.S.T. GROUPE	FR0000076887	ALAST	Euronext Growth Paris	EUR	3.16	3.21	3.16	3.21	24/08/2022 17:04	CET	5551	17766.94
AB SCIENCE	FR0010557264	AB	Euronext Paris	EUR	7.50	7.50	7.28	7.38	24/08/2022 17:35	CET	57688	423585.085
ABC ARBITRAGE	FR0004040608	ABCA	Euronext Paris	EUR	7.04	7.04	7.01	7.02	24/08/2022 17:35	CET	11414	80050.92
ABEO	FR0013185857	ABEO	Euronext Paris	EUR	18.80	18.80	18.10	18.50	24/08/2022 17:16	CET	1312	24124.00
ABIONYX PHARMA	FR0012616852	ABNX	Euronext Paris	EUR	1.92	1.946	1.872	1.934	24/08/2022 17:35	CET	49101	93671.894
ABIVAX	FR0012333284	ABVX	Euronext Paris	EUR	8.30	8.65	8.06	8.60	24/08/2022 17:35	CET	37379	313814.00
ABL Diagnostics	FR001400AHX6	ABLD	Euronext Paris	EUR	14.452	14.452	14.452	14.452	05/08/2022 11:30	CET	1000	14452.00
ABO GROUP	BE0974278104	ABO	Euronext Brussels, Paris	EUR	5.10	5.10	5.10	5.10	24/08/2022 11:01	CET	10	51.00
ACANTHE DEV.	FR0000064602	ACAN	Euronext Paris	EUR	0.42	0.42	0.42	0.42	24/08/2022 16:34	CET	4712	1979.04
ACCOR	FR0000120404	AC	Euronext Paris	EUR	24.69	24.78	24.29	24.66	24/08/2022 17:35	CET	668394	16396877.11
ACCOR AC SHARES	FR0014003PZ3	AAC	Euronext Paris	EUR	9.60	9.60	9.60	9.60	18/08/2022 17:19	CET	50000	480000.00
ACCOR AC WARRANTS	FR0014003QK3	AACW	Euronext Paris	EUR	0.09	0.09	0.09	0.09	10/08/2022 14:16	CET	1500	135.00
