Name	ISIN	Symbol	Market	Trading Currency	Open	High	Low	Last	Last Date/Time	Time Zone	Volume	Turnover
European Equities
10 Sep 2020
All datapoints provided as of end of last active trading day.
1000MERCIS	FR0010285965	ALMIL	Euronext Growth Paris	EUR	18.15	18.15	18.15	18.15	10/09/20 09:00	CET	57	1034.55
2CRSI	FR0013341781	2CRSI	Euronext Paris	EUR	3.395	3.40	3.325	3.395	10/09/20 17:35	CET	5865	19743.69
A TOUTE VITESSE	FR0010050773	MLATV	Euronext Access Paris	EUR	1.48	1.48	1.35	1.35	13/11/19 16:53	CET	378	521.87
A.S.T. GROUPE	FR0000076887	ASP	Euronext Paris	EUR	3.21	3.42	3.20	3.32	10/09/20 17:29	CET	29977	99372.21
AB SCIENCE	FR0010557264	AB	Euronext Paris	EUR	11.46	12.96	11.42	12.58	10/09/20 17:38	CET	524004	6446234.18
ABC ARBITRAGE	FR0004040608	ABCA	Euronext Paris	EUR	7.00	7.00	6.96	6.97	10/09/20 17:35	CET	10722	74816.93
ABEO	FR0013185857	ABEO	Euronext Paris	EUR	7.98	8.00	7.96	7.96	10/09/20 16:31	CET	1729	13819.60
ABIONYX PHARMA	FR0012616852	ABNX	Euronext Paris	EUR	0.793	0.802	0.78	0.781	10/09/20 17:35	CET	28774	22634.117
ABIVAX	FR0012333284	ABVX	Euronext Paris	EUR	19.58	19.58	19.02	19.48	10/09/20 17:35	CET	11928	229593.00
ACANTHE DEV.	FR0000064602	ACAN	Euronext Paris	EUR	0.439	0.44	0.439	0.44	10/09/20 09:35	CET	8850	3889.775
ACCOR	FR0000120404	AC	Euronext Paris	EUR	25.99	26.43	25.76	26.00	10/09/20 17:36	CET	794791	20687250.54
ACHETER-LOUER.FR	FR0010493510	ALALO	Euronext Growth Paris	EUR	0.021	0.0219	0.021	0.0219	10/09/20 17:35	CET	1644110	35328.3007
ACTEOS	FR0000076861	EOS	Euronext Paris	EUR	1.685	1.685	1.68	1.68	10/09/20 16:59	CET	375	630.295
ACTIA GROUP	FR0000076655	ATI	Euronext Paris	EUR	2.36	2.41	2.35	2.365	10/09/20 17:29	CET	9860	23414.175
ACTIPLAY (GROUPE)	FR0011038348	ALACT	Euronext Growth Paris	EUR	0.636	0.704	0.636	0.67	10/09/20 15:13	CET	102325	66305.722
ACTIVIUM GROUP	FR0010979377	MLACT	Euronext Access Paris	EUR	1.24	1.24	1.24	1.24	10/09/20 11:30	CET	5	6.20
ADA	FR0000053076	ALADA	Euronext Growth Paris	EUR	7.75	7.85	7.75	7.80	10/09/20 15:43	CET	164	1284.15
ADC SIIC	BE0974269012	ALDV	Euronext Paris	EUR	0.103	0.103	0.103	0.103	09/09/20 16:30	CET	50	5.15
ADEUNIS	FR0013284627	ALARF	Euronext Growth Paris	EUR	3.46	3.46	3.25	3.28	10/09/20 17:29	CET	9334	31134.39
ADL PARTNER	FR0000062978	ALP	Euronext Paris	EUR	10.40	10.75	10.40	10.45	10/09/20 17:28	CET	2770	29140.70
ADOCIA	FR0011184241	ADOC	Euronext Paris	EUR	8.05	8.09	7.76	7.79	10/09/20 17:35	CET	11136	87921.71
ADOMOS	FR0013247244	ALADO	Euronext Growth Paris	EUR	0.414	0.414	0.401	0.408	10/09/20 15:26	CET	10210	4096.61
ADP	FR0010340141	ADP	Euronext Paris	EUR	86.90	89.55	86.60	88.25	10/09/20 17:35	CET	74151	6538920.00
