Name	ISIN	Symbol	Market	Trading Currency	Open	High	Low	Last	Last Date/Time	Time Zone	Volume	Turnover
European Equities
05 Nov 2021
All datapoints provided as of end of last active trading day.
1000MERCIS	FR0010285965	ALMIL	Euronext Growth Paris	EUR	24.60	24.60	23.80	23.80	05/11/21 16:34	CET	367	8894.90
2CRSI	FR0013341781	2CRSI	Euronext Paris	EUR	4.93	5.12	4.80	5.02	05/11/21 17:35	CET	81966	410515.135
2MX ORGANIC	FR0014000T90	2MX	Euronext Paris	EUR	9.703	9.80	9.703	9.739	05/11/21 16:55	CET	6736	65469.399
2MX ORGANIC BS	FR0014000TB2	2MXBS	Euronext Paris	EUR	0.21	0.21	0.21	0.21	04/11/21 09:42	CET	9717	2040.57
A TOUTE VITESSE	FR0010050773	MLATV	Euronext Access Paris	EUR	1.48	1.48	1.35	1.35	13/11/19 16:53	CET	378	521.87
A.S.T. GROUPE	FR0000076887	ASP	Euronext Paris	EUR	6.00	6.02	5.92	5.94	05/11/21 16:53	CET	1465	8722.02
AB SCIENCE	FR0010557264	AB	Euronext Paris	EUR	12.78	13.09	12.75	13.03	05/11/21 17:35	CET	58201	752448.99
ABC ARBITRAGE	FR0004040608	ABCA	Euronext Paris	EUR	7.09	7.14	7.09	7.14	05/11/21 17:35	CET	12619	89836.86
ABEO	FR0013185857	ABEO	Euronext Paris	EUR	14.30	14.85	14.25	14.30	05/11/21 17:35	CET	1506	21705.85
ABIONYX PHARMA	FR0012616852	ABNX	Euronext Paris	EUR	1.594	1.748	1.538	1.538	05/11/21 17:35	CET	975649	1611150.848
ABIVAX	FR0012333284	ABVX	Euronext Paris	EUR	28.70	28.70	27.50	27.70	05/11/21 17:35	CET	22004	616249.95
ABO GROUP	BE0974278104	ABO	Euronext Brussels, Paris	EUR	5.50	5.50	5.50	5.50	05/11/21 17:11	CET	223	1226.50
ACANTHE DEV.	FR0000064602	ACAN	Euronext Paris	EUR	0.53	0.53	0.52	0.52	05/11/21 17:35	CET	35931	18796.346
ACCOR	FR0000120404	AC	Euronext Paris	EUR	31.63	33.71	31.26	33.54	05/11/21 17:36	CET	1452092	48029304.43
ACCOR AC SHARES	FR0014003PZ3	AAC	Euronext Paris	EUR	9.799	9.80	9.799	9.80	21/10/21 11:22	CET	1961	19216.88
ACCOR AC WARRANTS	FR0014003QK3	AACW	Euronext Paris	EUR	0.3412	0.3412	0.3412	0.3412	03/11/21 15:37	CET	100	34.12
ACCOR NV21	FR00140015P7	ACNV	Euronext Paris	EUR	-	-	-	-	-	CET	-	-
ACHETER-LOUER.FR	FR0010493510	ALALO	Euronext Growth Paris	EUR	0.002	0.002	0.0018	0.0019	05/11/21 17:27	CET	50756184	96629.1439
ACTEOS	FR0000076861	EOS	Euronext Paris	EUR	2.25	2.35	2.25	2.35	05/11/21 16:42	CET	5383	12359.05
ACTIA GROUP	FR0000076655	ATI	Euronext Paris	EUR	3.90	3.90	3.83	3.86	05/11/21 17:26	CET	11298	43521.76
ACTICOR BIOTECH	FR0014005OJ5	ALACT	Euronext Growth Paris	EUR	7.30	7.30	6.68	6.69	05/11/21 17:35	CET	18437	129900.505
ACTIVIUM GROUP	FR0010979377	MLACT	Euronext Access Paris	EUR	1.40	1.40	1.40	1.40	29/10/21 16:30	CET	10	14.00
ADA	FR0000053076	ALADA	Euronext Growth Paris	EUR	12.30	12.30	11.20	11.30	05/11/21 17:15	CET	5809	67612.60
ADC SIIC	BE0974269012	ALDV	Euronext Paris	EUR	0.114	0.114	0.114	0.114	03/11/21 11:30	CET	1000	114.00
ADEUNIS	FR0013284627	ALARF	Euronext Growth Paris	EUR	2.77	2.80	2.74	2.80	05/11/21 16:54	CET	2908	8028.59
ADOCIA	FR0011184241	ADOC	Euronext Paris	EUR	9.38	9.60	9.05	9.13	05/11/21 17:07	CET	23055	214814.23
ADOMOS	FR0013247244	ALADO	Euronext Growth Paris	EUR	0.1438	0.1438	0.1372	0.1396	05/11/21 17:35	CET	606996	85289.4838
ADP	FR0010340141	ADP	Euronext Paris	EUR	120.55	124.60	118.40	124.20	05/11/21 17:35	CET	120266	14813826.50
ADTHINK	FR0010457531	ALADM	Euronext Growth Paris	EUR	1.50	1.63	1.41	1.615	05/11/21 17:36	CET	352358	531216.365
ADUX	FR0012821890	ADUX	Euronext Paris, Amsterdam	EUR	2.08	2.20	2.07	2.20	05/11/21 17:29	CET	10129	21920.10
ADVENIS	FR0004152874	ALADV	Euronext Growth Paris	EUR	2.08	2.12	2.06	2.12	05/11/21 16:39	CET	1069	2238.50
ADVICENNE	FR0013296746	ADVIC	Euronext Paris, Brussels	EUR	9.15	9.24	8.81	9.10	05/11/21 17:35	CET	60932	549257.70
ADVINI	FR0000053043	ADVI	Euronext Paris	EUR	19.80	19.90	19.60	19.90	05/11/21 17:08	CET	245	4843.80
AERKOMM INC	US00774B2088	AKOM	Euronext Paris	EUR	2.82	2.82	2.82	2.82	05/11/21 09:00	CET	1	2.82
AFFLUENT MEDICAL	FR0013333077	AFME	Euronext Paris	EUR	6.00	6.19	5.86	6.00	05/11/21 17:35	CET	2524	15044.48
AFYREN	FR0014005AC9	ALAFY	Euronext Growth Paris	EUR	8.01	8.13	8.00	8.13	05/11/21 17:25	CET	4850	39071.89
AG3I	FR0011908045	MLAGI	Euronext Access Paris	EUR	0.41	0.41	0.41	0.41	14/10/21 16:30	CET	154	63.14
AGENCE AUTO	FR0014005WE9	MLAA	Euronext Access Paris	EUR	2.30	2.50	2.30	2.50	05/11/21 16:30	CET	12025	28047.30
