Name	ISIN	Symbol	Market	Trading Currency	Open	High	Low	Last	Last Date/Time	Time Zone	Volume	Turnover
European Equities
19 May 2021
All datapoints provided as of end of last active trading day.
1000MERCIS	FR0010285965	ALMIL	Euronext Growth Paris	EUR	18.30	18.30	18.00	18.30	19/05/21 13:59	CET	126	2283.70
2CRSI	FR0013341781	2CRSI	Euronext Paris	EUR	4.85	4.85	4.68	4.68	19/05/21 17:35	CET	31618	150396.94
2MX ORGANIC	FR0014000T90	2MX	Euronext Paris	EUR	10.00	10.05	9.99	10.00	19/05/21 17:35	CET	15985	159842.672
2MX ORGANIC BS	FR0014000TB2	2MXBS	Euronext Paris	EUR	0.42	0.42	0.42	0.42	14/05/21 11:32	CET	16445	6906.90
A TOUTE VITESSE	FR0010050773	MLATV	Euronext Access Paris	EUR	1.48	1.48	1.35	1.35	13/11/19 16:53	CET	378	521.87
A.S.T. GROUPE	FR0000076887	ASP	Euronext Paris	EUR	7.88	7.88	7.54	7.76	19/05/21 16:52	CET	6722	51891.50
AB SCIENCE	FR0010557264	AB	Euronext Paris	EUR	15.00	15.06	14.68	14.77	19/05/21 17:35	CET	46275	685316.58
ABC ARBITRAGE	FR0004040608	ABCA	Euronext Paris	EUR	7.39	7.39	7.28	7.28	19/05/21 17:35	CET	50902	372869.19
ABEO	FR0013185857	ABEO	Euronext Paris	EUR	11.55	11.75	11.45	11.60	19/05/21 17:35	CET	2573	29877.00
ABIONYX PHARMA	FR0012616852	ABNX	Euronext Paris	EUR	1.154	1.16	1.098	1.14	19/05/21 17:22	CET	258622	292566.824
ABIVAX	FR0012333284	ABVX	Euronext Paris	EUR	22.00	22.00	20.90	21.10	19/05/21 17:35	CET	19911	425319.30
ACANTHE DEV.	FR0000064602	ACAN	Euronext Paris	EUR	0.42	0.42	0.408	0.408	19/05/21 16:48	CET	28944	12032.926
ACCOR	FR0000120404	AC	Euronext Paris	EUR	31.70	31.79	30.96	31.52	19/05/21 17:35	CET	765741	24029290.84
ACCOR NV21	FR00140015P7	ACNV	Euronext Paris	EUR	-	-	-	-	-	CET	-	-
ACHETER-LOUER.FR	FR0010493510	ALALO	Euronext Growth Paris	EUR	0.0635	0.0654	0.0612	0.0617	19/05/21 17:35	CET	5047663	319643.8784
ACTEOS	FR0000076861	EOS	Euronext Paris	EUR	2.60	2.61	2.45	2.51	19/05/21 16:14	CET	5819	14659.18
ACTIA GROUP	FR0000076655	ATI	Euronext Paris	EUR	3.07	3.11	3.04	3.04	19/05/21 17:35	CET	30796	94519.15
ACTIPLAY (GROUPE)	FR0011038348	ALACT	Euronext Growth Paris	EUR	1.498	2.395	1.434	2.18	19/05/21 17:35	CET	1470092	2970622.946
ACTIVIUM GROUP	FR0010979377	MLACT	Euronext Access Paris	EUR	1.67	1.67	1.67	1.67	17/05/21 11:30	CET	1	1.67
ADA	FR0000053076	ALADA	Euronext Growth Paris	EUR	9.90	9.90	9.85	9.85	19/05/21 09:47	CET	22	216.75
