Name	ISIN	Symbol	Market	Trading Currency	Open	High	Low	Last	Last Date/Time	Time Zone	Volume	Turnover
European Equities
28 May 2021
All datapoints provided as of end of last active trading day.
1000MERCIS	FR0010285965	ALMIL	Euronext Growth Paris	EUR	18.20	18.20	18.20	18.20	28/05/21 09:00	CET	1	18.20
2CRSI	FR0013341781	2CRSI	Euronext Paris	EUR	4.50	4.565	4.46	4.50	28/05/21 17:35	CET	26017	117638.595
2MX ORGANIC	FR0014000T90	2MX	Euronext Paris	EUR	10.00	10.00	9.94	9.96	28/05/21 17:35	CET	13529	134750.733
2MX ORGANIC BS	FR0014000TB2	2MXBS	Euronext Paris	EUR	0.42	0.42	0.42	0.42	14/05/21 11:32	CET	16445	6906.90
A TOUTE VITESSE	FR0010050773	MLATV	Euronext Access Paris	EUR	1.48	1.48	1.35	1.35	13/11/19 16:53	CET	378	521.87
A.S.T. GROUPE	FR0000076887	ASP	Euronext Paris	EUR	7.54	7.62	7.52	7.62	28/05/21 17:11	CET	545	4137.86
AB SCIENCE	FR0010557264	AB	Euronext Paris	EUR	11.80	11.97	10.97	11.00	28/05/21 17:35	CET	611966	6973628.80
ABC ARBITRAGE	FR0004040608	ABCA	Euronext Paris	EUR	7.05	7.19	7.05	7.16	28/05/21 17:35	CET	21668	154516.22
ABEO	FR0013185857	ABEO	Euronext Paris	EUR	10.70	10.80	10.60	10.75	28/05/21 17:35	CET	1705	18284.85
ABIONYX PHARMA	FR0012616852	ABNX	Euronext Paris	EUR	1.284	1.328	1.256	1.30	28/05/21 17:35	CET	186098	240228.722
ABIVAX	FR0012333284	ABVX	Euronext Paris	EUR	27.65	28.60	27.60	28.00	28/05/21 17:35	CET	49427	1379770.95
ACANTHE DEV.	FR0000064602	ACAN	Euronext Paris	EUR	0.426	0.426	0.422	0.422	28/05/21 12:41	CET	3000	1267.947
ACCOR	FR0000120404	AC	Euronext Paris	EUR	32.54	32.95	32.25	32.72	28/05/21 17:35	CET	644738	21072041.15
ACCOR AC PROMESSES	FR0014003PZ3	AAC	Euronext Paris	EUR	-	-	-	-	-	CET	-	-
ACCOR NV21	FR00140015P7	ACNV	Euronext Paris	EUR	-	-	-	-	-	CET	-	-
ACHETER-LOUER.FR	FR0010493510	ALALO	Euronext Growth Paris	EUR	0.04	0.0426	0.0381	0.0419	28/05/21 17:36	CET	16809916	681353.8754
ACTEOS	FR0000076861	EOS	Euronext Paris	EUR	2.62	2.76	2.52	2.62	28/05/21 17:35	CET	10300	27088.37
ACTIA GROUP	FR0000076655	ATI	Euronext Paris	EUR	2.90	2.94	2.82	2.83	28/05/21 17:35	CET	49720	143465.48
ACTIPLAY (GROUPE)	FR0011038348	ALACT	Euronext Growth Paris	EUR	3.09	3.15	2.79	2.84	28/05/21 17:35	CET	263215	771772.045
ACTIVIUM GROUP	FR0010979377	MLACT	Euronext Access Paris	EUR	1.59	1.59	1.59	1.59	28/05/21 16:30	CET	1	1.59
ADA	FR0000053076	ALADA	Euronext Growth Paris	EUR	9.85	9.95	9.85	9.95	28/05/21 17:14	CET	523	5188.70
ADC SIIC	BE0974269012	ALDV	Euronext Paris	EUR	0.113	0.113	0.113	0.113	27/05/21 11:30	CET	1250	141.25
ADEUNIS	FR0013284627	ALARF	Euronext Growth Paris	EUR	2.58	2.60	2.56	2.56	28/05/21 17:02	CET	1246	3220.87
ADL PARTNER	FR0000062978	ALP	Euronext Paris	EUR	17.55	17.65	17.50	17.50	28/05/21 17:00	CET	328	5770.70
ADOCIA	FR0011184241	ADOC	Euronext Paris	EUR	8.75	8.75	8.70	8.74	28/05/21 17:35	CET	1701	14835.75
ADOMOS	FR0013247244	ALADO	Euronext Growth Paris	EUR	0.205	0.205	0.1862	0.19	28/05/21 17:35	CET	144487	27944.6187
ADP	FR0010340141	ADP	Euronext Paris	EUR	110.60	112.45	110.15	111.60	28/05/21 17:35	CET	83475	9314952.30
ADTHINK	FR0010457531	ALADM	Euronext Growth Paris	EUR	2.00	2.04	1.95	1.965	28/05/21 17:35	CET	67938	135051.84
ADUX	FR0012821890	ADUX	Euronext Paris, Amsterdam	EUR	2.00	2.06	2.00	2.04	28/05/21 17:35	CET	1107	2271.89
ADVENIS	FR0004152874	ADV	Euronext Paris	EUR	2.05	2.08	2.05	2.08	28/05/21 15:17	CET	10667	22168.36
ADVICENNE	FR0013296746	ADVIC	Euronext Paris, Brussels	EUR	8.74	8.88	8.56	8.74	28/05/21 17:35	CET	20467	178778.50
ADVINI	FR0000053043	ADVI	Euronext Paris	EUR	20.20	20.20	19.60	19.70	28/05/21 17:35	CET	624	12290.10
AERKOMM INC	US00774B2088	AKOM	Euronext Paris	EUR	4.78	4.78	4.78	4.78	28/05/21 09:00	CET	1	4.78
AG3I	FR0011908045	MLAGI	Euronext Access Paris	EUR	3.46	3.46	3.46	3.46	08/11/19 16:30	CET	2	6.92
AGP MALAGA SOCIMI	ES0105478004	MLAGP	Euronext Access Paris	EUR	2.95	2.95	2.95	2.95	23/11/20 11:52	CET	2000	5900.00
AGRIPOWER	FR0013452281	ALAGP	Euronext Growth Paris	EUR	8.20	8.20	8.04	8.16	28/05/21 17:35	CET	4225	34228.92
AGROGENERATION	FR0010641449	ALAGR	Euronext Growth Paris	EUR	0.165	0.1735	0.165	0.1675	28/05/21 17:35	CET	123844	20877.468
AIR FRANCE -KLM	FR0000031122	AF	Euronext Paris, Amsterdam	EUR	4.58	4.672	4.525	4.634	28/05/21 17:35	CET	4525540	20924431.676
AIR LIQUIDE	FR0000120073	AI	Euronext Paris	EUR	139.70	140.14	138.92	139.56	28/05/21 17:35	CET	826837	115369025.18
AIR MARINE	FR0013285103	MLAIM	Euronext Access Paris	EUR	1.88	1.88	1.88	1.88	28/05/21 11:30	CET	10	18.80
AIRBUS	NL0000235190	AIR	Euronext Paris	EUR	107.92	109.70	107.68	108.00	28/05/21 17:35	CET	2237227	242830589.34
AKKA TECHNOLOGIES	FR0004180537	AKA	Euronext Paris, Brussels	EUR	22.40	22.96	22.18	22.90	28/05/21 17:35	CET	44595	1013847.50
AKWEL	FR0000053027	AKW	Euronext Paris	EUR	28.30	28.40	27.80	28.05	28/05/21 17:35	CET	13438	377277.50
ALAN ALLMAN	FR0000062465	AAA	Euronext Paris	EUR	4.50	4.50	4.50	4.50	28/05/21 16:30	CET	282	1269.00
ALBIOMA	FR0000060402	ABIO	Euronext Paris	EUR	36.20	36.62	36.00	36.08	28/05/21 17:35	CET	48720	1766493.86
ALCHIMIE	FR0014000JX7	ALCHI	Euronext Growth Paris	EUR	17.46	17.48	17.26	17.26	28/05/21 17:35	CET	354	6143.76
ALD	FR0013258662	ALD	Euronext Paris	EUR	12.46	12.80	12.46	12.58	28/05/21 17:35	CET	112788	1421160.82
ALEPH FINANCE	GB00BJ9M4V82	MLALE	Euronext Access Paris	EUR	1.95	1.95	1.95	1.95	24/05/21 12:03	CET	25000	48750.00
ALES GROUPE	FR0000054652	ALPHY	Euronext Growth Paris	EUR	1.18	1.20	1.18	1.18	29/06/20 16:07	CET	1401	1671.18
ALPES (Cie) NV21	FR00140017V1	CDANV	Euronext Paris	EUR	-	-	-	-	-	CET	-	-
ALPES (COMPAGNIE)	FR0000053324	CDA	Euronext Paris	EUR	23.40	23.65	23.15	23.15	28/05/21 17:36	CET	9596	223723.40
ALPHA MOS	FR0013421286	ALM	Euronext Paris	EUR	1.865	1.88	1.85	1.85	28/05/21 17:09	CET	555	1036.075
ALSTOM	FR0010220475	ALO	Euronext Paris	EUR	45.84	46.72	45.70	46.35	28/05/21 17:35	CET	942146	43695103.85
ALSTOM NV21	FR00140012E8	ALONV	Euronext Paris	EUR	45.80	45.80	45.80	45.80	28/05/21 16:30	CET	500	22900.00
ALTAMIR	FR0000053837	LTA	Euronext Paris	EUR	23.905	24.40	23.705	24.00	28/05/21 17:35	CET	13406	322286.605
ALTAREA	FR0000033219	ALTA	Euronext Paris	EUR	188.60	188.80	187.00	188.80	28/05/21 17:37	CET	6129	1155353.40
ALTAREIT	FR0000039216	AREIT	Euronext Paris	EUR	595.00	595.00	595.00	595.00	28/05/21 11:30	CET	1	595.00
ALTEN	FR0000071946	ATE	Euronext Paris	EUR	100.00	101.00	99.45	100.50	28/05/21 17:35	CET	33461	3360931.70
ALTUR INVEST.	FR0010395681	ALTUR	Euronext Paris	EUR	5.70	5.75	5.70	5.75	28/05/21 17:35	CET	3254	18567.90
ALVEEN	FR0013253812	MLALV	Euronext Access Paris	EUR	1.62	1.62	1.62	1.62	28/05/21 16:30	CET	10	16.20
AMATHEON AGRI	NL0010273694	MLAAH	Euronext Access Paris	EUR	0.109	0.109	0.109	0.109	28/05/21 11:30	CET	21501	2343.609
AMOEBA	FR0011051598	ALMIB	Euronext Growth Paris	EUR	1.99	2.00	1.931	1.99	28/05/21 17:35	CET	53250	104730.021
AMPLITUDE SURGICAL	FR0012789667	AMPLI	Euronext Paris	EUR	2.18	2.28	2.17	2.18	28/05/21 16:48	CET	14724	32395.55
AMUNDI	FR0004125920	AMUN	Euronext Paris	EUR	73.30	73.40	72.90	72.95	28/05/21 17:35	CET	129672	9464768.25
ANTEVENIO	ES0109429037	ALANT	Euronext Growth Paris	EUR	5.75	5.75	5.65	5.65	28/05/21 11:57	CET	331	1880.75
APERAM	LU0569974404	APAM	Euronext Amsterdam, Brussels, Paris	EUR	45.00	45.39	44.80	45.22	28/05/21 17:35	CET	277690	12524661.32
APTORUM GROUP CL A	KYG6096M1069	APM	Euronext Paris	EUR	2.70	2.70	2.70	2.70	15/01/21 13:35	CET	426	1150.20
AQUILA	FR0010340711	ALAQU	Euronext Growth Paris	EUR	6.85	6.85	6.85	6.85	28/05/21 11:30	CET	30	205.50
ARCELORMITTAL SA	LU1598757687	MT	Euronext Amsterdam, Paris	EUR	26.75	26.85	26.40	26.495	28/05/21 17:39	CET	4424720	117655190.295
ARCHOS	FR0000182479	ALJXR	Euronext Growth Paris	EUR	0.0102	0.0104	0.01	0.0102	28/05/21 17:35	CET	9187260	93541.5962
