Name	ISIN	Symbol	Market	Trading Currency	Open	High	Low	Last	Last Date/Time	Time Zone	Volume	Turnover
European Equities
13 Sep 2021
All datapoints provided as of end of last active trading day.
1000MERCIS	FR0010285965	ALMIL	Euronext Growth Paris	EUR	20.20	20.20	20.00	20.00	13/09/21 09:02	CET	18	363.20
2CRSI	FR0013341781	2CRSI	Euronext Paris	EUR	4.50	4.57	4.435	4.50	13/09/21 17:29	CET	33531	151369.005
2MX ORGANIC	FR0014000T90	2MX	Euronext Paris	EUR	9.71	9.71	9.71	9.71	13/09/21 16:10	CET	101	980.71
2MX ORGANIC BS	FR0014000TB2	2MXBS	Euronext Paris	EUR	0.15	0.15	0.15	0.15	13/09/21 13:10	CET	65855	9878.25
A TOUTE VITESSE	FR0010050773	MLATV	Euronext Access Paris	EUR	1.48	1.48	1.35	1.35	13/11/19 16:53	CET	378	521.87
A.S.T. GROUPE	FR0000076887	ASP	Euronext Paris	EUR	6.90	6.96	6.70	6.92	13/09/21 17:10	CET	2383	16417.80
AB SCIENCE	FR0010557264	AB	Euronext Paris	EUR	12.29	12.51	11.96	12.38	13/09/21 17:35	CET	128691	1575064.75
ABC ARBITRAGE	FR0004040608	ABCA	Euronext Paris	EUR	7.12	7.18	7.08	7.13	13/09/21 17:35	CET	11150	79623.80
ABEO	FR0013185857	ABEO	Euronext Paris	EUR	15.05	15.40	15.05	15.25	13/09/21 16:54	CET	1485	22685.80
ABIONYX PHARMA	FR0012616852	ABNX	Euronext Paris	EUR	1.00	1.006	0.989	0.99	13/09/21 17:16	CET	30463	30307.338
ABIVAX	FR0012333284	ABVX	Euronext Paris	EUR	33.70	33.90	31.75	32.45	13/09/21 17:35	CET	43095	1411730.40
ABO GROUP	BE0974278104	ABO	Euronext Brussels, Paris	EUR	6.05	6.25	6.00	6.00	13/09/21 16:23	CET	2344	14141.35
ACANTHE DEV.	FR0000064602	ACAN	Euronext Paris	EUR	0.414	0.414	0.401	0.401	13/09/21 15:33	CET	11910	4802.445
ACCOR	FR0000120404	AC	Euronext Paris	EUR	28.31	28.77	28.25	28.67	13/09/21 17:35	CET	516330	14745664.63
ACCOR AC SHARES	FR0014003PZ3	AAC	Euronext Paris	EUR	9.75	9.80	9.75	9.80	31/08/21 16:46	CET	12889	126123.50
ACCOR AC WARRANTS	FR0014003QK3	AACW	Euronext Paris	EUR	0.40	0.40	0.40	0.40	30/07/21 09:00	CET	3	1.20
