Name	ISIN	Symbol	Market	Trading Currency	Open	High	Low	Last	Last Date/Time	Time Zone	Volume	Turnover
European Equities
24 Jun 2021
All datapoints provided as of end of last active trading day.
1000MERCIS	FR0010285965	ALMIL	Euronext Growth Paris	EUR	18.65	19.00	18.65	19.00	24/06/21 13:56	CET	332	6256.20
2CRSI	FR0013341781	2CRSI	Euronext Paris	EUR	4.17	4.475	4.14	4.26	24/06/21 17:35	CET	34928	147338.185
2MX ORGANIC	FR0014000T90	2MX	Euronext Paris	EUR	9.867	9.999	9.867	9.985	24/06/21 17:29	CET	3101	30731.946
2MX ORGANIC BS	FR0014000TB2	2MXBS	Euronext Paris	EUR	0.42	0.42	0.42	0.42	14/05/21 11:32	CET	16445	6906.90
A TOUTE VITESSE	FR0010050773	MLATV	Euronext Access Paris	EUR	1.48	1.48	1.35	1.35	13/11/19 16:53	CET	378	521.87
A.S.T. GROUPE	FR0000076887	ASP	Euronext Paris	EUR	7.00	7.00	6.60	6.66	24/06/21 17:29	CET	6744	45775.34
AB SCIENCE	FR0010557264	AB	Euronext Paris	EUR	7.525	7.525	7.26	7.315	24/06/21 17:35	CET	60971	448507.845
ABC ARBITRAGE	FR0004040608	ABCA	Euronext Paris	EUR	7.19	7.19	7.07	7.10	24/06/21 17:35	CET	35447	252737.00
ABEO	FR0013185857	ABEO	Euronext Paris	EUR	15.70	15.70	15.05	15.55	24/06/21 17:01	CET	1186	18222.30
ABIONYX PHARMA	FR0012616852	ABNX	Euronext Paris	EUR	1.12	1.152	1.09	1.144	24/06/21 17:35	CET	88815	99956.512
ABIVAX	FR0012333284	ABVX	Euronext Paris	EUR	30.50	32.75	30.50	30.60	24/06/21 17:35	CET	48695	1534886.20
ABO GROUP	BE0974278104	ABO	Euronext Brussels, Paris	EUR	6.10	6.20	6.05	6.20	24/06/21 17:22	CET	456	2791.55
ACANTHE DEV.	FR0000064602	ACAN	Euronext Paris	EUR	0.408	0.419	0.408	0.41	24/06/21 15:36	CET	14843	6087.758
ACCOR	FR0000120404	AC	Euronext Paris	EUR	32.90	33.11	32.51	32.93	24/06/21 17:35	CET	554880	18251052.12
ACCOR AC SHARES	FR0014003PZ3	AAC	Euronext Paris	EUR	9.92	9.92	9.90	9.90	24/06/21 16:46	CET	12688	125808.98
ACCOR NV21	FR00140015P7	ACNV	Euronext Paris	EUR	-	-	-	-	-	CET	-	-
ACHETER-LOUER.FR	FR0010493510	ALALO	Euronext Growth Paris	EUR	0.0561	0.061	0.0528	0.053	24/06/21 17:35	CET	5708175	321544.0452
ACTEOS	FR0000076861	EOS	Euronext Paris	EUR	2.81	2.86	2.80	2.82	24/06/21 17:07	CET	2151	6090.63
ACTIA GROUP	FR0000076655	ATI	Euronext Paris	EUR	3.09	3.17	3.09	3.16	24/06/21 16:29	CET	3853	12091.89
ACTIVIUM GROUP	FR0010979377	MLACT	Euronext Access Paris	EUR	1.59	1.59	1.59	1.59	23/06/21 16:30	CET	8	12.72
ADA	FR0000053076	ALADA	Euronext Growth Paris	EUR	10.00	10.10	10.00	10.00	24/06/21 17:29	CET	9	90.40
ADC SIIC	BE0974269012	ALDV	Euronext Paris	EUR	0.133	0.133	0.133	0.133	21/06/21 11:30	CET	166	22.08
ADEUNIS	FR0013284627	ALARF	Euronext Growth Paris	EUR	2.59	2.59	2.58	2.58	24/06/21 16:12	CET	167	430.87
ADL PARTNER	FR0000062978	ALP	Euronext Paris	EUR	16.60	17.05	16.60	16.70	24/06/21 17:16	CET	1126	18955.20
ADOCIA	FR0011184241	ADOC	Euronext Paris	EUR	8.70	8.89	8.60	8.81	24/06/21 17:35	CET	8212	71610.20
ADOMOS	FR0013247244	ALADO	Euronext Growth Paris	EUR	0.1986	0.218	0.195	0.218	24/06/21 17:35	CET	120523	24527.4009
ADP	FR0010340141	ADP	Euronext Paris	EUR	121.85	124.65	120.20	123.50	24/06/21 17:35	CET	85152	10511184.95
ADTHINK	FR0010457531	ALADM	Euronext Growth Paris	EUR	1.67	1.68	1.625	1.68	24/06/21 17:39	CET	25074	41374.355
ADUX	FR0012821890	ADUX	Euronext Paris, Amsterdam	EUR	2.02	2.02	2.02	2.02	24/06/21 17:35	CET	492	993.84
ADVENIS	FR0004152874	ADV	Euronext Paris	EUR	2.14	2.14	2.07	2.07	24/06/21 17:29	CET	546	1130.29
ADVICENNE	FR0013296746	ADVIC	Euronext Paris, Brussels	EUR	7.20	7.21	7.10	7.18	24/06/21 17:35	CET	88060	633151.40
ADVINI	FR0000053043	ADVI	Euronext Paris	EUR	21.00	21.00	21.00	21.00	24/06/21 09:00	CET	101	2121.00
AERKOMM INC	US00774B2088	AKOM	Euronext Paris	EUR	4.30	4.30	4.30	4.30	24/06/21 09:00	CET	19	81.70
AFFLUENT MEDICAL	FR0013333077	AFME	Euronext Paris	EUR	7.30	7.50	6.90	7.22	24/06/21 17:27	CET	12271	87649.91
AG3I	FR0011908045	MLAGI	Euronext Access Paris	EUR	0.50	0.50	0.50	0.50	16/06/21 11:30	CET	2	1.00
AGP MALAGA SOCIMI	ES0105478004	MLAGP	Euronext Access Paris	EUR	2.95	2.95	2.95	2.95	23/11/20 11:52	CET	2000	5900.00
AGRIPOWER	FR0013452281	ALAGP	Euronext Growth Paris	EUR	8.62	8.62	8.56	8.56	24/06/21 17:25	CET	377	3246.76
AGROGENERATION	FR0010641449	ALAGR	Euronext Growth Paris	EUR	0.155	0.1595	0.153	0.159	24/06/21 17:35	CET	72763	11382.5095
AIR FRANCE -KLM	FR0000031122	AF	Euronext Paris, Amsterdam	EUR	4.41	4.463	4.251	4.355	24/06/21 17:35	CET	5175358	22570291.117
AIR LIQUIDE	FR0000120073	AI	Euronext Paris	EUR	149.30	151.12	149.06	151.12	24/06/21 17:37	CET	1088103	164052762.82
