Name	ISIN	Symbol	Market	Trading Currency	Open	High	Low	Last	Last Date/Time	Time Zone	Volume	Turnover
European Equities
22 Jun 2022
All datapoints provided as of end of last active trading day.
1000MERCIS	FR0010285965	ALMIL	Euronext Growth Paris	EUR	28.60	28.60	28.60	28.60	21/06/2022 09:15	CET	10	286.00
2CRSI	FR0013341781	2CRSI	Euronext Paris	EUR	4.22	4.22	4.10	4.18	22/06/2022 17:35	CET	3391	14181.535
2MX ORGANIC	FR0014000T90	2MX	Euronext Paris	EUR	9.86	9.86	9.86	9.86	21/06/2022 09:00	CET	1894	18674.84
2MX ORGANIC BS	FR0014000TB2	2MXBS	Euronext Paris	EUR	0.12	0.12	0.08	0.08	20/06/2022 17:26	CET	109995	8999.60
A TOUTE VITESSE	FR0010050773	MLATV	Euronext Access Paris	EUR	1.48	1.48	1.35	1.35	13/11/2019 16:53	CET	378	521.87
A.S.T. GROUPE	FR0000076887	ALAST	Euronext Growth Paris	EUR	3.62	3.62	3.59	3.60	22/06/2022 12:24	CET	284	1023.42
AB SCIENCE	FR0010557264	AB	Euronext Paris	EUR	8.82	8.825	8.455	8.685	22/06/2022 17:35	CET	35185	302853.325
ABC ARBITRAGE	FR0004040608	ABCA	Euronext Paris	EUR	7.12	7.12	7.01	7.10	22/06/2022 17:35	CET	22995	162296.78
ABEO	FR0013185857	ABEO	Euronext Paris	EUR	19.90	19.90	19.55	19.55	22/06/2022 14:44	CET	834	16494.80
ABIONYX PHARMA	FR0012616852	ABNX	Euronext Paris	EUR	1.622	1.624	1.506	1.556	22/06/2022 17:35	CET	56210	88989.308
ABIVAX	FR0012333284	ABVX	Euronext Paris	EUR	10.30	10.58	9.85	10.30	22/06/2022 17:36	CET	63603	643936.27
ABL Diagnostics	FR001400AHX6	ABLD	Euronext Paris	EUR	4.50	4.50	4.50	4.50	15/06/2022 16:30	CET	20	90.00
ABO GROUP	BE0974278104	ABO	Euronext Brussels, Paris	EUR	5.35	5.35	5.30	5.30	22/06/2022 16:45	CET	2565	13655.25
ACANTHE DEV.	FR0000064602	ACAN	Euronext Paris	EUR	0.455	0.456	0.451	0.451	22/06/2022 16:34	CET	4180	1902.282
ACCOR	FR0000120404	AC	Euronext Paris	EUR	27.66	28.05	27.15	27.75	22/06/2022 17:36	CET	642617	17744329.16
ACCOR AC SHARES	FR0014003PZ3	AAC	Euronext Paris	EUR	9.55	9.55	9.55	9.55	22/06/2022 17:29	CET	90	859.50
ACCOR AC WARRANTS	FR0014003QK3	AACW	Euronext Paris	EUR	0.14	0.14	0.14	0.14	01/04/2022 16:16	CET	1200	168.00
ACHETER-LOUER.FR	FR00140072P8	ALALO	Euronext Growth Paris	EUR	0.0006	0.0006	0.0005	0.0006	22/06/2022 15:05	CET	8460119	4710.2814
ACTEOS	FR0000076861	EOS	Euronext Paris	EUR	2.02	2.02	2.02	2.02	22/06/2022 09:00	CET	1	2.02
ACTIA GROUP	FR0000076655	ATI	Euronext Paris	EUR	3.875	3.875	3.82	3.82	22/06/2022 16:20	CET	403	1552.18
ACTICOR BIOTECH	FR0014005OJ5	ALACT	Euronext Growth Paris	EUR	6.88	6.90	6.80	6.80	22/06/2022 09:44	CET	18	122.58
ACTIVIUM GROUP	FR0010979377	MLACT	Euronext Access Paris	EUR	1.13	1.13	1.13	1.13	21/06/2022 16:30	CET	399	450.87
ADA	FR0000053076	ALADA	Euronext Growth Paris	EUR	17.90	17.90	17.90	17.90	22/06/2022 16:59	CET	564	10095.60
ADC SIIC	BE0974269012	ALDV	Euronext Paris	EUR	0.083	0.083	0.083	0.083	22/06/2022 16:35	CET	48142	3995.786
ADEUNIS	FR0013284627	ALARF	Euronext Growth Paris	EUR	2.39	2.44	2.32	2.44	22/06/2022 17:23	CET	3108	7355.65
ADOCIA	FR0011184241	ADOC	Euronext Paris	EUR	4.57	4.66	4.12	4.23	22/06/2022 17:35	CET	63763	280925.635
ADOMOS	FR0013247244	ALADO	Euronext Growth Paris	EUR	0.0227	0.0227	0.0204	0.021	22/06/2022 17:35	CET	476196	10300.1336
ADP	FR0010340141	ADP	Euronext Paris	EUR	130.60	131.75	126.95	128.05	22/06/2022 17:37	CET	61648	7944335.45
ADUX	FR0012821890	ADUX	Euronext Paris, Amsterdam	EUR	1.895	1.915	1.87	1.87	22/06/2022 17:35	CET	189	355.775
ADVICENNE	FR0013296746	ALDVI	Euronext Growth Paris	EUR	5.50	5.60	5.35	5.46	22/06/2022 16:54	CET	12538	68460.73
ADVINI	FR0000053043	ADVI	Euronext Paris	EUR	19.60	19.60	19.60	19.60	22/06/2022 09:38	CET	75	1470.00
AELIS FARMA	FR0014007ZB4	AELIS	Euronext Paris	EUR	11.34	11.40	11.34	11.40	22/06/2022 14:49	CET	9533	108675.54
AERKOMM INC	US00774B2088	AKOM	Euronext Paris	EUR	8.40	8.40	8.40	8.40	30/05/2022 09:43	CET	4	33.60
AFFLUENT MEDICAL	FR0013333077	AFME	Euronext Paris	EUR	4.00	4.00	3.96	4.00	22/06/2022 17:35	CET	336	1337.65
AFYREN	FR0014005AC9	ALAFY	Euronext Growth Paris	EUR	6.82	6.91	6.82	6.91	22/06/2022 10:03	CET	147	1015.68
AG3I	FR0011908045	MLAGI	Euronext Access Paris	EUR	0.31	0.31	0.31	0.31	27/12/2021 11:30	CET	74	22.94
AGENCE AUTO	FR0014005WE9	MLAA	Euronext Access Paris	EUR	3.00	3.00	3.00	3.00	21/06/2022 11:30	CET	1	3.00
AGP MALAGA SOCIMI	ES0105478004	MLAGP	Euronext Access Paris	EUR	2.95	2.95	2.95	2.95	23/11/2020 11:52	CET	2000	5900.00
AGRIPOWER	FR0013452281	ALAGP	Euronext Growth Paris	EUR	8.00	8.00	7.65	7.65	22/06/2022 17:07	CET	267	2100.90
AGROGENERATION	FR0010641449	ALAGR	Euronext Growth Paris	EUR	0.103	0.1058	0.1008	0.1058	22/06/2022 17:19	CET	150000	15325.6662
AIR FRANCE -KLM	FR0000031122	AF	Euronext Paris, Amsterdam	EUR	1.281	1.3035	1.256	1.2965	22/06/2022 17:36	CET	12443493	16004468.7865
AIR LIQUIDE	FR0000120073	AI	Euronext Paris	EUR	130.90	130.90	128.58	130.18	22/06/2022 17:35	CET	761783	98943033.16
AIR MARINE	FR0013285103	MLAIM	Euronext Access Paris	EUR	1.80	1.80	1.78	1.78	22/06/2022 16:30	CET	75	134.50
AIRBUS	NL0000235190	AIR	Euronext Paris	EUR	94.34	94.44	92.13	92.96	22/06/2022 17:35	CET	1731169	161271069.41
AIRWELL	FR0014003V77	MLAIR	Euronext Access Paris	EUR	3.54	3.54	3.54	3.54	22/06/2022 16:30	CET	110	389.40
AKWEL	FR0000053027	AKW	Euronext Paris	EUR	16.40	16.40	15.60	16.00	22/06/2022 17:35	CET	4594	72857.54
ALAN ALLMAN	FR0000062465	AAA	Euronext Paris	EUR	11.90	12.15	11.60	12.10	20/06/2022 15:49	CET	111	1322.65
ALBIOMA	FR0000060402	ABIO	Euronext Paris	EUR	49.68	49.76	49.54	49.72	22/06/2022 17:35	CET	47276	2348461.24
ALBIOMA BSAAR 2018	FR0013368438	ABIBS	Euronext Growth Paris	EUR	26.29	26.29	26.29	26.29	10/05/2022 14:58	CET	250	6572.50
ALCHIMIE	FR0014000JX7	ALCHI	Euronext Growth Paris	EUR	4.30	4.30	4.30	4.30	22/06/2022 17:35	CET	31	133.30
ALD	FR0013258662	ALD	Euronext Paris	EUR	12.08	12.18	11.88	12.14	22/06/2022 17:35	CET	139321	1682552.70
ALEPH FINANCE	GB00BJ9M4V82	MLALE	Euronext Access Paris	EUR	2.90	2.90	2.90	2.90	26/01/2022 11:30	CET	3	8.70
ALPES (COMPAGNIE)	FR0000053324	CDA	Euronext Paris	EUR	15.08	15.18	14.64	15.10	22/06/2022 17:35	CET	39581	590526.10
ALPHA MOS	FR0013421286	ALNEO	Euronext Growth Paris	EUR	2.20	2.20	2.19	2.19	22/06/2022 11:24	CET	30	65.80
ALSTOM	FR0010220475	ALO	Euronext Paris	EUR	24.30	24.32	23.75	23.89	22/06/2022 17:35	CET	1197777	28663280.88
ALTAMIR	FR0000053837	LTA	Euronext Paris	EUR	24.585	24.585	24.23	24.375	22/06/2022 17:18	CET	7239	177138.79
ALTAREA	FR0000033219	ALTA	Euronext Paris	EUR	128.80	131.60	126.20	130.20	22/06/2022 17:35	CET	3972	514620.20
ALTAREIT	FR0000039216	AREIT	Euronext Paris	EUR	640.00	640.00	640.00	640.00	22/06/2022 09:00	CET	1	640.00
ALTEN	FR0000071946	ATE	Euronext Paris	EUR	107.40	108.80	105.00	108.20	22/06/2022 17:35	CET	33634	3604017.90
ALTHEORA	FR0000061244	ALORA	Euronext Growth Paris	EUR	1.74	1.74	1.72	1.72	22/06/2022 16:12	CET	905	1563.92
ALTUR INVEST.	FR0010395681	ALTUR	Euronext Paris	EUR	6.68	6.74	6.66	6.74	22/06/2022 09:38	CET	114	765.10
ALVEEN	FR0013253812	MLALV	Euronext Access Paris	EUR	0.74	0.74	0.74	0.74	13/06/2022 11:30	CET	8	5.92
AMA CORPORATION	GB00BNKGZC51	ALAMA	Euronext Growth Paris	EUR	0.70	0.70	0.62	0.64	22/06/2022 17:35	CET	33487	22234.238
AMATHEON AGRI	NL0010273694	MLAAH	Euronext Access Paris	EUR	0.078	0.078	0.078	0.078	22/06/2022 11:30	CET	6410	499.98
AMOEBA	FR0011051598	ALMIB	Euronext Growth Paris	EUR	0.51	0.52	0.482	0.505	22/06/2022 16:06	CET	32292	16082.385
AMPLITUDE SURGICAL	FR0012789667	AMPLI	Euronext Paris	EUR	2.70	2.70	2.69	2.69	22/06/2022 17:35	CET	451	1215.68
AMUNDI	FR0004125920	AMUN	Euronext Paris	EUR	49.40	50.85	48.34	50.45	22/06/2022 17:35	CET	270675	13470654.50
ANTIN INFRA PARTN	FR0014005AL0	ANTIN	Euronext Paris	EUR	23.12	23.40	22.40	23.12	22/06/2022 17:35	CET	86421	1973578.02
APERAM	LU0569974404	APAM	Euronext Amsterdam, Brussels, Paris	EUR	30.26	30.26	28.65	30.08	22/06/2022 17:35	CET	561146	16612011.37
APTORUM GROUP CL A	KYG6096M1069	APM	Euronext Paris	EUR	2.70	2.70	2.70	2.70	15/01/2021 13:35	CET	426	1150.20
AQUILA	FR0010340711	ALAQU	Euronext Growth Paris	EUR	5.60	5.60	5.60	5.60	22/06/2022 11:30	CET	7	39.20
ARAMIS GROUP	FR0014003U94	ARAMI	Euronext Paris	EUR	4.25	4.512	4.25	4.506	22/06/2022 17:35	CET	198067	860602.108
ARCELORMITTAL SA	LU1598757687	MT	Euronext Amsterdam, Paris	EUR	23.78	23.795	22.16	22.43	22/06/2022 17:39	CET	10078912	228638696.405
ARCHOS	FR0014007XT1	ALJXR	Euronext Growth Paris	EUR	0.82	0.9496	0.8121	0.8457	22/06/2022 17:35	CET	188665	168266.9419
ARCURE	FR0013398997	ALCUR	Euronext Growth Paris	EUR	3.02	3.02	2.75	2.89	22/06/2022 16:55	CET	3572	10145.44
ARDOIN ST AMAND A	FR0005057635	MLARD	Euronext Access Paris	EUR	170.00	170.00	170.00	170.00	10/06/2022 11:30	CET	25	4250.00
ARDOIN ST AMAND B	FR0004070795	ARDO	Euronext Access Paris	EUR	72.00	72.00	72.00	72.00	03/08/2020 16:30	CET	2	144.00
ARGAN	FR0010481960	ARG	Euronext Paris	EUR	95.40	96.10	92.10	95.50	22/06/2022 17:35	CET	9948	931114.70
ARIMELIA ITG	ES0105601001	MLARI	Euronext Access Paris	EUR	2.97	2.97	2.97	2.97	17/09/2021 00:00	CET	-	-
ARKEMA	FR0010313833	AKE	Euronext Paris	EUR	91.50	91.50	89.04	89.98	22/06/2022 17:35	CET	184882	16644564.24
AROCA DEL PINAR	ES0105486007	MLARO	Euronext Access Paris	EUR	-	-	-	-	-	CET	-	-
ARTEA	FR0012185536	ARTE	Euronext Paris	EUR	19.40	19.40	19.10	19.10	22/06/2022 09:48	CET	131	2513.90
ARTMARKET COM	FR0000074783	PRC	Euronext Paris	EUR	6.60	7.26	6.60	7.15	22/06/2022 17:37	CET	23227	161951.09
ARTOIS NOM.	FR0000076952	ARTO	Euronext Paris	EUR	4840.00	4840.00	4840.00	4840.00	22/06/2022 11:30	CET	4	19360.00
ASHLER ET MANSON	FR0012968485	MLAEM	Euronext Access Paris	EUR	2.78	2.78	2.78	2.78	22/06/2022 11:30	CET	35	97.30
ASSYSTEM	FR0000074148	ASY	Euronext Paris	EUR	34.20	34.20	33.70	33.80	22/06/2022 17:35	CET	821	27862.60
ATARI	FR0010478248	ATA	Euronext Paris	EUR	0.1581	0.16	0.1511	0.1566	22/06/2022 17:35	CET	823904	128173.8734
ATEME	FR0011992700	ATEME	Euronext Paris	EUR	12.00	12.18	11.84	12.10	22/06/2022 17:35	CET	1858	22476.04
ATLAND	FR0013455482	ATLD	Euronext Paris	EUR	43.00	43.00	42.00	42.00	22/06/2022 13:08	CET	4143	174073.20
ATOS	FR0000051732	ATO	Euronext Paris	EUR	12.14	12.695	11.92	12.62	22/06/2022 17:39	CET	2142467	26494908.13
AUBAY	FR0000063737	AUB	Euronext Paris	EUR	47.50	47.50	46.40	46.80	22/06/2022 17:35	CET	6418	300419.40
AUDACIA	FR00140059B5	ALAUD	Euronext Growth Paris	EUR	5.50	5.52	5.48	5.52	22/06/2022 17:06	CET	246	1354.18
AUDIENCE LABS	FR0011896463	MLAUD	Euronext Access Paris	EUR	2.00	2.00	2.00	2.00	26/05/2022 14:02	CET	210	420.00
