Name	ISIN	Symbol	Market	Trading Currency	Open	High	Low	Last	Last Date/Time	Time Zone	Volume	Turnover
European Equities
25 Mar 2022
All datapoints provided as of end of last active trading day.
1000MERCIS	FR0010285965	ALMIL	Euronext Growth Paris	EUR	29.70	29.70	29.70	29.70	25/03/2022 17:03	CET	1361	40421.70
2CRSI	FR0013341781	2CRSI	Euronext Paris	EUR	4.43	4.445	4.21	4.21	25/03/2022 17:35	CET	10665	46059.645
2MX ORGANIC	FR0014000T90	2MX	Euronext Paris	EUR	9.782	9.782	9.78	9.78	25/03/2022 17:19	CET	139	1359.50
2MX ORGANIC BS	FR0014000TB2	2MXBS	Euronext Paris	EUR	0.12	0.12	0.12	0.12	16/03/2022 09:10	CET	3000	360.00
A TOUTE VITESSE	FR0010050773	MLATV	Euronext Access Paris	EUR	1.48	1.48	1.35	1.35	13/11/2019 16:53	CET	378	521.87
A.S.T. GROUPE	FR0000076887	ALAST	Euronext Growth Paris	EUR	4.42	4.49	4.42	4.49	25/03/2022 17:15	CET	775	3468.82
AB SCIENCE	FR0010557264	AB	Euronext Paris	EUR	9.40	9.65	9.175	9.32	25/03/2022 17:35	CET	74113	694148.08
ABC ARBITRAGE	FR0004040608	ABCA	Euronext Paris	EUR	7.26	7.39	7.26	7.34	25/03/2022 17:35	CET	17350	127434.76
ABEO	FR0013185857	ABEO	Euronext Paris	EUR	15.90	16.10	15.75	16.05	25/03/2022 17:27	CET	919	14695.70
ABIONYX PHARMA	FR0012616852	ABNX	Euronext Paris	EUR	2.40	2.42	2.03	2.05	25/03/2022 17:35	CET	773664	1719839.045
ABIVAX	FR0012333284	ABVX	Euronext Paris	EUR	25.45	25.45	24.40	24.45	25/03/2022 17:35	CET	4868	121698.65
ABO GROUP	BE0974278104	ABO	Euronext Brussels, Paris	EUR	5.50	5.55	5.50	5.55	25/03/2022 17:21	CET	1111	6116.05
ACANTHE DEV.	FR0000064602	ACAN	Euronext Paris	EUR	0.48	0.48	0.478	0.478	25/03/2022 17:13	CET	10000	4797.684
ACCOR	FR0000120404	AC	Euronext Paris	EUR	28.36	28.65	28.05	28.32	25/03/2022 17:35	CET	520944	14762794.17
ACCOR AC SHARES	FR0014003PZ3	AAC	Euronext Paris	EUR	9.879	9.88	9.602	9.88	15/03/2022 17:35	CET	917	8992.96
ACCOR AC WARRANTS	FR0014003QK3	AACW	Euronext Paris	EUR	0.22	0.22	0.22	0.22	14/03/2022 09:00	CET	10	2.20
ACHETER-LOUER.FR	FR00140072P8	ALALO	Euronext Growth Paris	EUR	0.0047	0.0048	0.0043	0.0045	25/03/2022 17:35	CET	6306953	28739.5009
ACTEOS	FR0000076861	EOS	Euronext Paris	EUR	1.775	1.80	1.755	1.78	25/03/2022 17:29	CET	1139	2022.665
ACTIA GROUP	FR0000076655	ATI	Euronext Paris	EUR	3.56	3.58	3.54	3.54	25/03/2022 17:19	CET	1829	6518.26
ACTICOR BIOTECH	FR0014005OJ5	ALACT	Euronext Growth Paris	EUR	6.70	6.70	6.50	6.60	25/03/2022 16:22	CET	5854	38945.331
ACTIVIUM GROUP	FR0010979377	MLACT	Euronext Access Paris	EUR	1.43	1.43	1.43	1.43	25/03/2022 16:30	CET	250	357.50
ADA	FR0000053076	ALADA	Euronext Growth Paris	EUR	11.20	11.20	11.20	11.20	25/03/2022 09:00	CET	201	2251.20
ADC SIIC	BE0974269012	ALDV	Euronext Paris	EUR	0.09	0.09	0.09	0.09	23/03/2022 16:30	CET	510	45.90
ADEUNIS	FR0013284627	ALARF	Euronext Growth Paris	EUR	2.61	2.62	2.58	2.61	25/03/2022 17:28	CET	511	1324.66
ADOCIA	FR0011184241	ADOC	Euronext Paris	EUR	6.30	6.43	6.01	6.01	25/03/2022 17:36	CET	31153	193757.34
ADOMOS	FR0013247244	ALADO	Euronext Growth Paris	EUR	0.0376	0.0399	0.0352	0.037	25/03/2022 17:29	CET	1674593	62101.7951
