Name	ISIN	Symbol	Market	Trading Currency	Open	High	Low	Last	Last Date/Time	Time Zone	Volume	Turnover
European Equities
06 Jan 2021
All datapoints provided as of end of last active trading day.
1000MERCIS	FR0010285965	ALMIL	Euronext Growth Paris	EUR	19.00	19.00	19.00	19.00	06/01/21 14:23	CET	110	2090.00
2CRSI	FR0013341781	2CRSI	Euronext Paris	EUR	5.26	5.30	5.06	5.10	06/01/21 17:35	CET	70321	361693.08
2MX ORGANIC	FR0014000T90	2MX	Euronext Paris	EUR	10.86	10.90	10.65	10.80	06/01/21 17:35	CET	18556	200324.554
2MX ORGANIC BS	FR0014000TB2	2MXBS	Euronext Paris	EUR	0.2783	0.2783	0.278	0.278	23/12/20 13:20	CET	40000	11124.10
A TOUTE VITESSE	FR0010050773	MLATV	Euronext Access Paris	EUR	1.48	1.48	1.35	1.35	13/11/19 16:53	CET	378	521.87
A.S.T. GROUPE	FR0000076887	ASP	Euronext Paris	EUR	4.03	4.15	3.97	4.12	06/01/21 17:35	CET	5534	22654.09
AB SCIENCE	FR0010557264	AB	Euronext Paris	EUR	18.62	18.74	17.70	17.90	06/01/21 17:35	CET	420139	7577476.24
ABC ARBITRAGE	FR0004040608	ABCA	Euronext Paris	EUR	7.16	7.19	7.13	7.14	06/01/21 17:35	CET	18754	134266.77
ABEO	FR0013185857	ABEO	Euronext Paris	EUR	11.90	12.40	11.70	12.25	06/01/21 17:28	CET	6845	82188.05
ABIONYX PHARMA	FR0012616852	ABNX	Euronext Paris	EUR	0.967	0.984	0.95	0.95	06/01/21 17:35	CET	98426	94649.682
ABIVAX	FR0012333284	ABVX	Euronext Paris	EUR	33.05	33.50	31.65	32.75	06/01/21 17:36	CET	74737	2425400.35
ACANTHE DEV.	FR0000064602	ACAN	Euronext Paris	EUR	0.427	0.433	0.425	0.433	06/01/21 12:39	CET	5115	2196.053
ACCOR	FR0000120404	AC	Euronext Paris	EUR	29.49	30.60	28.90	30.07	06/01/21 17:35	CET	1082739	32353989.30
ACCOR NV21	FR00140015P7	ACNV	Euronext Paris	EUR	-	-	-	-	-	CET	-	-
ACHETER-LOUER.FR	FR0010493510	ALALO	Euronext Growth Paris	EUR	0.044	0.0446	0.0356	0.0388	06/01/21 17:35	CET	49330906	1930648.265
ACTEOS	FR0000076861	EOS	Euronext Paris	EUR	3.20	3.47	3.13	3.40	06/01/21 17:35	CET	185201	615616.84
ACTIA GROUP	FR0000076655	ATI	Euronext Paris	EUR	3.18	3.385	3.15	3.36	06/01/21 17:35	CET	114955	376671.07
ACTIPLAY (GROUPE)	FR0011038348	ALACT	Euronext Growth Paris	EUR	0.876	0.876	0.826	0.858	06/01/21 16:51	CET	61080	51113.328
ACTIVIUM GROUP	FR0010979377	MLACT	Euronext Access Paris	EUR	1.47	1.47	1.47	1.47	06/01/21 11:30	CET	479	704.13
ADA	FR0000053076	ALADA	Euronext Growth Paris	EUR	8.70	8.75	8.65	8.70	06/01/21 16:19	CET	279	2428.15
ADC SIIC	BE0974269012	ALDV	Euronext Paris	EUR	0.10	0.10	0.10	0.10	05/01/21 16:30	CET	200	20.00
ADEUNIS	FR0013284627	ALARF	Euronext Growth Paris	EUR	3.10	3.11	2.98	3.07	06/01/21 17:19	CET	13640	41610.31
ADL PARTNER	FR0000062978	ALP	Euronext Paris	EUR	15.00	15.05	14.80	14.85	06/01/21 17:09	CET	1919	28636.35
ADOCIA	FR0011184241	ADOC	Euronext Paris	EUR	8.50	8.54	8.25	8.51	06/01/21 17:35	CET	6761	57099.62
ADOMOS	FR0013247244	ALADO	Euronext Growth Paris	EUR	0.388	0.401	0.381	0.388	06/01/21 17:35	CET	278414	109662.698
ADP	FR0010340141	ADP	Euronext Paris	EUR	99.40	99.70	96.30	99.20	06/01/21 17:35	CET	127422	12547341.15
ADTHINK	FR0010457531	ALADM	Euronext Growth Paris	EUR	1.48	1.57	1.36	1.45	06/01/21 17:35	CET	98815	146031.825
ADUX	FR0012821890	ADUX	Euronext Paris, Amsterdam	EUR	1.74	1.765	1.70	1.73	06/01/21 17:35	CET	23701	40423.33
ADVENIS	FR0004152874	ADV	Euronext Paris	EUR	2.10	2.10	2.00	2.07	05/01/21 11:49	CET	6063	12200.43
ADVICENNE	FR0013296746	ADVIC	Euronext Paris, Brussels	EUR	9.60	11.10	9.42	10.70	06/01/21 17:35	CET	122192	1257384.38
ADVINI	FR0000053043	ADVI	Euronext Paris	EUR	21.40	21.60	19.60	20.80	06/01/21 17:17	CET	1052	21476.80
AERKOMM INC	US00774B2088	AKOM	Euronext Paris	EUR	6.00	6.10	6.00	6.10	06/01/21 12:07	CET	2	12.10
AG3I	FR0011908045	MLAGI	Euronext Access Paris	EUR	3.46	3.46	3.46	3.46	08/11/19 16:30	CET	2	6.92
AGP MALAGA SOCIMI	ES0105478004	MLAGP	Euronext Access Paris	EUR	2.95	2.95	2.95	2.95	23/11/20 11:52	CET	2000	5900.00
