Name	ISIN	Symbol	Market	Trading Currency	Open	High	Low	Last	Last Date/Time	Time Zone	Volume	Turnover
European Equities
25 Feb 2021
All datapoints provided as of end of last active trading day.
1000MERCIS	FR0010285965	ALMIL	Euronext Growth Paris	EUR	20.00	20.00	19.80	19.80	25/02/21 12:17	CET	111	2212.90
2CRSI	FR0013341781	2CRSI	Euronext Paris	EUR	7.10	7.23	6.91	7.03	25/02/21 17:35	CET	30429	215313.59
2MX ORGANIC	FR0014000T90	2MX	Euronext Paris	EUR	10.54	10.542	10.402	10.402	25/02/21 17:35	CET	13019	136566.646
2MX ORGANIC BS	FR0014000TB2	2MXBS	Euronext Paris	EUR	0.70	0.75	0.65	0.65	19/02/21 16:50	CET	70300	46361.50
A TOUTE VITESSE	FR0010050773	MLATV	Euronext Access Paris	EUR	1.48	1.48	1.35	1.35	13/11/19 16:53	CET	378	521.87
A.S.T. GROUPE	FR0000076887	ASP	Euronext Paris	EUR	4.69	4.75	4.68	4.68	25/02/21 17:35	CET	808	3800.32
AB SCIENCE	FR0010557264	AB	Euronext Paris	EUR	15.80	15.88	15.40	15.56	25/02/21 17:35	CET	141766	2208670.26
ABC ARBITRAGE	FR0004040608	ABCA	Euronext Paris	EUR	7.50	7.50	7.43	7.48	25/02/21 17:35	CET	20669	154051.01
ABEO	FR0013185857	ABEO	Euronext Paris	EUR	11.75	11.90	11.70	11.70	25/02/21 17:35	CET	2272	26804.40
ABIONYX PHARMA	FR0012616852	ABNX	Euronext Paris	EUR	0.90	0.90	0.874	0.879	25/02/21 17:35	CET	47861	42310.226
ABIVAX	FR0012333284	ABVX	Euronext Paris	EUR	31.05	31.25	29.75	29.75	25/02/21 17:35	CET	22475	678328.05
ACANTHE DEV.	FR0000064602	ACAN	Euronext Paris	EUR	0.426	0.426	0.403	0.408	25/02/21 17:35	CET	5502	2219.834
ACCOR	FR0000120404	AC	Euronext Paris	EUR	35.41	35.49	34.67	34.75	25/02/21 17:39	CET	1121085	39091486.51
ACCOR NV21	FR00140015P7	ACNV	Euronext Paris	EUR	-	-	-	-	-	CET	-	-
ACHETER-LOUER.FR	FR0010493510	ALALO	Euronext Growth Paris	EUR	0.077	0.0774	0.0723	0.0731	25/02/21 17:35	CET	15856614	1172520.0173
ACTEOS	FR0000076861	EOS	Euronext Paris	EUR	3.35	3.39	3.20	3.30	25/02/21 14:59	CET	8234	27293.18
ACTIA GROUP	FR0000076655	ATI	Euronext Paris	EUR	3.48	3.48	3.23	3.315	25/02/21 17:37	CET	52464	174629.95
ACTIPLAY (GROUPE)	FR0011038348	ALACT	Euronext Growth Paris	EUR	0.77	0.82	0.77	0.796	25/02/21 17:28	CET	102493	81813.938
ACTIVIUM GROUP	FR0010979377	MLACT	Euronext Access Paris	EUR	1.40	1.40	1.40	1.40	22/02/21 11:30	CET	1	1.40
ADA	FR0000053076	ALADA	Euronext Growth Paris	EUR	8.70	8.70	8.50	8.65	25/02/21 17:20	CET	108	923.15
ADC SIIC	BE0974269012	ALDV	Euronext Paris	EUR	0.097	0.097	0.097	0.097	25/02/21 12:50	CET	5640	547.08
ADEUNIS	FR0013284627	ALARF	Euronext Growth Paris	EUR	2.78	2.78	2.73	2.75	25/02/21 16:44	CET	1031	2833.17
ADL PARTNER	FR0000062978	ALP	Euronext Paris	EUR	17.30	17.30	16.95	17.15	25/02/21 17:35	CET	3161	54306.45
ADOCIA	FR0011184241	ADOC	Euronext Paris	EUR	10.88	10.88	10.70	10.76	25/02/21 17:35	CET	4043	43590.30
ADOMOS	FR0013247244	ALADO	Euronext Growth Paris	EUR	0.39	0.393	0.387	0.387	25/02/21 17:23	CET	116019	45162.778
ADP	FR0010340141	ADP	Euronext Paris	EUR	108.40	109.00	106.10	106.10	25/02/21 17:35	CET	188797	20244812.60
ADTHINK	FR0010457531	ALADM	Euronext Growth Paris	EUR	1.725	1.725	1.625	1.625	25/02/21 17:35	CET	8140	13434.425
ADUX	FR0012821890	ADUX	Euronext Paris, Amsterdam	EUR	2.38	2.42	2.37	2.42	25/02/21 17:19	CET	2296	5520.26
ADVENIS	FR0004152874	ADV	Euronext Paris	EUR	2.09	2.10	2.05	2.05	25/02/21 16:22	CET	5091	10660.85
ADVICENNE	FR0013296746	ADVIC	Euronext Paris, Brussels	EUR	14.50	14.90	14.25	14.40	25/02/21 17:35	CET	73102	1070699.20
ADVINI	FR0000053043	ADVI	Euronext Paris	EUR	20.00	20.40	20.00	20.40	25/02/21 15:38	CET	261	5262.80
AERKOMM INC	US00774B2088	AKOM	Euronext Paris	EUR	5.25	5.40	5.25	5.40	25/02/21 12:48	CET	26	138.15
AG3I	FR0011908045	MLAGI	Euronext Access Paris	EUR	3.46	3.46	3.46	3.46	08/11/19 16:30	CET	2	6.92
AGP MALAGA SOCIMI	ES0105478004	MLAGP	Euronext Access Paris	EUR	2.95	2.95	2.95	2.95	23/11/20 11:52	CET	2000	5900.00
AGRIPOWER	FR0013452281	ALAGP	Euronext Growth Paris	EUR	9.98	9.98	9.53	9.95	25/02/21 17:15	CET	4150	40736.75
AGROGENERATION	FR0010641449	ALAGR	Euronext Growth Paris	EUR	0.1805	0.1805	0.177	0.178	25/02/21 17:29	CET	163809	29313.43
AIR FRANCE -KLM	FR0000031122	AF	Euronext Paris, Amsterdam	EUR	5.50	5.96	5.484	5.51	25/02/21 17:39	CET	9774323	55498527.222
AIR LIQUIDE	FR0000120073	AI	Euronext Paris	EUR	129.45	129.50	126.80	126.80	25/02/21 17:39	CET	1554359	198311803.50
AIR MARINE	FR0013285103	MLAIM	Euronext Access Paris	EUR	2.10	2.10	2.10	2.10	25/02/21 16:30	CET	500	1050.00
AIRBUS	NL0000235190	AIR	Euronext Paris	EUR	103.84	103.98	98.86	98.93	25/02/21 17:37	CET	2564953	258341219.40
AKKA TECHNOLOGIES	FR0004180537	AKA	Euronext Paris, Brussels	EUR	25.40	26.05	25.40	25.60	25/02/21 17:39	CET	40038	1029353.90
AKWEL	FR0000053027	AKW	Euronext Paris	EUR	28.40	29.70	28.35	29.00	25/02/21 17:35	CET	21302	620823.75
ALBIOMA	FR0000060402	ABIO	Euronext Paris	EUR	40.75	41.95	40.70	41.45	25/02/21 17:35	CET	99279	4099421.80
ALCHIMIE	FR0014000JX7	ALCHI	Euronext Growth Paris	EUR	17.95	18.00	17.40	17.60	25/02/21 17:19	CET	4315	76965.10
ALD	FR0013258662	ALD	Euronext Paris	EUR	12.54	12.66	12.34	12.34	25/02/21 17:35	CET	121404	1509684.46
ALEPH FINANCE	GB00BJ9M4V82	MLALE	Euronext Access Paris	EUR	2.14	2.14	2.14	2.14	25/02/21 16:30	CET	100	214.00
ALES GROUPE	FR0000054652	ALPHY	Euronext Growth Paris	EUR	1.18	1.20	1.18	1.18	29/06/20 16:07	CET	1401	1671.18
ALPES (Cie) NV21	FR00140017V1	CDANV	Euronext Paris	EUR	-	-	-	-	-	CET	-	-
ALPES (COMPAGNIE)	FR0000053324	CDA	Euronext Paris	EUR	21.75	21.75	21.10	21.15	25/02/21 17:35	CET	32196	691349.75
ALPHA MOS	FR0013421286	ALM	Euronext Paris	EUR	3.12	3.20	3.10	3.20	25/02/21 17:35	CET	285	887.30
ALSTOM	FR0010220475	ALO	Euronext Paris	EUR	41.92	42.18	41.55	41.59	25/02/21 17:35	CET	892595	37274463.73
ALTAMIR	FR0000053837	LTA	Euronext Paris	EUR	23.155	23.155	22.70	22.80	25/02/21 17:35	CET	3716	85313.225
ALTAREA	FR0000033219	ALTA	Euronext Paris	EUR	141.00	145.00	141.00	145.00	25/02/21 17:35	CET	9322	1341244.60
ALTAREIT	FR0000039216	AREIT	Euronext Paris	EUR	490.00	490.00	490.00	490.00	25/02/21 11:30	CET	1	490.00
ALTEN	FR0000071946	ATE	Euronext Paris	EUR	88.40	92.95	88.35	91.80	25/02/21 17:35	CET	64459	5874259.50
ALTUR INVEST.	FR0010395681	ALTUR	Euronext Paris	EUR	5.05	5.20	5.00	5.20	25/02/21 17:15	CET	2497	12751.65
ALVEEN	FR0013253812	MLALV	Euronext Access Paris	EUR	0.825	0.825	0.825	0.825	18/02/21 11:30	CET	56	46.21
AMATHEON AGRI	NL0010273694	MLAAH	Euronext Access Paris	EUR	0.113	0.113	0.113	0.113	25/02/21 16:30	CET	161	18.193
AMOEBA	FR0011051598	ALMIB	Euronext Growth Paris	EUR	2.51	2.57	2.40	2.40	25/02/21 17:35	CET	153332	383430.28
AMPLITUDE SURGICAL	FR0012789667	AMPLI	Euronext Paris	EUR	2.11	2.11	2.11	2.11	25/02/21 17:35	CET	693	1462.23
AMUNDI	FR0004125920	AMUN	Euronext Paris	EUR	63.75	64.40	63.45	63.60	25/02/21 17:36	CET	270160	17233916.30
ANTEVENIO	ES0109429037	ALANT	Euronext Growth Paris	EUR	4.56	4.56	4.56	4.56	25/02/21 09:00	CET	1	4.56
APERAM	LU0569974404	APAM	Euronext Amsterdam, Brussels, Paris	EUR	35.40	35.65	35.06	35.40	25/02/21 17:35	CET	282373	9996359.16
APTORUM GROUP CL A	KYG6096M1069	APM	Euronext Paris	EUR	2.70	2.70	2.70	2.70	15/01/21 13:35	CET	426	1150.20
AQUILA	FR0010340711	ALAQU	Euronext Growth Paris	EUR	7.70	7.85	7.70	7.85	24/02/21 16:30	CET	2218	17303.60
ARCELORMITTAL SA	LU1598757687	MT	Euronext Amsterdam, Paris	EUR	20.15	20.585	20.105	20.195	25/02/21 17:36	CET	9465313	192233129.315
ARCHOS	FR0000182479	ALJXR	Euronext Growth Paris	EUR	0.031	0.031	0.0295	0.03	25/02/21 17:35	CET	8266989	250128.7474
ARCURE	FR0013398997	ALCUR	Euronext Growth Paris	EUR	4.15	4.30	4.10	4.19	25/02/21 16:21	CET	20391	85429.72
ARDOIN ST AMAND A	FR0005057635	MLARD	Euronext Access Paris	EUR	135.00	135.00	135.00	135.00	18/02/21 16:39	CET	142	19170.00
ARDOIN ST AMAND B	FR0004070795	ARDO	Euronext Access Paris	EUR	72.00	72.00	72.00	72.00	03/08/20 16:30	CET	2	144.00
ARGAN	FR0010481960	ARG	Euronext Paris	EUR	85.60	86.80	84.40	85.20	25/02/21 17:35	CET	3646	312531.00
ARKEMA	FR0010313833	AKE	Euronext Paris	EUR	92.70	94.80	91.04	91.04	25/02/21 17:37	CET	304505	27985603.42
AROCA DEL PINAR	ES0105486007	MLARO	Euronext Access Paris	EUR	14.60	14.60	14.60	14.60	16/08/20 00:00	CET	-	-
ARTEA	FR0012185536	ARTE	Euronext Paris	EUR	12.90	12.90	12.90	12.90	25/02/21 09:00	CET	1	12.90
ARTEFACT	FR0000079683	ALATF	Euronext Growth Paris	EUR	3.78	3.84	3.78	3.83	25/02/21 17:35	CET	82901	316084.63
ARTMARKET COM	FR0000074783	PRC	Euronext Paris	EUR	6.60	6.68	6.60	6.68	25/02/21 17:35	CET	8342	55303.00
