Name	ISIN	Symbol	Market	Trading Currency	Open	High	Low	Last	Last Date/Time	Time Zone	Volume	Turnover
European Equities
06 Sep 2022
All datapoints provided as of end of last active trading day.
1000MERCIS	FR0010285965	ALMIL	Euronext Growth Paris	EUR	26.20	26.20	26.20	26.20	06/09/2022 13:33	CET	1	26.20
2CRSI	FR0013341781	2CRSI	Euronext Paris	EUR	2.975	2.995	2.93	2.93	06/09/2022 16:05	CET	7697	22869.035
A TOUTE VITESSE	FR0010050773	MLATV	Euronext Access Paris	EUR	1.48	1.48	1.35	1.35	13/11/2019 16:53	CET	378	521.87
A.S.T. GROUPE	FR0000076887	ALAST	Euronext Growth Paris	EUR	3.00	3.00	2.89	2.89	06/09/2022 17:29	CET	3944	11556.03
AB SCIENCE	FR0010557264	AB	Euronext Paris	EUR	9.00	9.14	8.835	8.955	06/09/2022 17:35	CET	35693	320179.475
ABC ARBITRAGE	FR0004040608	ABCA	Euronext Paris	EUR	7.04	7.04	7.01	7.03	06/09/2022 17:36	CET	9158	64287.13
ABEO	FR0013185857	ABEO	Euronext Paris	EUR	17.90	17.90	17.85	17.85	06/09/2022 12:57	CET	115	2053.50
ABIONYX PHARMA	FR0012616852	ABNX	Euronext Paris	EUR	1.98	2.10	1.98	2.10	06/09/2022 17:35	CET	89525	183313.36
ABIVAX	FR0012333284	ABVX	Euronext Paris	EUR	8.50	8.86	8.50	8.75	06/09/2022 17:35	CET	52220	455894.37
ABL Diagnostics	FR001400AHX6	ABLD	Euronext Paris	EUR	14.452	14.452	14.452	14.452	05/08/2022 11:30	CET	1000	14452.00
ABO GROUP	BE0974278104	ABO	Euronext Brussels, Paris	EUR	5.00	5.00	5.00	5.00	05/09/2022 09:29	CET	100	500.00
ACANTHE DEV.	FR0000064602	ACAN	Euronext Paris	EUR	0.418	0.418	0.411	0.411	06/09/2022 10:17	CET	10122	4206.346
ACCOR	FR0000120404	AC	Euronext Paris	EUR	23.63	24.09	23.56	23.65	06/09/2022 17:39	CET	502936	11971181.55
ACCOR AC SHARES	FR0014003PZ3	AAC	Euronext Paris	EUR	9.80	9.80	9.80	9.80	31/08/2022 13:12	CET	100	980.00
ACCOR AC WARRANTS	FR0014003QK3	AACW	Euronext Paris	EUR	0.09	0.09	0.09	0.09	10/08/2022 14:16	CET	1500	135.00
