Name	ISIN	Symbol	Market	Trading Currency	Open	High	Low	Last	Last Date/Time	Time Zone	Volume	Turnover
European Equities
04 Oct 2021
All datapoints provided as of end of last active trading day.
1000MERCIS	FR0010285965	ALMIL	Euronext Growth Paris	EUR	23.00	23.20	23.00	23.20	04/10/21 15:26	CET	183	4227.00
2CRSI	FR0013341781	2CRSI	Euronext Paris	EUR	4.00	4.00	3.85	3.93	04/10/21 17:35	CET	31354	122790.48
2MX ORGANIC	FR0014000T90	2MX	Euronext Paris	EUR	9.74	9.80	9.74	9.74	04/10/21 17:35	CET	73795	718903.56
2MX ORGANIC BS	FR0014000TB2	2MXBS	Euronext Paris	EUR	0.1505	0.1505	0.1505	0.1505	28/09/21 16:16	CET	80	12.04
A TOUTE VITESSE	FR0010050773	MLATV	Euronext Access Paris	EUR	1.48	1.48	1.35	1.35	13/11/19 16:53	CET	378	521.87
A.S.T. GROUPE	FR0000076887	ASP	Euronext Paris	EUR	5.72	5.74	5.50	5.66	04/10/21 17:15	CET	14069	79775.44
AB SCIENCE	FR0010557264	AB	Euronext Paris	EUR	13.26	13.26	12.87	13.11	04/10/21 17:37	CET	43073	561757.68
ABC ARBITRAGE	FR0004040608	ABCA	Euronext Paris	EUR	7.24	7.24	7.10	7.10	04/10/21 17:35	CET	36286	258984.22
ABEO	FR0013185857	ABEO	Euronext Paris	EUR	14.50	14.50	13.30	13.70	04/10/21 17:35	CET	4252	59344.35
ABIONYX PHARMA	FR0012616852	ABNX	Euronext Paris	EUR	0.933	0.946	0.93	0.934	04/10/21 17:35	CET	34165	31941.432
ABIVAX	FR0012333284	ABVX	Euronext Paris	EUR	29.50	30.45	29.10	29.10	04/10/21 17:35	CET	13283	391061.35
ABO GROUP	BE0974278104	ABO	Euronext Brussels, Paris	EUR	5.40	5.70	5.40	5.50	04/10/21 16:40	CET	1205	6733.35
ACANTHE DEV.	FR0000064602	ACAN	Euronext Paris	EUR	0.45	0.454	0.441	0.441	04/10/21 13:30	CET	21350	9621.786
ACCOR	FR0000120404	AC	Euronext Paris	EUR	31.85	32.03	31.32	31.41	04/10/21 17:35	CET	588317	18580400.09
ACCOR AC SHARES	FR0014003PZ3	AAC	Euronext Paris	EUR	9.799	9.80	9.784	9.80	04/10/21 16:59	CET	1038	10170.571
ACCOR AC WARRANTS	FR0014003QK3	AACW	Euronext Paris	EUR	0.35	0.35	0.35	0.35	28/09/21 16:34	CET	9789	3426.15
ACCOR NV21	FR00140015P7	ACNV	Euronext Paris	EUR	-	-	-	-	-	CET	-	-
ACHETER-LOUER.FR	FR0010493510	ALALO	Euronext Growth Paris	EUR	0.0055	0.0059	0.0051	0.0052	04/10/21 17:35	CET	16024315	86573.9078
ACTEOS	FR0000076861	EOS	Euronext Paris	EUR	2.33	2.33	2.30	2.30	04/10/21 17:24	CET	264	609.84
ACTIA GROUP	FR0000076655	ATI	Euronext Paris	EUR	3.33	3.33	3.13	3.24	04/10/21 17:35	CET	17874	58489.68
ACTIVIUM GROUP	FR0010979377	MLACT	Euronext Access Paris	EUR	1.54	1.54	1.54	1.54	04/10/21 11:30	CET	10	15.40
ADA	FR0000053076	ALADA	Euronext Growth Paris	EUR	11.30	11.30	11.30	11.30	04/10/21 09:00	CET	3	33.90
ADC SIIC	BE0974269012	ALDV	Euronext Paris	EUR	0.10	0.10	0.10	0.10	29/09/21 11:30	CET	890	89.00
ADEUNIS	FR0013284627	ALARF	Euronext Growth Paris	EUR	3.41	3.42	3.30	3.42	04/10/21 17:25	CET	7537	25242.23
ADL PARTNER	FR0000062978	ALP	Euronext Paris	EUR	17.20	17.20	17.05	17.20	04/10/21 17:36	CET	2861	48977.75
ADOCIA	FR0011184241	ADOC	Euronext Paris	EUR	9.90	9.90	9.53	9.70	04/10/21 16:49	CET	7322	70183.03
ADOMOS	FR0013247244	ALADO	Euronext Growth Paris	EUR	0.228	0.2305	0.2205	0.23	04/10/21 17:35	CET	83157	18776.3595
ADP	FR0010340141	ADP	Euronext Paris	EUR	114.30	117.65	114.30	116.30	04/10/21 17:35	CET	114820	13354611.80
ADTHINK	FR0010457531	ALADM	Euronext Growth Paris	EUR	0.888	1.025	0.886	0.99	04/10/21 14:54	CET	50565	49443.143
ADUX	FR0012821890	ADUX	Euronext Paris, Amsterdam	EUR	2.06	2.06	2.06	2.06	04/10/21 13:44	CET	1158	2385.48
ADVENIS	FR0004152874	ALADV	Euronext Growth Paris	EUR	2.17	2.17	2.11	2.11	01/10/21 15:56	CET	467	985.49
ADVICENNE	FR0013296746	ADVIC	Euronext Paris, Brussels	EUR	6.62	6.86	6.62	6.78	04/10/21 17:35	CET	15885	107142.73
ADVINI	FR0000053043	ADVI	Euronext Paris	EUR	19.80	19.80	19.50	19.50	04/10/21 13:53	CET	349	6842.80
AERKOMM INC	US00774B2088	AKOM	Euronext Paris	EUR	3.38	3.38	3.38	3.38	04/10/21 09:00	CET	1	3.38
AFFLUENT MEDICAL	FR0013333077	AFME	Euronext Paris	EUR	6.50	6.50	6.50	6.50	04/10/21 15:16	CET	578	3757.00
AFYREN	FR0014005AC9	ALAFY	Euronext Growth Paris	EUR	7.88	7.88	7.11	7.50	04/10/21 17:35	CET	40106	299626.29
AG3I	FR0011908045	MLAGI	Euronext Access Paris	EUR	0.50	0.50	0.50	0.50	17/09/21 12:04	CET	100	50.00
AGP MALAGA SOCIMI	ES0105478004	MLAGP	Euronext Access Paris	EUR	2.95	2.95	2.95	2.95	23/11/20 11:52	CET	2000	5900.00
AGRIPOWER	FR0013452281	ALAGP	Euronext Growth Paris	EUR	7.82	7.92	7.82	7.82	04/10/21 17:19	CET	1586	12478.38
AGROGENERATION	FR0010641449	ALAGR	Euronext Growth Paris	EUR	0.1915	0.194	0.182	0.1875	04/10/21 17:28	CET	545066	102150.711
AIR FRANCE -KLM	FR0000031122	AF	Euronext Paris, Amsterdam	EUR	4.326	4.411	4.295	4.351	04/10/21 17:35	CET	3237926	14098998.607
AIR LIQUIDE	FR0000120073	AI	Euronext Paris	EUR	139.60	140.26	138.32	139.18	04/10/21 17:35	CET	608440	84766861.90
