Name	ISIN	Symbol	Market	Trading Currency	Open	High	Low	Last	Last Date/Time	Time Zone	Volume	Turnover
European Equities
01 Feb 2022
All datapoints provided as of end of last active trading day.
1000MERCIS	FR0010285965	ALMIL	Euronext Growth Paris	EUR	22.30	22.40	22.30	22.40	01/02/2022 16:34	CET	99	2217.30
2CRSI	FR0013341781	2CRSI	Euronext Paris	EUR	4.395	4.45	4.365	4.45	01/02/2022 17:35	CET	5840	25749.855
2MX ORGANIC	FR0014000T90	2MX	Euronext Paris	EUR	9.85	9.959	9.85	9.959	01/02/2022 15:36	CET	9253	91886.404
2MX ORGANIC BS	FR0014000TB2	2MXBS	Euronext Paris	EUR	0.194	0.194	0.194	0.194	01/02/2022 13:54	CET	9253	1795.082
A TOUTE VITESSE	FR0010050773	MLATV	Euronext Access Paris	EUR	1.48	1.48	1.35	1.35	13/11/2019 16:53	CET	378	521.87
A.S.T. GROUPE	FR0000076887	ASP	Euronext Paris	EUR	5.60	5.80	5.48	5.74	01/02/2022 17:19	CET	7016	39675.46
AB SCIENCE	FR0010557264	AB	Euronext Paris	EUR	8.85	9.73	8.81	9.73	01/02/2022 17:35	CET	85640	806709.285
ABC ARBITRAGE	FR0004040608	ABCA	Euronext Paris	EUR	7.18	7.18	7.14	7.18	01/02/2022 17:35	CET	20593	147423.96
ABEO	FR0013185857	ABEO	Euronext Paris	EUR	17.15	17.30	16.95	17.10	01/02/2022 16:45	CET	1929	32943.55
ABIONYX PHARMA	FR0012616852	ABNX	Euronext Paris	EUR	2.30	2.395	2.30	2.34	01/02/2022 17:35	CET	87466	206652.795
ABIVAX	FR0012333284	ABVX	Euronext Paris	EUR	23.55	24.05	23.40	23.65	01/02/2022 17:35	CET	8652	205895.30
ABO GROUP	BE0974278104	ABO	Euronext Brussels, Paris	EUR	5.70	5.75	5.70	5.75	01/02/2022 16:57	CET	20	114.05
ACANTHE DEV.	FR0000064602	ACAN	Euronext Paris	EUR	0.504	0.51	0.502	0.51	01/02/2022 17:20	CET	5065	2548.94
ACCOR	FR0000120404	AC	Euronext Paris	EUR	32.49	32.80	32.20	32.75	01/02/2022 17:35	CET	935092	30497138.99
ACCOR AC SHARES	FR0014003PZ3	AAC	Euronext Paris	EUR	9.88	9.88	9.88	9.88	01/02/2022 12:53	CET	3929	38818.52
ACCOR AC WARRANTS	FR0014003QK3	AACW	Euronext Paris	EUR	0.20	0.25	0.20	0.20	01/02/2022 16:36	CET	53929	10982.25
ACHETER-LOUER.FR	FR00140072P8	ALALO	Euronext Growth Paris	EUR	0.0158	0.0179	0.0157	0.0165	01/02/2022 17:35	CET	3713996	60227.7039
ACTEOS	FR0000076861	EOS	Euronext Paris	EUR	1.77	1.77	1.665	1.73	01/02/2022 16:54	CET	6935	12033.875
ACTIA GROUP	FR0000076655	ATI	Euronext Paris	EUR	4.13	4.27	4.10	4.27	01/02/2022 17:35	CET	5312	22193.87
ACTICOR BIOTECH	FR0014005OJ5	ALACT	Euronext Growth Paris	EUR	5.88	6.14	5.86	6.099	01/02/2022 17:06	CET	2658	15939.886
ACTIVIUM GROUP	FR0010979377	MLACT	Euronext Access Paris	EUR	1.22	1.22	1.22	1.22	28/01/2022 11:30	CET	136	165.92
ADA	FR0000053076	ALADA	Euronext Growth Paris	EUR	12.00	12.10	12.00	12.10	01/02/2022 17:07	CET	711	8571.60
ADC SIIC	BE0974269012	ALDV	Euronext Paris	EUR	0.09	0.09	0.09	0.09	25/01/2022 12:25	CET	2300	207.00
ADEUNIS	FR0013284627	ALARF	Euronext Growth Paris	EUR	2.90	2.95	2.90	2.95	01/02/2022 09:59	CET	146	423.55
ADOCIA	FR0011184241	ADOC	Euronext Paris	EUR	7.00	7.20	7.00	7.20	01/02/2022 17:13	CET	3391	24227.42
ADOMOS	FR0013247244	ALADO	Euronext Growth Paris	EUR	0.076	0.088	0.0709	0.081	01/02/2022 17:35	CET	6440391	519582.6744
ADP	FR0010340141	ADP	Euronext Paris	EUR	120.35	123.20	119.80	123.00	01/02/2022 17:35	CET	76925	9414831.25
ADUX	FR0012821890	ADUX	Euronext Paris, Amsterdam	EUR	2.53	2.55	2.44	2.45	01/02/2022 16:27	CET	7770	19295.37
ADVENIS	FR0004152874	ALADV	Euronext Growth Paris	EUR	2.83	2.83	2.82	2.82	01/02/2022 16:45	CET	1270	3593.40
