Name	ISIN	Symbol	Market	Trading Currency	Open	High	Low	Last	Last Date/Time	Time Zone	Volume	Turnover
European Equities
03 Nov 2020
All datapoints provided as of end of last active trading day.
1000MERCIS	FR0010285965	ALMIL	Euronext Growth Paris	EUR	14.95	14.95	14.95	14.95	03/11/20 16:49	CET	51	762.45
SOLUTIONS 30 SE	FR0013379484	S30	Euronext Paris	EUR	15.60	16.22	15.31	16.06	03/11/20 17:35	CET	617594	9728039.66
2CRSI	FR0013341781	2CRSI	Euronext Paris	EUR	3.215	3.25	3.10	3.175	03/11/20 17:35	CET	35460	112606.575
A TOUTE VITESSE	FR0010050773	MLATV	Euronext Access Paris	EUR	1.48	1.48	1.35	1.35	13/11/19 16:53	CET	378	521.87
A.S.T. GROUPE	FR0000076887	ASP	Euronext Paris	EUR	3.78	3.83	3.71	3.71	03/11/20 17:35	CET	6220	23427.62
AB SCIENCE	FR0010557264	AB	Euronext Paris	EUR	9.35	9.43	9.15	9.20	03/11/20 17:35	CET	115057	1060428.13
ABC ARBITRAGE	FR0004040608	ABCA	Euronext Paris	EUR	7.37	7.43	7.29	7.39	03/11/20 17:35	CET	37048	273354.98
ABEO	FR0013185857	ABEO	Euronext Paris	EUR	6.60	6.72	6.60	6.62	03/11/20 16:24	CET	1464	9791.88
ABIONYX PHARMA	FR0012616852	ABNX	Euronext Paris	EUR	0.702	0.702	0.68	0.691	03/11/20 17:35	CET	167840	115732.587
ABIVAX	FR0012333284	ABVX	Euronext Paris	EUR	19.10	19.28	18.72	19.00	03/11/20 17:37	CET	14215	268616.36
ACANTHE DEV.	FR0000064602	ACAN	Euronext Paris	EUR	0.426	0.426	0.411	0.411	03/11/20 15:23	CET	2041	869.451
ACCOR	FR0000120404	AC	Euronext Paris	EUR	22.61	23.11	22.47	23.11	03/11/20 17:35	CET	1074751	23884315.24
ACHETER-LOUER.FR	FR0010493510	ALALO	Euronext Growth Paris	EUR	0.018	0.0181	0.0178	0.018	03/11/20 16:58	CET	1392985	24976.4647
ACTEOS	FR0000076861	EOS	Euronext Paris	EUR	1.37	1.375	1.34	1.375	03/11/20 16:54	CET	3543	4826.165
ACTIA GROUP	FR0000076655	ATI	Euronext Paris	EUR	1.896	1.916	1.88	1.904	03/11/20 17:21	CET	8142	15399.004
ACTIPLAY (GROUPE)	FR0011038348	ALACT	Euronext Growth Paris	EUR	0.59	0.64	0.58	0.60	03/11/20 17:35	CET	33057	19902.644
ACTIVIUM GROUP	FR0010979377	MLACT	Euronext Access Paris	EUR	1.34	1.34	1.34	1.34	22/10/20 14:13	CET	34	45.56
ADA	FR0000053076	ALADA	Euronext Growth Paris	EUR	8.10	8.10	7.85	8.00	03/11/20 16:26	CET	377	3010.45
ADC SIIC	BE0974269012	ALDV	Euronext Paris	EUR	0.0855	0.0855	0.0855	0.0855	03/11/20 16:30	CET	1303	111.4065
ADEUNIS	FR0013284627	ALARF	Euronext Growth Paris	EUR	2.47	2.47	2.33	2.37	03/11/20 17:07	CET	11206	26618.65
ADL PARTNER	FR0000062978	ALP	Euronext Paris	EUR	11.55	11.75	11.55	11.75	03/11/20 16:31	CET	2100	24493.10
ADOCIA	FR0011184241	ADOC	Euronext Paris	EUR	6.49	6.59	6.39	6.54	03/11/20 17:35	CET	5041	32777.13
ADOMOS	FR0013247244	ALADO	Euronext Growth Paris	EUR	0.295	0.30	0.282	0.285	03/11/20 17:35	CET	83267	24071.374
ADP	FR0010340141	ADP	Euronext Paris	EUR	87.60	90.25	87.60	89.80	03/11/20 17:39	CET	127078	11161438.30
ADTHINK	FR0010457531	ALADM	Euronext Growth Paris	EUR	1.105	1.13	1.09	1.13	03/11/20 17:28	CET	15940	17717.925
ADUX	FR0012821890	ADUX	Euronext Paris, Amsterdam	EUR	1.285	1.31	1.285	1.285	03/11/20 16:19	CET	1842	2403.57
ADVENIS	FR0004152874	ADV	Euronext Paris	EUR	1.81	1.82	1.81	1.82	03/11/20 17:35	CET	1161	2102.35
ADVICENNE	FR0013296746	ADVIC	Euronext Paris, Brussels	EUR	5.82	5.90	5.50	5.58	03/11/20 17:35	CET	28989	162776.18
ADVINI	FR0000053043	ADVI	Euronext Paris	EUR	18.90	18.90	18.80	18.80	03/11/20 15:46	CET	727	13667.90
AERKOMM INC	US00774B2088	AKOM	Euronext Paris	EUR	10.60	10.60	10.60	10.60	03/11/20 09:00	CET	1	10.60
AG3I	FR0011908045	MLAGI	Euronext Access Paris	EUR	3.46	3.46	3.46	3.46	08/11/19 16:30	CET	2	6.92
AGP MALAGA SOCIMI	ES0105478004	MLAGP	Euronext Access Paris	EUR	2.95	2.95	2.95	2.95	04/09/20 16:30	CET	1000	2950.00
AGRIPOWER	FR0013452281	ALAGP	Euronext Growth Paris	EUR	8.99	9.00	8.75	8.98	03/11/20 17:28	CET	2804	24934.43
AGROGENERATION	FR0010641449	ALAGR	Euronext Growth Paris	EUR	0.078	0.078	0.072	0.0758	03/11/20 16:31	CET	153155	11451.1782
AIR FRANCE -KLM	FR0000031122	AF	Euronext Paris, Amsterdam	EUR	3.111	3.197	2.997	3.132	03/11/20 17:39	CET	8485335	25941217.216
AIR LIQUIDE	FR0000120073	AI	Euronext Paris	EUR	130.45	132.25	129.60	132.00	03/11/20 17:35	CET	1056094	129060410.65
AIR MARINE	FR0013285103	MLAIM	Euronext Access Paris	EUR	0.85	0.85	0.85	0.85	03/11/20 16:30	CET	300	255.00
AIRBUS	NL0000235190	AIR	Euronext Paris	EUR	64.00	66.74	63.90	66.28	03/11/20 17:39	CET	2549566	158893049.55
AKKA TECHNOLOGIES	FR0004180537	AKA	Euronext Paris, Brussels	EUR	16.50	16.92	16.08	16.40	03/11/20 17:35	CET	123149	1975362.94
AKWEL	FR0000053027	AKW	Euronext Paris	EUR	15.54	15.80	15.16	15.50	03/11/20 17:35	CET	15750	243957.62
ALBIOMA	FR0000060402	ABIO	Euronext Paris	EUR	42.40	42.70	41.85	42.45	03/11/20 17:35	CET	79135	3335246.75
ALD	FR0013258662	ALD	Euronext Paris	EUR	9.96	10.10	9.90	10.06	03/11/20 17:35	CET	136166	1361885.88
ALES GROUPE	FR0000054652	ALPHY	Euronext Growth Paris	EUR	1.18	1.20	1.18	1.18	29/06/20 16:07	CET	1401	1671.18
ALPES (COMPAGNIE)	FR0000053324	CDA	Euronext Paris	EUR	14.00	14.38	13.74	13.98	03/11/20 17:35	CET	9233	129025.94
ALPHA MOS	FR0013421286	ALM	Euronext Paris	EUR	1.75	1.75	1.36	1.49	03/11/20 17:35	CET	22121	30292.60
ALSTOM	FR0010220475	ALO	Euronext Paris	EUR	38.19	38.70	37.21	37.21	03/11/20 17:38	CET	1458652	53453870.84
ALTAMIR	FR0000053837	LTA	Euronext Paris	EUR	18.50	19.10	18.50	18.856	03/11/20 17:35	CET	3916	74145.106
ALTAREA	FR0000033219	ALTA	Euronext Paris	EUR	113.20	116.00	113.00	113.60	03/11/20 17:35	CET	3726	424698.40
ALTAREIT	FR0000039216	AREIT	Euronext Paris	EUR	482.00	482.00	482.00	482.00	03/11/20 11:30	CET	1	482.00
ALTEN	FR0000071946	ATE	Euronext Paris	EUR	70.40	72.20	70.25	71.55	03/11/20 17:35	CET	57547	4099667.00
