Name	ISIN	Symbol	Market	Trading Currency	Open	High	Low	Last	Last Date/Time	Time Zone	Volume	Turnover
European Equities
16 Nov 2020
All datapoints provided as of end of last active trading day.
1000MERCIS	FR0010285965	ALMIL	Euronext Growth Paris	EUR	15.9	16.4	15.75	16.1	16/11/20 17:35	CET	29480	469011.5
SOLUTIONS 30 SE	FR0013379484	S30	Euronext Paris	EUR	17.40	17.76	17.03	17.51	16/11/20 17:35	CET	756001	13160486.57
2CRSI	FR0013341781	2CRSI	Euronext Paris	EUR	3.76	3.85	3.755	3.80	16/11/20 17:35	CET	37502	142642.64
A TOUTE VITESSE	FR0010050773	MLATV	Euronext Access Paris	EUR	1.48	1.48	1.35	1.35	13/11/19 16:53	CET	378	521.87
A.S.T. GROUPE	FR0000076887	ASP	Euronext Paris	EUR	3.72	3.90	3.72	3.86	16/11/20 17:11	CET	4672	17813.69
AB SCIENCE	FR0010557264	AB	Euronext Paris	EUR	9.70	9.84	9.51	9.53	16/11/20 17:35	CET	141346	1364036.03
ABC ARBITRAGE	FR0004040608	ABCA	Euronext Paris	EUR	7.40	7.40	7.35	7.40	16/11/20 17:35	CET	46422	342623.78
ABEO	FR0013185857	ABEO	Euronext Paris	EUR	7.48	7.86	7.48	7.64	16/11/20 17:16	CET	23332	177455.32
ABIONYX PHARMA	FR0012616852	ABNX	Euronext Paris	EUR	0.765	0.785	0.75	0.784	16/11/20 17:35	CET	153499	118486.646
ABIVAX	FR0012333284	ABVX	Euronext Paris	EUR	23.00	23.85	22.50	23.20	16/11/20 17:35	CET	80967	1878295.80
ACANTHE DEV.	FR0000064602	ACAN	Euronext Paris	EUR	0.44	0.448	0.44	0.448	16/11/20 11:22	CET	10409	4650.852
ACCOR	FR0000120404	AC	Euronext Paris	EUR	28.68	30.92	28.55	30.38	16/11/20 17:35	CET	2294487	69220564.29
ACHETER-LOUER.FR	FR0010493510	ALALO	Euronext Growth Paris	EUR	0.0233	0.0249	0.0193	0.0211	16/11/20 17:35	CET	45151758	981290.1959
ACTEOS	FR0000076861	EOS	Euronext Paris	EUR	1.355	1.37	1.305	1.37	16/11/20 17:35	CET	5227	6947.875
ACTIA GROUP	FR0000076655	ATI	Euronext Paris	EUR	2.70	2.70	2.635	2.69	16/11/20 17:37	CET	67001	180323.265
ACTIPLAY (GROUPE)	FR0011038348	ALACT	Euronext Growth Paris	EUR	0.622	0.684	0.622	0.66	16/11/20 17:35	CET	115637	76763.816
ACTIVIUM GROUP	FR0010979377	MLACT	Euronext Access Paris	EUR	1.23	1.23	1.23	1.23	12/11/20 11:30	CET	424	521.52
ADA	FR0000053076	ALADA	Euronext Growth Paris	EUR	8.15	8.55	8.15	8.55	16/11/20 13:31	CET	231	1919.25
ADC SIIC	BE0974269012	ALDV	Euronext Paris	EUR	0.085	0.085	0.085	0.085	12/11/20 11:30	CET	892	75.83
ADEUNIS	FR0013284627	ALARF	Euronext Growth Paris	EUR	2.57	2.77	2.56	2.59	16/11/20 16:06	CET	13372	35869.17
ADL PARTNER	FR0000062978	ALP	Euronext Paris	EUR	13.00	13.20	12.80	13.20	16/11/20 17:16	CET	2670	34653.20
ADOCIA	FR0011184241	ADOC	Euronext Paris	EUR	7.69	7.73	7.54	7.73	16/11/20 17:25	CET	6501	49951.65
ADOMOS	FR0013247244	ALADO	Euronext Growth Paris	EUR	0.339	0.37	0.339	0.355	16/11/20 17:35	CET	380877	134784.363
ADP	FR0010340141	ADP	Euronext Paris	EUR	109.40	117.50	109.10	114.90	16/11/20 17:35	CET	199788	22825017.40
ADTHINK	FR0010457531	ALADM	Euronext Growth Paris	EUR	1.19	1.22	1.16	1.18	16/11/20 17:35	CET	32843	39158.95
ADUX	FR0012821890	ADUX	Euronext Paris, Amsterdam	EUR	1.33	1.39	1.33	1.39	16/11/20 16:10	CET	2045	2809.475
ADVENIS	FR0004152874	ADV	Euronext Paris	EUR	1.83	2.00	1.83	1.97	10/11/20 15:34	CET	1425	2783.31
