Name	ISIN	Symbol	Market	Trading Currency	Open	High	Low	Last	Last Date/Time	Time Zone	Volume	Turnover
European Equities
06 Jul 2021
All datapoints provided as of end of last active trading day.
1000MERCIS	FR0010285965	ALMIL	Euronext Growth Paris	EUR	19.35	19.45	19.35	19.45	06/07/21 14:16	CET	86	1670.45
2CRSI	FR0013341781	2CRSI	Euronext Paris	EUR	4.325	4.33	4.16	4.265	06/07/21 17:13	CET	11862	50293.81
2MX ORGANIC	FR0014000T90	2MX	Euronext Paris	EUR	9.849	9.92	9.83	9.83	06/07/21 17:12	CET	1325	13029.345
2MX ORGANIC BS	FR0014000TB2	2MXBS	Euronext Paris	EUR	0.42	0.42	0.42	0.42	14/05/21 11:32	CET	16445	6906.90
A TOUTE VITESSE	FR0010050773	MLATV	Euronext Access Paris	EUR	1.48	1.48	1.35	1.35	13/11/19 16:53	CET	378	521.87
A.S.T. GROUPE	FR0000076887	ASP	Euronext Paris	EUR	6.26	6.42	6.26	6.26	06/07/21 17:29	CET	1708	10771.34
AB SCIENCE	FR0010557264	AB	Euronext Paris	EUR	9.88	10.00	9.57	9.595	06/07/21 17:35	CET	67266	656322.66
ABC ARBITRAGE	FR0004040608	ABCA	Euronext Paris	EUR	7.27	7.27	7.21	7.21	06/07/21 17:35	CET	18498	134142.56
ABEO	FR0013185857	ABEO	Euronext Paris	EUR	17.45	17.45	16.15	16.20	06/07/21 17:35	CET	5052	84220.90
ABIONYX PHARMA	FR0012616852	ABNX	Euronext Paris	EUR	1.064	1.064	1.036	1.036	06/07/21 17:29	CET	37286	38987.262
ABIVAX	FR0012333284	ABVX	Euronext Paris	EUR	29.75	30.00	28.70	29.35	06/07/21 17:36	CET	20888	611791.35
ABO GROUP	BE0974278104	ABO	Euronext Brussels, Paris	EUR	6.20	6.20	6.05	6.10	06/07/21 16:36	CET	1084	6664.40
ACANTHE DEV.	FR0000064602	ACAN	Euronext Paris	EUR	0.404	0.414	0.404	0.414	05/07/21 13:33	CET	6242	2523.09
ACCOR	FR0000120404	AC	Euronext Paris	EUR	32.22	32.49	31.99	32.09	06/07/21 17:35	CET	793874	25543976.66
ACCOR AC SHARES	FR0014003PZ3	AAC	Euronext Paris	EUR	9.88	9.88	9.88	9.88	06/07/21 16:55	CET	1	9.88
ACCOR NV21	FR00140015P7	ACNV	Euronext Paris	EUR	-	-	-	-	-	CET	-	-
ACHETER-LOUER.FR	FR0010493510	ALALO	Euronext Growth Paris	EUR	0.0275	0.0288	0.027	0.0281	06/07/21 17:35	CET	10332106	288946.4362
ACTEOS	FR0000076861	EOS	Euronext Paris	EUR	2.77	2.77	2.62	2.71	06/07/21 17:17	CET	2041	5539.63
ACTIA GROUP	FR0000076655	ATI	Euronext Paris	EUR	3.17	3.22	3.10	3.19	06/07/21 17:35	CET	7283	23112.03
ACTIVIUM GROUP	FR0010979377	MLACT	Euronext Access Paris	EUR	1.54	1.54	1.54	1.54	02/07/21 16:30	CET	20	30.80
ADA	FR0000053076	ALADA	Euronext Growth Paris	EUR	10.10	10.10	10.10	10.10	06/07/21 09:00	CET	95	959.50
ADC SIIC	BE0974269012	ALDV	Euronext Paris	EUR	0.111	0.111	0.111	0.111	01/07/21 16:30	CET	50	5.55
ADEUNIS	FR0013284627	ALARF	Euronext Growth Paris	EUR	2.51	3.30	2.51	3.15	06/07/21 17:35	CET	50361	152219.91
ADL PARTNER	FR0000062978	ALP	Euronext Paris	EUR	16.00	16.00	15.75	15.75	06/07/21 16:34	CET	2645	42293.50
ADOCIA	FR0011184241	ADOC	Euronext Paris	EUR	8.28	8.28	8.19	8.22	06/07/21 17:35	CET	2137	17531.44
ADOMOS	FR0013247244	ALADO	Euronext Growth Paris	EUR	0.21	0.213	0.2065	0.207	06/07/21 17:36	CET	4785	1010.52
ADP	FR0010340141	ADP	Euronext Paris	EUR	113.80	114.05	112.35	113.40	06/07/21 17:36	CET	87570	9925627.35
ADTHINK	FR0010457531	ALADM	Euronext Growth Paris	EUR	1.72	1.83	1.645	1.78	06/07/21 17:35	CET	56537	99517.895
ADUX	FR0012821890	ADUX	Euronext Paris, Amsterdam	EUR	2.00	2.07	2.00	2.00	06/07/21 17:35	CET	3835	7792.99
ADVENIS	FR0004152874	ADV	Euronext Paris	EUR	2.17	2.17	2.17	2.17	06/07/21 16:42	CET	2043	4433.31
ADVICENNE	FR0013296746	ADVIC	Euronext Paris, Brussels	EUR	7.52	7.70	7.41	7.48	06/07/21 17:35	CET	93665	705629.74
ADVINI	FR0000053043	ADVI	Euronext Paris	EUR	20.80	21.00	20.20	20.20	06/07/21 16:06	CET	201	4140.80
AERKOMM INC	US00774B2088	AKOM	Euronext Paris	EUR	4.38	4.38	4.38	4.38	06/07/21 09:00	CET	1	4.38
AFFLUENT MEDICAL	FR0013333077	AFME	Euronext Paris	EUR	6.90	6.97	6.65	6.78	06/07/21 16:05	CET	4664	31482.36
AG3I	FR0011908045	MLAGI	Euronext Access Paris	EUR	0.50	0.50	0.50	0.50	16/06/21 11:30	CET	2	1.00
AGP MALAGA SOCIMI	ES0105478004	MLAGP	Euronext Access Paris	EUR	2.95	2.95	2.95	2.95	23/11/20 11:52	CET	2000	5900.00
AGRIPOWER	FR0013452281	ALAGP	Euronext Growth Paris	EUR	8.48	8.48	8.20	8.36	06/07/21 17:29	CET	4160	34531.22
AGROGENERATION	FR0010641449	ALAGR	Euronext Growth Paris	EUR	0.1545	0.168	0.151	0.161	06/07/21 17:35	CET	503139	81107.419
AIR FRANCE -KLM	FR0000031122	AF	Euronext Paris, Amsterdam	EUR	4.228	4.33	4.126	4.152	06/07/21 17:35	CET	4430085	18639517.582
AIR LIQUIDE	FR0000120073	AI	Euronext Paris	EUR	147.42	147.88	146.22	147.06	06/07/21 17:38	CET	578475	85032835.06
AIR MARINE	FR0013285103	MLAIM	Euronext Access Paris	EUR	1.84	1.84	1.84	1.84	06/07/21 11:30	CET	4	7.36
AIRBUS	NL0000235190	AIR	Euronext Paris	EUR	113.20	113.44	110.26	110.88	06/07/21 17:35	CET	1090015	121467474.44
AKKA TECHNOLOGIES	FR0004180537	AKA	Euronext Paris, Brussels	EUR	24.40	24.40	23.90	24.12	06/07/21 17:35	CET	27516	662970.60
AKWEL	FR0000053027	AKW	Euronext Paris	EUR	24.75	24.85	24.15	24.25	06/07/21 17:35	CET	15898	388933.80
ALAN ALLMAN	FR0000062465	AAA	Euronext Paris	EUR	4.26	4.26	4.26	4.26	06/07/21 11:30	CET	246	1047.96
ALBIOMA	FR0000060402	ABIO	Euronext Paris	EUR	34.80	34.98	34.20	34.96	06/07/21 17:35	CET	49068	1703626.36
ALCHIMIE	FR0014000JX7	ALCHI	Euronext Growth Paris	EUR	16.28	16.28	16.02	16.02	06/07/21 11:42	CET	789	12713.88
ALD	FR0013258662	ALD	Euronext Paris	EUR	13.14	13.22	12.60	12.64	06/07/21 17:35	CET	101016	1289489.56
ALEPH FINANCE	GB00BJ9M4V82	MLALE	Euronext Access Paris	EUR	1.95	1.95	1.95	1.95	24/05/21 12:03	CET	25000	48750.00
ALES GROUPE	FR0000054652	ALPHY	Euronext Growth Paris	EUR	1.18	1.20	1.18	1.18	29/06/20 16:07	CET	1401	1671.18
ALPES (Cie) NV21	FR00140017V1	CDANV	Euronext Paris	EUR	-	-	-	-	-	CET	-	-
ALPES (COMPAGNIE)	FR0000053324	CDA	Euronext Paris	EUR	13.88	13.92	13.66	13.78	06/07/21 17:35	CET	37116	512493.08
ALPHA MOS	FR0013421286	ALM	Euronext Paris	EUR	2.05	2.25	2.01	2.25	06/07/21 17:14	CET	10522	22413.83
ALSTOM	FR0010220475	ALO	Euronext Paris	EUR	41.25	42.21	40.01	40.10	06/07/21 17:38	CET	5177426	210906087.06
ALSTOM NV21	FR00140012E8	ALONV	Euronext Paris	EUR	45.00	45.00	45.00	45.00	05/07/21 11:30	CET	2	90.00
ALTAMIR	FR0000053837	LTA	Euronext Paris	EUR	24.00	24.20	24.00	24.00	06/07/21 17:35	CET	30687	737775.515
ALTAREA	FR0000033219	ALTA	Euronext Paris	EUR	182.40	183.20	179.00	179.40	06/07/21 17:35	CET	2800	504740.00
ALTAREIT	FR0000039216	AREIT	Euronext Paris	EUR	610.00	610.00	610.00	610.00	06/07/21 11:30	CET	2	1220.00
ALTEN	FR0000071946	ATE	Euronext Paris	EUR	115.00	115.50	114.30	114.80	06/07/21 17:35	CET	23225	2666941.10
ALTHEORA	FR0000061244	ALORA	Euronext Growth Paris	EUR	1.565	1.565	1.56	1.565	06/07/21 14:24	CET	272	424.96
ALTUR INVEST.	FR0010395681	ALTUR	Euronext Paris	EUR	5.75	5.80	5.70	5.70	06/07/21 13:43	CET	1670	9581.00
ALVEEN	FR0013253812	MLALV	Euronext Access Paris	EUR	1.30	1.30	1.30	1.30	06/07/21 14:17	CET	1	1.30
AMA CORPORATION	GB00BNKGZC51	ALAMA	Euronext Growth Paris	EUR	6.72	6.74	6.60	6.60	06/07/21 17:36	CET	16545	110230.68
AMATHEON AGRI	NL0010273694	MLAAH	Euronext Access Paris	EUR	0.107	0.107	0.107	0.107	06/07/21 11:30	CET	2901	310.407
