Name	ISIN	Symbol	Market	Trading Currency	Open	High	Low	Last	Last Date/Time	Time Zone	Volume	Turnover
European Equities
31 Aug 2020
All datapoints provided as of end of last active trading day.
1000MERCIS	FR0010285965	ALMIL	Euronext Growth Paris	EUR	18.95	18.95	18.6	18.6	31/08/20 10:11	CET	330	6205.15
2CRSI	FR0013341781	2CRSI	Euronext Paris	EUR	3.10	3.18	3.06	3.15	31/08/20 17:35	CET	28035	87189.195
A TOUTE VITESSE	FR0010050773	MLATV	Euronext Access Paris	EUR	1.48	1.48	1.35	1.35	13/11/19 16:53	CET	378	521.87
A.S.T. GROUPE	FR0000076887	ASP	Euronext Paris	EUR	3.00	3.00	2.97	2.97	31/08/20 17:35	CET	6769	20243.34
AB SCIENCE	FR0010557264	AB	Euronext Paris	EUR	9.10	9.36	8.73	9.24	31/08/20 17:35	CET	207723	1879346.00
ABC ARBITRAGE	FR0004040608	ABCA	Euronext Paris	EUR	6.91	6.93	6.81	6.82	31/08/20 17:35	CET	64483	442380.16
ABEO	FR0013185857	ABEO	Euronext Paris	EUR	6.84	6.94	6.84	6.94	31/08/20 17:35	CET	783	5398.92
ABIONYX PHARMA	FR0012616852	ABNX	Euronext Paris	EUR	0.904	0.906	0.88	0.882	31/08/20 17:35	CET	43644	38873.634
ABIVAX	FR0012333284	ABVX	Euronext Paris	EUR	18.72	18.90	18.22	18.22	31/08/20 17:35	CET	13999	257676.64
ACANTHE DEV.	FR0000064602	ACAN	Euronext Paris	EUR	0.434	0.435	0.434	0.435	31/08/20 12:56	CET	9402	4080.87
ACCOR	FR0000120404	AC	Euronext Paris	EUR	26.60	26.65	25.70	25.74	31/08/20 17:35	CET	875465	22813976.35
ACHETER-LOUER.FR	FR0010493510	ALALO	Euronext Growth Paris	EUR	0.0244	0.0249	0.0238	0.0238	31/08/20 17:25	CET	1329766	32421.4117
ACTEOS	FR0000076861	EOS	Euronext Paris	EUR	1.675	1.675	1.59	1.645	31/08/20 15:15	CET	4681	7562.58
ACTIA GROUP	FR0000076655	ATI	Euronext Paris	EUR	2.30	2.355	2.255	2.29	31/08/20 17:29	CET	32214	74161.68
ACTIPLAY (GROUPE)	FR0011038348	ALACT	Euronext Growth Paris	EUR	0.79	0.83	0.744	0.81	31/08/20 17:35	CET	162644	130255.242
ACTIVIUM GROUP	FR0010979377	MLACT	Euronext Access Paris	EUR	1.26	1.26	1.26	1.26	28/08/20 16:30	CET	2000	2520.00
ADA	FR0000053076	ALADA	Euronext Growth Paris	EUR	8.05	8.05	8.05	8.05	31/08/20 09:00	CET	1	8.05
ADC SIIC	BE0974269012	ALDV	Euronext Paris	EUR	0.101	0.101	0.101	0.101	10/08/20 11:30	CET	120	12.12
ADEUNIS	FR0013284627	ALARF	Euronext Growth Paris	EUR	2.32	2.88	2.30	2.52	31/08/20 17:35	CET	62691	161828.98
ADL PARTNER	FR0000062978	ALP	Euronext Paris	EUR	10.15	11.00	10.10	10.80	31/08/20 17:24	CET	9414	98828.55
ADOCIA	FR0011184241	ADOC	Euronext Paris	EUR	8.19	8.19	8.06	8.10	31/08/20 16:49	CET	1571	12697.05
ADOMOS	FR0013247244	ALADO	Euronext Growth Paris	EUR	0.403	0.419	0.395	0.419	31/08/20 17:35	CET	97974	40035.875
ADP	FR0010340141	ADP	Euronext Paris	EUR	90.75	92.50	87.80	87.80	31/08/20 17:38	CET	129254	11558026.45
ADTHINK	FR0010457531	ALADM	Euronext Growth Paris	EUR	0.81	0.842	0.796	0.812	31/08/20 17:25	CET	35943	29180.378
ADUX	FR0012821890	ADUX	Euronext Paris	EUR	1.395	1.50	1.395	1.50	31/08/20 17:23	CET	2791	4071.485
ADVENIS	FR0004152874	ADV	Euronext Paris	EUR	1.04	1.05	1.04	1.05	31/08/20 14:14	CET	602	632.09
ADVICENNE	FR0013296746	ADVIC	Euronext Paris, Brussels	EUR	7.42	7.46	7.26	7.40	31/08/20 16:19	CET	2148	15871.94
ADVINI	FR0000053043	ADVI	Euronext Paris	EUR	19.40	19.40	19.40	19.40	31/08/20 09:00	CET	41	795.40
AERKOMM INC	US00774B2088	AKOM	Euronext Paris	EUR	10.60	10.60	10.60	10.60	31/08/20 09:00	CET	1	10.60
AG3I	FR0011908045	MLAGI	Euronext Access Paris	EUR	3.46	3.46	3.46	3.46	08/11/19 16:30	CET	2	6.92
AGP MALAGA SOCIMI	ES0105478004	MLAGP	Euronext Access Paris	EUR	2.93	2.93	2.93	2.93	13/07/20 13:07	CET	10	29.30
AGRIPOWER	FR0013452281	ALAGP	Euronext Growth Paris	EUR	9.28	9.28	8.85	9.24	31/08/20 16:39	CET	6331	57192.36
AGROGENERATION	FR0010641449	ALAGR	Euronext Growth Paris	EUR	0.0814	0.084	0.0814	0.0836	31/08/20 16:49	CET	169641	14130.205
AGTA RECORD	CH0008853209	AGTA	Euronext Paris	EUR	70.25	70.50	70.25	70.50	31/08/20 16:43	CET	1069	75239.50
AIR FRANCE -KLM	FR0000031122	AF	Euronext Paris, Amsterdam	EUR	3.961	3.982	3.776	3.776	31/08/20 17:35	CET	3591899	13802597.322
AIR LIQUIDE	FR0000120073	AI	Euronext Paris	EUR	140.30	140.85	138.85	139.05	31/08/20 17:35	CET	821921	114605864.70
AIR MARINE	FR0013285103	MLAIM	Euronext Access Paris	EUR	1.80	1.80	1.80	1.80	31/08/20 16:30	CET	387	696.60
AIRBUS	NL0000235190	AIR	Euronext Paris	EUR	72.00	72.41	68.71	68.84	31/08/20 17:38	CET	2212248	155035657.91
AKKA TECHNOLOGIES	FR0004180537	AKA	Euronext Paris, Brussels	EUR	16.32	17.10	16.32	16.46	31/08/20 17:35	CET	71889	1197052.84
AKWEL	FR0000053027	AKW	Euronext Paris	EUR	14.54	14.54	13.80	14.00	31/08/20 17:35	CET	2615	36641.24
ALBIOMA	FR0000060402	ABIO	Euronext Paris	EUR	43.75	44.60	43.45	44.45	31/08/20 17:36	CET	75601	3336101.75
ALD	FR0013258662	ALD	Euronext Paris	EUR	8.79	8.79	8.53	8.61	31/08/20 17:35	CET	169821	1468561.90
ALES GROUPE	FR0000054652	ALPHY	Euronext Growth Paris	EUR	1.18	1.20	1.18	1.18	29/06/20 16:07	CET	1401	1671.18
ALPES (COMPAGNIE)	FR0000053324	CDA	Euronext Paris	EUR	16.00	16.00	15.52	15.52	31/08/20 17:35	CET	11481	179899.74
ALPHA MOS	FR0013421286	ALM	Euronext Paris	EUR	1.50	1.76	1.50	1.76	31/08/20 16:21	CET	13223	21715.06
ALSTOM	FR0010220475	ALO	Euronext Paris	EUR	47.44	47.67	46.64	46.64	31/08/20 17:38	CET	388795	18223331.69
ALTAMIR	FR0000053837	LTA	Euronext Paris	EUR	16.68	16.68	16.45	16.45	31/08/20 17:29	CET	2269	37530.716
ALTAREA	FR0000033219	ALTA	Euronext Paris	EUR	126.20	127.80	124.20	124.20	31/08/20 17:35	CET	1748	220217.40
ALTAREIT	FR0000039216	AREIT	Euronext Paris	EUR	515.00	515.00	515.00	515.00	31/08/20 11:30	CET	1	515.00
ALTEN	FR0000071946	ATE	Euronext Paris	EUR	73.30	74.25	72.50	72.65	31/08/20 17:35	CET	93021	6796235.40
ALTUR INVEST.	FR0010395681	ALTUR	Euronext Paris	EUR	4.74	4.74	4.74	4.74	31/08/20 17:35	CET	51	241.74
